카테고리,전라북도 김제시,전라북도 김제시 만경읍,전라북도 김제시 죽산면,전라북도 김제시 백산면,전라북도 김제시 용지면,전라북도 김제시 백구면,전라북도 김제시 부량면,전라북도 김제시 공덕면,전라북도 김제시 청하면,전라북도 김제시 성덕면,전라북도 김제시 진봉면,전라북도 김제시 금구면,전라북도 김제시 봉남면,전라북도 김제시 황산면,전라북도 김제시 금산면,전라북도 김제시 광활면,전라북도 김제시 요촌동,전라북도 김제시 신풍동,전라북도 김제시 검산동,전라북도 김제시 교월동
2020년10월_계_총인구수,"82,786","2,706","2,504","2,543","3,612","3,849","1,350","2,563","1,796","1,829","2,681","5,013","2,248","1,903","4,641","1,373","11,281","12,699","11,594","6,601"
2020년10월_계_연령구간인구수,"82,786","2,706","2,504","2,543","3,612","3,849","1,350","2,563","1,796","1,829","2,681","5,013","2,248","1,903","4,641","1,373","11,281","12,699","11,594","6,601"
2020년10월_계_0~9세,"4,363",99,61,68,99,121,43,72,52,49,44,187,63,39,147,45,772,900,"1,046",456
2020년10월_계_10~19세,"6,282",134,107,113,158,218,63,134,79,74,109,313,98,72,203,64,"1,033","1,375","1,426",509
2020년10월_계_20~29세,"7,246",164,117,157,270,269,98,185,95,109,131,426,127,142,329,89,"1,313","1,353","1,296",576
2020년10월_계_30~39세,"6,738",176,134,172,221,271,88,173,106,111,154,329,136,96,288,80,"1,142","1,211","1,207",643
2020년10월_계_40~49세,"10,074",265,218,250,342,408,112,217,185,186,242,577,186,180,445,147,"1,568","1,864","1,909",773
2020년10월_계_50~59세,"13,816",449,368,441,599,676,194,459,265,280,401,940,338,353,865,215,"1,881","2,151","1,846","1,095"
2020년10월_계_60~69세,"14,472",639,585,543,784,771,292,552,389,392,577,984,483,394,951,268,"1,711","1,715","1,389","1,053"
2020년10월_계_70~79세,"11,352",416,496,472,635,641,250,411,337,357,572,770,434,343,806,279,"1,115","1,264",880,874
2020년10월_계_80~89세,"7,166",310,359,277,410,404,182,310,242,226,379,422,341,250,503,159,624,758,497,513
2020년10월_계_90~99세,"1,203",53,54,43,89,70,26,48,44,42,71,63,41,32,92,27,113,107,97,91
2020년10월_계_100세 이상,74,1,5,7,5,0,2,2,2,3,1,2,1,2,12,0,9,1,1,18
2020년10월_남_총인구수,"40,991","1,365","1,238","1,328","1,823","1,905",643,"1,304",897,921,"1,282","2,551","1,103",964,"2,319",709,"5,539","6,196","5,616","3,288"
2020년10월_남_연령구간인구수,"40,991","1,365","1,238","1,328","1,823","1,905",643,"1,304",897,921,"1,282","2,551","1,103",964,"2,319",709,"5,539","6,196","5,616","3,288"
2020년10월_남_0~9세,"2,254",61,36,37,46,63,21,37,32,21,20,95,37,19,71,24,395,475,525,239
2020년10월_남_10~19세,"3,242",79,62,65,86,103,38,66,43,44,54,170,50,43,114,29,499,711,722,264
2020년10월_남_20~29세,"4,018",99,74,88,146,141,56,112,61,65,76,237,75,78,185,58,708,739,692,328
2020년10월_남_30~39세,"3,582",107,79,113,128,152,51,97,58,65,94,182,82,60,171,48,579,617,584,315
2020년10월_남_40~49세,"5,656",154,140,162,231,254,74,138,119,122,162,345,132,126,273,103,817,935,942,427
2020년10월_남_50~59세,"7,520",243,216,272,327,373,106,263,149,160,228,528,193,196,488,127,973,"1,092",978,608
2020년10월_남_60~69세,"7,256",339,295,280,420,390,138,297,188,211,293,500,237,211,487,138,810,824,668,530
2020년10월_남_70~79세,"4,923",185,224,214,290,289,98,187,151,155,222,338,177,152,344,116,509,528,353,391
2020년10월_남_80~89세,"2,256",86,104,89,122,118,55,91,84,70,124,134,114,71,159,57,218,249,140,171
2020년10월_남_90~99세,270,12,6,7,25,22,6,16,11,8,8,22,6,8,27,9,26,26,12,13
2020년10월_남_100세 이상,14,0,2,1,2,0,0,0,1,0,1,0,0,0,0,0,5,0,0,2
2020년10월_여_총인구수,"41,795","1,341","1,266","1,215","1,789","1,944",707,"1,259",899,908,"1,399","2,462","1,145",939,"2,322",664,"5,742","6,503","5,978","3,313"
2020년10월_여_연령구간인구수,"41,795","1,341","1,266","1,215","1,789","1,944",707,"1,259",899,908,"1,399","2,462","1,145",939,"2,322",664,"5,742","6,503","5,978","3,313"
2020년10월_여_0~9세,"2,109",38,25,31,53,58,22,35,20,28,24,92,26,20,76,21,377,425,521,217
2020년10월_여_10~19세,"3,040",55,45,48,72,115,25,68,36,30,55,143,48,29,89,35,534,664,704,245
2020년10월_여_20~29세,"3,228",65,43,69,124,128,42,73,34,44,55,189,52,64,144,31,605,614,604,248
2020년10월_여_30~39세,"3,156",69,55,59,93,119,37,76,48,46,60,147,54,36,117,32,563,594,623,328
2020년10월_여_40~49세,"4,418",111,78,88,111,154,38,79,66,64,80,232,54,54,172,44,751,929,967,346
2020년10월_여_50~59세,"6,296",206,152,169,272,303,88,196,116,120,173,412,145,157,377,88,908,"1,059",868,487
2020년10월_여_60~69세,"7,216",300,290,263,364,381,154,255,201,181,284,484,246,183,464,130,901,891,721,523
2020년10월_여_70~79세,"6,429",231,272,258,345,352,152,224,186,202,350,432,257,191,462,163,606,736,527,483
2020년10월_여_80~89세,"4,910",224,255,188,288,286,127,219,158,156,255,288,227,179,344,102,406,509,357,342
2020년10월_여_90~99세,933,41,48,36,64,48,20,32,33,34,63,41,35,24,65,18,87,81,85,78
2020년10월_여_100세 이상,60,1,3,6,3,0,2,2,1,3,0,2,1,2,12,0,4,1,1,16
