,전라북도 무주군,전라북도 무주군 무주읍,전라북도 무주군 무풍면,전라북도 무주군 설천면,전라북도 무주군 적상면,전라북도 무주군 안성면,전라북도 무주군 부남면
2020년06월_계_총인구수,"24,042","9,466","2,268","4,040","2,586","4,282","1,400"
2020년06월_계_연령구간인구수,"24,042","9,466","2,268","4,040","2,586","4,282","1,400"
2020년06월_계_0~9세,"1,258",771,62,197,65,131,32
2020년06월_계_10~19세,"1,805",970,108,290,120,261,56
2020년06월_계_20~29세,"1,802",875,147,320,149,243,68
2020년06월_계_30~39세,"1,757",917,133,264,130,251,62
2020년06월_계_40~49세,"2,909","1,461",203,511,238,393,103
2020년06월_계_50~59세,"4,225","1,468",460,796,449,796,256
2020년06월_계_60~69세,"4,263","1,250",498,739,533,904,339
2020년06월_계_70~79세,"3,403","1,012",376,535,494,714,272
2020년06월_계_80~89세,"2,275",621,250,342,364,517,181
2020년06월_계_90~99세,327,113,31,46,40,67,30
2020년06월_계_100세 이상,18,8,0,0,4,5,1
2020년06월_남_총인구수,"11,952","4,712","1,121","2,040","1,268","2,126",685
2020년06월_남_연령구간인구수,"11,952","4,712","1,121","2,040","1,268","2,126",685
2020년06월_남_0~9세,677,408,36,118,32,67,16
2020년06월_남_10~19세,906,483,61,154,56,125,27
2020년06월_남_20~29세,"1,008",486,73,171,89,147,42
2020년06월_남_30~39세,964,471,81,151,74,150,37
2020년06월_남_40~49세,"1,618",766,118,291,142,238,63
2020년06월_남_50~59세,"2,335",827,238,444,256,430,140
2020년06월_남_60~69세,"2,162",595,257,374,278,478,180
2020년06월_남_70~79세,"1,419",439,170,209,198,292,111
2020년06월_남_80~89세,791,214,79,121,133,183,61
2020년06월_남_90~99세,68,22,8,7,9,14,8
2020년06월_남_100세 이상,4,1,0,0,1,2,0
2020년06월_여_총인구수,"12,090","4,754","1,147","2,000","1,318","2,156",715
2020년06월_여_연령구간인구수,"12,090","4,754","1,147","2,000","1,318","2,156",715
2020년06월_여_0~9세,581,363,26,79,33,64,16
2020년06월_여_10~19세,899,487,47,136,64,136,29
2020년06월_여_20~29세,794,389,74,149,60,96,26
2020년06월_여_30~39세,793,446,52,113,56,101,25
2020년06월_여_40~49세,"1,291",695,85,220,96,155,40
2020년06월_여_50~59세,"1,890",641,222,352,193,366,116
2020년06월_여_60~69세,"2,101",655,241,365,255,426,159
2020년06월_여_70~79세,"1,984",573,206,326,296,422,161
2020년06월_여_80~89세,"1,484",407,171,221,231,334,120
2020년06월_여_90~99세,259,91,23,39,31,53,22
2020년06월_여_100세 이상,14,7,0,0,3,3,1
