카테고리,전라남도 구례군,전라남도 구례군 구례읍,전라남도 구례군 문척면,전라남도 구례군 간전면,전라남도 구례군 토지면,전라남도 구례군 마산면,전라남도 구례군 광의면,전라남도 구례군 용방면,전라남도 구례군 산동면
2021년11월_계_총인구수,"25,175","10,683","1,266","1,491","2,509","2,612","2,245","1,429","2,940"
2021년11월_계_연령구간인구수,"25,175","10,683","1,266","1,491","2,509","2,612","2,245","1,429","2,940"
2021년11월_계_0~9세,"1,037",629,38,42,52,95,62,34,85
2021년11월_계_10~19세,"1,769","1,022",60,67,141,173,102,49,155
2021년11월_계_20~29세,"1,864",993,84,80,139,188,102,96,182
2021년11월_계_30~39세,"1,517",805,46,73,100,139,123,87,144
2021년11월_계_40~49세,"2,693","1,372",116,134,221,300,169,142,239
2021년11월_계_50~59세,"4,543","1,928",251,281,504,447,356,218,558
2021년11월_계_60~69세,"4,885","1,773",271,306,617,523,479,288,628
2021년11월_계_70~79세,"3,798","1,279",207,287,377,408,442,272,526
2021년11월_계_80~89세,"2,662",753,167,198,308,291,357,209,379
2021년11월_계_90~99세,393,124,25,23,50,43,51,34,43
2021년11월_계_100세 이상,14,5,1,0,0,5,2,0,1
2021년11월_남_총인구수,"12,253","5,186",641,733,"1,230","1,280","1,070",688,"1,425"
2021년11월_남_연령구간인구수,"12,253","5,186",641,733,"1,230","1,280","1,070",688,"1,425"
2021년11월_남_0~9세,499,297,23,20,27,47,28,18,39
2021년11월_남_10~19세,927,541,32,30,69,103,55,28,69
2021년11월_남_20~29세,"1,050",551,51,40,85,93,59,56,115
2021년11월_남_30~39세,779,388,21,36,58,77,72,53,74
2021년11월_남_40~49세,"1,451",690,69,86,123,162,101,77,143
2021년11월_남_50~59세,"2,532","1,006",140,171,283,271,209,125,327
2021년11월_남_60~69세,"2,449",876,155,153,315,256,240,140,314
2021년11월_남_70~79세,"1,619",550,83,124,161,174,189,116,222
2021년11월_남_80~89세,865,261,66,67,96,86,109,66,114
2021년11월_남_90~99세,79,25,1,6,13,9,8,9,8
2021년11월_남_100세 이상,3,1,0,0,0,2,0,0,0
2021년11월_여_총인구수,"12,922","5,497",625,758,"1,279","1,332","1,175",741,"1,515"
2021년11월_여_연령구간인구수,"12,922","5,497",625,758,"1,279","1,332","1,175",741,"1,515"
2021년11월_여_0~9세,538,332,15,22,25,48,34,16,46
2021년11월_여_10~19세,842,481,28,37,72,70,47,21,86
2021년11월_여_20~29세,814,442,33,40,54,95,43,40,67
2021년11월_여_30~39세,738,417,25,37,42,62,51,34,70
2021년11월_여_40~49세,"1,242",682,47,48,98,138,68,65,96
2021년11월_여_50~59세,"2,011",922,111,110,221,176,147,93,231
2021년11월_여_60~69세,"2,436",897,116,153,302,267,239,148,314
2021년11월_여_70~79세,"2,179",729,124,163,216,234,253,156,304
2021년11월_여_80~89세,"1,797",492,101,131,212,205,248,143,265
2021년11월_여_90~99세,314,99,24,17,37,34,43,25,35
2021년11월_여_100세 이상,11,4,1,0,0,3,2,0,1
