카테고리,경상북도 고령군,경상북도 고령군 대가야읍,경상북도 고령군 덕곡면,경상북도 고령군 운수면,경상북도 고령군 성산면,경상북도 고령군 다산면,경상북도 고령군 개진면,경상북도 고령군 우곡면,경상북도 고령군 쌍림면
2021년07월_계_총인구수,"30,855","9,943","1,419","1,830","2,528","8,372","1,904","1,541","3,318"
2021년07월_계_연령구간인구수,"30,855","9,943","1,419","1,830","2,528","8,372","1,904","1,541","3,318"
2021년07월_계_0~9세,"1,365",588,34,44,63,467,41,26,102
2021년07월_계_10~19세,"1,947",882,39,50,71,730,32,42,101
2021년07월_계_20~29세,"2,383",914,84,103,187,748,112,67,168
2021년07월_계_30~39세,"2,135",773,59,105,160,705,106,70,157
2021년07월_계_40~49세,"3,631","1,454",93,144,225,"1,196",128,128,263
2021년07월_계_50~59세,"5,770","1,846",247,319,526,"1,586",398,275,573
2021년07월_계_60~69세,"6,489","1,731",376,460,632,"1,586",493,355,856
2021년07월_계_70~79세,"4,100","1,067",236,335,381,850,337,315,579
2021년07월_계_80~89세,"2,691",619,225,238,243,452,219,244,451
2021년07월_계_90~99세,335,67,24,31,40,52,37,19,65
2021년07월_계_100세 이상,9,2,2,1,0,0,1,0,3
2021년07월_남_총인구수,"15,851","5,028",706,916,"1,384","4,349","1,025",797,"1,646"
2021년07월_남_연령구간인구수,"15,851","5,028",706,916,"1,384","4,349","1,025",797,"1,646"
2021년07월_남_0~9세,710,314,17,18,28,244,25,13,51
2021년07월_남_10~19세,"1,041",486,21,29,35,380,18,18,54
2021년07월_남_20~29세,"1,391",539,47,57,111,424,68,47,98
2021년07월_남_30~39세,"1,158",390,33,58,100,380,66,47,84
2021년07월_남_40~49세,"2,047",761,54,95,150,650,87,84,166
2021년07월_남_50~59세,"3,277","1,023",139,178,316,884,247,165,325
2021년07월_남_60~69세,"3,434",853,212,243,362,831,282,190,461
2021년07월_남_70~79세,"1,830",445,98,154,184,381,159,152,257
2021년07월_남_80~89세,883,203,75,74,89,163,63,79,137
2021년07월_남_90~99세,76,14,9,9,9,12,9,2,12
2021년07월_남_100세 이상,4,0,1,1,0,0,1,0,1
2021년07월_여_총인구수,"15,004","4,915",713,914,"1,144","4,023",879,744,"1,672"
2021년07월_여_연령구간인구수,"15,004","4,915",713,914,"1,144","4,023",879,744,"1,672"
2021년07월_여_0~9세,655,274,17,26,35,223,16,13,51
2021년07월_여_10~19세,906,396,18,21,36,350,14,24,47
2021년07월_여_20~29세,992,375,37,46,76,324,44,20,70
2021년07월_여_30~39세,977,383,26,47,60,325,40,23,73
2021년07월_여_40~49세,"1,584",693,39,49,75,546,41,44,97
2021년07월_여_50~59세,"2,493",823,108,141,210,702,151,110,248
2021년07월_여_60~69세,"3,055",878,164,217,270,755,211,165,395
2021년07월_여_70~79세,"2,270",622,138,181,197,469,178,163,322
2021년07월_여_80~89세,"1,808",416,150,164,154,289,156,165,314
2021년07월_여_90~99세,259,53,15,22,31,40,28,17,53
2021년07월_여_100세 이상,5,2,1,0,0,0,0,0,2
