,경기도 하남시,경기도 하남시 천현동,경기도 하남시 신장1동,경기도 하남시 신장2동,경기도 하남시 덕풍1동,경기도 하남시 덕풍2동,경기도 하남시 덕풍3동,경기도 하남시 풍산동,경기도 하남시 감북동,경기도 하남시 감일동,경기도 하남시 위례동,경기도 하남시 춘궁동,경기도 하남시 초이동,경기도 하남시 미사1동,경기도 하남시 미사2동
2020년04월_계_총인구수,"279,621","7,722","6,474","45,726","16,402","19,469","25,569","29,134","2,844","7,560","19,241","4,054","3,699","43,445","48,282"
2020년04월_계_연령구간인구수,"279,621","7,722","6,474","45,726","16,402","19,469","25,569","29,134","2,844","7,560","19,241","4,054","3,699","43,445","48,282"
2020년04월_계_0~9세,"30,049",380,310,"3,969",988,"1,125","2,194","4,613",107,"1,303","2,605",136,174,"4,945","7,200"
2020년04월_계_10~19세,"24,179",430,411,"4,030","1,185","1,292","2,619","2,790",160,630,"1,777",207,203,"3,538","4,907"
2020년04월_계_20~29세,"33,514",979,966,"5,234","2,240","2,588","3,062","3,161",319,673,"2,248",476,464,"6,982","4,122"
2020년04월_계_30~39세,"47,935","1,000",974,"6,842","2,325","2,934","3,441","5,591",386,"1,684","3,460",441,440,"9,968","8,449"
2020년04월_계_40~49세,"48,885","1,035",889,"7,323","2,337","2,636","4,448","5,579",375,"1,306","3,646",574,492,"8,045","10,200"
2020년04월_계_50~59세,"40,785","1,498","1,252","7,217","3,013","3,593","4,148","3,648",585,927,"2,887",805,778,"4,628","5,806"
2020년04월_계_60~69세,"32,640","1,465",966,"6,505","2,593","3,205","3,280","2,334",518,634,"1,823",775,695,"3,261","4,586"
2020년04월_계_70~79세,"15,165",618,482,"3,315","1,227","1,460","1,664",898,252,262,590,398,304,"1,494","2,201"
2020년04월_계_80~89세,"5,396",262,194,"1,103",420,532,607,385,117,116,164,204,134,489,669
2020년04월_계_90~99세,958,47,24,174,61,95,97,109,18,21,39,30,13,93,137
2020년04월_계_100세 이상,115,8,6,14,13,9,9,26,7,4,2,8,2,2,5
2020년04월_남_총인구수,"140,443","4,211","3,337","22,565","8,285","9,812","12,741","14,486","1,570","3,819","9,396","2,277","2,102","22,045","23,797"
2020년04월_남_연령구간인구수,"140,443","4,211","3,337","22,565","8,285","9,812","12,741","14,486","1,570","3,819","9,396","2,277","2,102","22,045","23,797"
2020년04월_남_0~9세,"15,320",189,155,"1,982",510,590,"1,155","2,333",61,655,"1,285",67,92,"2,568","3,678"
2020년04월_남_10~19세,"12,366",229,216,"2,097",640,650,"1,355","1,422",82,339,867,110,102,"1,769","2,488"
2020년04월_남_20~29세,"17,226",558,520,"2,712","1,194","1,414","1,658","1,601",188,338,"1,126",265,264,"3,305","2,083"
2020년04월_남_30~39세,"24,134",589,566,"3,475","1,265","1,600","1,766","2,599",233,818,"1,538",274,277,"5,267","3,867"
2020년04월_남_40~49세,"25,700",618,484,"3,681","1,215","1,362","2,204","2,941",219,702,"1,877",364,310,"4,355","5,368"
2020년04월_남_50~59세,"20,146",845,645,"3,412","1,413","1,759","1,999","1,795",316,463,"1,378",483,446,"2,361","2,831"
2020년04월_남_60~69세,"15,853",775,466,"3,097","1,248","1,565","1,555","1,145",295,319,939,426,398,"1,474","2,151"
2020년04월_남_70~79세,"7,564",304,210,"1,629",618,698,797,485,123,138,325,194,158,768,"1,117"
2020년04월_남_80~89세,"1,886",90,69,432,164,160,223,132,44,37,50,88,52,158,187
2020년04월_남_90~99세,216,12,4,44,15,11,28,23,7,9,11,4,3,20,25
2020년04월_남_100세 이상,32,2,2,4,3,3,1,10,2,1,0,2,0,0,2
2020년04월_여_총인구수,"139,178","3,511","3,137","23,161","8,117","9,657","12,828","14,648","1,274","3,741","9,845","1,777","1,597","21,400","24,485"
2020년04월_여_연령구간인구수,"139,178","3,511","3,137","23,161","8,117","9,657","12,828","14,648","1,274","3,741","9,845","1,777","1,597","21,400","24,485"
2020년04월_여_0~9세,"14,729",191,155,"1,987",478,535,"1,039","2,280",46,648,"1,320",69,82,"2,377","3,522"
2020년04월_여_10~19세,"11,813",201,195,"1,933",545,642,"1,264","1,368",78,291,910,97,101,"1,769","2,419"
2020년04월_여_20~29세,"16,288",421,446,"2,522","1,046","1,174","1,404","1,560",131,335,"1,122",211,200,"3,677","2,039"
2020년04월_여_30~39세,"23,801",411,408,"3,367","1,060","1,334","1,675","2,992",153,866,"1,922",167,163,"4,701","4,582"
2020년04월_여_40~49세,"23,185",417,405,"3,642","1,122","1,274","2,244","2,638",156,604,"1,769",210,182,"3,690","4,832"
2020년04월_여_50~59세,"20,639",653,607,"3,805","1,600","1,834","2,149","1,853",269,464,"1,509",322,332,"2,267","2,975"
2020년04월_여_60~69세,"16,787",690,500,"3,408","1,345","1,640","1,725","1,189",223,315,884,349,297,"1,787","2,435"
2020년04월_여_70~79세,"7,601",314,272,"1,686",609,762,867,413,129,124,265,204,146,726,"1,084"
2020년04월_여_80~89세,"3,510",172,125,671,256,372,384,253,73,79,114,116,82,331,482
2020년04월_여_90~99세,742,35,20,130,46,84,69,86,11,12,28,26,10,73,112
2020년04월_여_100세 이상,83,6,4,10,10,6,8,16,5,3,2,6,2,2,3
