,경상남도 함안군,경상남도 함안군 가야읍,경상남도 함안군 칠원읍,경상남도 함안군 함안면,경상남도 함안군 군북면,경상남도 함안군 법수면,경상남도 함안군 대산면,경상남도 함안군 칠서면,경상남도 함안군 칠북면,경상남도 함안군 산인면,경상남도 함안군 여항면
2021년04월_계_총인구수,"63,573","18,504","19,278","2,412","6,143","2,867","3,448","5,336","1,935","2,749",901
2021년04월_계_연령구간인구수,"63,573","18,504","19,278","2,412","6,143","2,867","3,448","5,336","1,935","2,749",901
2021년04월_계_0~9세,"3,884","1,222","1,812",56,293,67,62,278,18,60,16
2021년04월_계_10~19세,"5,885","1,983","2,628",115,306,77,135,440,56,122,23
2021년04월_계_20~29세,"5,338","2,006","1,566",148,446,172,220,419,113,203,45
2021년04월_계_30~39세,"5,335","1,780","1,911",153,518,142,147,383,86,169,46
2021년04월_계_40~49세,"9,193","2,816","3,746",223,585,266,295,779,157,263,63
2021년04월_계_50~59세,"11,147","3,368","3,152",398,988,553,581,"1,054",343,548,162
2021년04월_계_60~69세,"11,336","2,826","2,546",588,"1,343",733,814,964,527,718,277
2021년04월_계_70~79세,"6,654","1,487","1,229",400,883,480,665,612,363,379,156
2021년04월_계_80~89세,"4,205",888,588,295,687,336,459,356,247,252,97
2021년04월_계_90~99세,583,123,94,36,92,41,70,51,25,35,16
2021년04월_계_100세 이상,13,5,6,0,2,0,0,0,0,0,0
2021년04월_남_총인구수,"32,279","9,322","9,776","1,215","3,180","1,467","1,718","2,771",992,"1,381",457
2021년04월_남_연령구간인구수,"32,279","9,322","9,776","1,215","3,180","1,467","1,718","2,771",992,"1,381",457
2021년04월_남_0~9세,"1,941",623,886,24,142,33,34,153,7,29,10
2021년04월_남_10~19세,"3,135","1,094","1,374",65,167,44,72,212,26,67,14
2021년04월_남_20~29세,"3,129","1,188",874,86,285,105,134,236,71,126,24
2021년04월_남_30~39세,"2,729",882,901,84,298,93,85,216,53,91,26
2021년04월_남_40~49세,"4,964","1,464","1,892",131,373,179,187,437,104,155,42
2021년04월_남_50~59세,"6,142","1,755","1,752",226,578,323,338,603,205,273,89
2021년04월_남_60~69세,"5,883","1,391","1,309",312,727,388,420,527,276,384,149
2021년04월_남_70~79세,"2,976",636,592,183,384,199,286,276,159,188,73
2021년04월_남_80~89세,"1,263",260,171,97,205,94,151,105,86,65,29
2021년04월_남_90~99세,113,29,23,7,19,9,11,6,5,3,1
2021년04월_남_100세 이상,4,0,2,0,2,0,0,0,0,0,0
2021년04월_여_총인구수,"31,294","9,182","9,502","1,197","2,963","1,400","1,730","2,565",943,"1,368",444
2021년04월_여_연령구간인구수,"31,294","9,182","9,502","1,197","2,963","1,400","1,730","2,565",943,"1,368",444
2021년04월_여_0~9세,"1,943",599,926,32,151,34,28,125,11,31,6
2021년04월_여_10~19세,"2,750",889,"1,254",50,139,33,63,228,30,55,9
2021년04월_여_20~29세,"2,209",818,692,62,161,67,86,183,42,77,21
2021년04월_여_30~39세,"2,606",898,"1,010",69,220,49,62,167,33,78,20
2021년04월_여_40~49세,"4,229","1,352","1,854",92,212,87,108,342,53,108,21
2021년04월_여_50~59세,"5,005","1,613","1,400",172,410,230,243,451,138,275,73
2021년04월_여_60~69세,"5,453","1,435","1,237",276,616,345,394,437,251,334,128
2021년04월_여_70~79세,"3,678",851,637,217,499,281,379,336,204,191,83
2021년04월_여_80~89세,"2,942",628,417,198,482,242,308,251,161,187,68
2021년04월_여_90~99세,470,94,71,29,73,32,59,45,20,32,15
2021년04월_여_100세 이상,9,5,4,0,0,0,0,0,0,0,0
