카테고리,경기도 김포시,경기도 김포시 통진읍,경기도 김포시 고촌읍,경기도 김포시 양촌읍,경기도 김포시 대곶면,경기도 김포시 월곶면,경기도 김포시 하성면,경기도 김포시 김포본동,경기도 김포시 장기본동,경기도 김포시 사우동,경기도 김포시 풍무동,경기도 김포시 장기동,경기도 김포시 구래동,경기도 김포시 마산동,경기도 김포시 운양동
2021년08월_계_총인구수,"485,221","28,614","47,976","29,066","9,825","5,471","8,175","61,230","39,026","22,769","62,012","41,349","44,475","35,406","49,827"
2021년08월_계_연령구간인구수,"485,221","28,614","47,976","29,066","9,825","5,471","8,175","61,230","39,026","22,769","62,012","41,349","44,475","35,406","49,827"
2021년08월_계_0~9세,"54,771","1,748","6,470","2,290",312,132,257,"5,906","4,706","1,510","6,555","5,471","6,507","5,503","7,404"
2021년08월_계_10~19세,"49,304","2,343","4,627","2,505",528,235,440,"6,315","5,568","2,072","7,005","5,148","3,972","3,142","5,404"
2021년08월_계_20~29세,"52,906","3,508","4,347","2,930",923,514,799,"7,698","3,962","3,131","7,749","3,963","5,792","3,043","4,547"
2021년08월_계_30~39세,"76,098","3,176","8,618","3,848",858,403,666,"8,203","5,392","2,827","9,012","6,507","10,139","7,665","8,784"
2021년08월_계_40~49세,"91,484","4,219","9,327","4,831","1,231",587,875,"10,646","8,374","3,744","11,634","9,204","8,687","7,040","11,085"
2021년08월_계_50~59세,"68,555","5,445","6,068","4,964","2,134","1,132","1,639","10,293","5,172","4,193","9,040","4,976","4,202","3,517","5,780"
2021년08월_계_60~69세,"52,837","4,688","5,288","4,437","2,159","1,312","1,823","6,965","3,301","2,981","6,157","3,414","3,144","3,129","4,039"
2021년08월_계_70~79세,"26,407","2,204","2,237","2,141","1,043",701,"1,031","3,405","1,773","1,527","3,305","1,867","1,472","1,727","1,974"
2021년08월_계_80~89세,"11,162","1,099",848,958,543,372,561,"1,585",684,689,"1,375",703,487,555,703
2021년08월_계_90~99세,"1,641",176,139,156,92,79,80,209,92,90,173,93,71,84,107
2021년08월_계_100세 이상,56,8,7,6,2,4,4,5,2,5,7,3,2,1,0
2021년08월_남_총인구수,"242,792","15,283","23,923","15,327","5,771","3,007","4,451","30,146","19,003","11,402","30,247","20,223","22,133","17,537","24,339"
2021년08월_남_연령구간인구수,"242,792","15,283","23,923","15,327","5,771","3,007","4,451","30,146","19,003","11,402","30,247","20,223","22,133","17,537","24,339"
2021년08월_남_0~9세,"27,928",902,"3,390","1,145",169,60,130,"2,969","2,339",808,"3,345","2,784","3,267","2,850","3,770"
2021년08월_남_10~19세,"25,135","1,272","2,393","1,299",292,110,249,"3,212","2,831","1,090","3,575","2,527","1,953","1,558","2,774"
2021년08월_남_20~29세,"27,208","2,085","2,164","1,609",584,321,493,"4,097","1,977","1,649","3,738","2,011","2,789","1,492","2,199"
2021년08월_남_30~39세,"37,321","1,783","4,096","2,141",554,240,391,"3,951","2,505","1,466","4,302","3,057","5,096","3,777","3,962"
2021년08월_남_40~49세,"47,506","2,362","4,831","2,724",779,359,536,"5,226","4,125","1,907","5,748","4,691","4,679","3,785","5,754"
2021년08월_남_50~59세,"35,010","2,968","3,024","2,725","1,370",659,945,"5,085","2,608","2,076","4,467","2,502","2,060","1,678","2,843"
2021년08월_남_60~69세,"25,688","2,461","2,532","2,285","1,256",718,985,"3,455","1,495","1,451","2,896","1,544","1,429","1,372","1,809"
2021년08월_남_70~79세,"12,334","1,011","1,130","1,010",532,382,483,"1,499",830,682,"1,571",830,666,791,917
2021년08월_남_80~89세,"4,268",390,334,357,216,142,218,595,269,255,558,262,178,208,286
2021년08월_남_90~99세,380,46,27,30,19,16,21,55,23,18,45,14,15,26,25
2021년08월_남_100세 이상,14,3,2,2,0,0,0,2,1,0,2,1,1,0,0
2021년08월_여_총인구수,"242,429","13,331","24,053","13,739","4,054","2,464","3,724","31,084","20,023","11,367","31,765","21,126","22,342","17,869","25,488"
2021년08월_여_연령구간인구수,"242,429","13,331","24,053","13,739","4,054","2,464","3,724","31,084","20,023","11,367","31,765","21,126","22,342","17,869","25,488"
2021년08월_여_0~9세,"26,843",846,"3,080","1,145",143,72,127,"2,937","2,367",702,"3,210","2,687","3,240","2,653","3,634"
2021년08월_여_10~19세,"24,169","1,071","2,234","1,206",236,125,191,"3,103","2,737",982,"3,430","2,621","2,019","1,584","2,630"
2021년08월_여_20~29세,"25,698","1,423","2,183","1,321",339,193,306,"3,601","1,985","1,482","4,011","1,952","3,003","1,551","2,348"
2021년08월_여_30~39세,"38,777","1,393","4,522","1,707",304,163,275,"4,252","2,887","1,361","4,710","3,450","5,043","3,888","4,822"
2021년08월_여_40~49세,"43,978","1,857","4,496","2,107",452,228,339,"5,420","4,249","1,837","5,886","4,513","4,008","3,255","5,331"
2021년08월_여_50~59세,"33,545","2,477","3,044","2,239",764,473,694,"5,208","2,564","2,117","4,573","2,474","2,142","1,839","2,937"
2021년08월_여_60~69세,"27,149","2,227","2,756","2,152",903,594,838,"3,510","1,806","1,530","3,261","1,870","1,715","1,757","2,230"
2021년08월_여_70~79세,"14,073","1,193","1,107","1,131",511,319,548,"1,906",943,845,"1,734","1,037",806,936,"1,057"
2021년08월_여_80~89세,"6,894",709,514,601,327,230,343,990,415,434,817,441,309,347,417
2021년08월_여_90~99세,"1,261",130,112,126,73,63,59,154,69,72,128,79,56,58,82
2021년08월_여_100세 이상,42,5,5,4,2,4,4,3,1,5,5,2,1,1,0
