,전라북도 임실군,전라북도 임실군 임실읍,전라북도 임실군 청웅면,전라북도 임실군 운암면,전라북도 임실군 신평면,전라북도 임실군 성수면,전라북도 임실군 오수면,전라북도 임실군 신덕면,전라북도 임실군 삼계면,전라북도 임실군 관촌면,전라북도 임실군 강진면,전라북도 임실군 덕치면,전라북도 임실군 지사면
2021년02월_계_총인구수,"27,179","7,398","1,301","1,627","1,442","1,668","3,711","1,312","1,514","3,318","1,530","1,161","1,197"
2021년02월_계_연령구간인구수,"27,179","7,398","1,301","1,627","1,442","1,668","3,711","1,312","1,514","3,318","1,530","1,161","1,197"
2021년02월_계_0~9세,"1,341",661,31,56,52,51,116,36,41,165,43,36,53
2021년02월_계_10~19세,"1,654",724,56,56,70,79,231,52,62,160,72,44,48
2021년02월_계_20~29세,"2,031",716,73,104,93,103,263,80,74,254,140,64,67
2021년02월_계_30~39세,"1,917",788,62,96,90,86,241,67,66,226,66,64,65
2021년02월_계_40~49세,"2,811","1,062",121,144,126,143,356,113,116,317,146,80,87
2021년02월_계_50~59세,"4,648","1,069",208,339,233,284,617,241,250,636,311,240,220
2021년02월_계_60~69세,"5,027","1,022",248,392,300,321,754,275,310,657,286,234,228
2021년02월_계_70~79세,"4,277",776,264,240,267,329,611,247,298,525,266,236,218
2021년02월_계_80~89세,"3,017",508,204,167,188,239,452,173,252,337,169,145,183
2021년02월_계_90~99세,433,69,33,33,21,31,69,27,45,37,27,13,28
2021년02월_계_100세 이상,23,3,1,0,2,2,1,1,0,4,4,5,0
2021년02월_남_총인구수,"13,910","3,803",649,842,732,859,"1,877",686,759,"1,701",816,579,607
2021년02월_남_연령구간인구수,"13,910","3,803",649,842,732,859,"1,877",686,759,"1,701",816,579,607
2021년02월_남_0~9세,716,367,13,27,23,24,69,22,20,90,20,10,31
2021년02월_남_10~19세,875,368,29,37,45,47,130,22,29,78,46,21,23
2021년02월_남_20~29세,"1,200",416,45,54,55,66,153,51,46,142,91,34,47
2021년02월_남_30~39세,"1,065",419,35,49,56,52,139,36,37,131,42,37,32
2021년02월_남_40~49세,"1,705",591,84,87,76,93,206,72,76,199,110,50,61
2021년02월_남_50~59세,"2,643",595,119,194,129,154,353,154,149,364,173,144,115
2021년02월_남_60~69세,"2,711",524,139,216,159,184,396,164,162,336,163,131,137
2021년02월_남_70~79세,"1,877",346,111,110,120,145,256,98,139,249,115,97,91
2021년02월_남_80~89세,"1,008",166,67,57,61,87,154,60,91,99,50,54,62
2021년02월_남_90~99세,104,10,6,11,8,6,20,6,10,13,6,0,8
2021년02월_남_100세 이상,6,1,1,0,0,1,1,1,0,0,0,1,0
2021년02월_여_총인구수,"13,269","3,595",652,785,710,809,"1,834",626,755,"1,617",714,582,590
2021년02월_여_연령구간인구수,"13,269","3,595",652,785,710,809,"1,834",626,755,"1,617",714,582,590
2021년02월_여_0~9세,625,294,18,29,29,27,47,14,21,75,23,26,22
2021년02월_여_10~19세,779,356,27,19,25,32,101,30,33,82,26,23,25
2021년02월_여_20~29세,831,300,28,50,38,37,110,29,28,112,49,30,20
2021년02월_여_30~39세,852,369,27,47,34,34,102,31,29,95,24,27,33
2021년02월_여_40~49세,"1,106",471,37,57,50,50,150,41,40,118,36,30,26
2021년02월_여_50~59세,"2,005",474,89,145,104,130,264,87,101,272,138,96,105
2021년02월_여_60~69세,"2,316",498,109,176,141,137,358,111,148,321,123,103,91
2021년02월_여_70~79세,"2,400",430,153,130,147,184,355,149,159,276,151,139,127
2021년02월_여_80~89세,"2,009",342,137,110,127,152,298,113,161,238,119,91,121
2021년02월_여_90~99세,329,59,27,22,13,25,49,21,35,24,21,13,20
2021년02월_여_100세 이상,17,2,0,0,2,1,0,0,0,4,4,4,0
