,강원도 양구군,강원도 양구군 양구읍,강원도 양구군 국토정중앙면,강원도 양구군 동면,강원도 양구군 방산면,강원도 양구군 해안면
2021년06월_계_총인구수,"22,027","13,989","3,340","2,086","1,315","1,297"
2021년06월_계_연령구간인구수,"22,027","13,989","3,340","2,086","1,315","1,297"
2021년06월_계_0~9세,"1,688","1,411",110,98,42,27
2021년06월_계_10~19세,"2,039","1,628",182,83,59,87
2021년06월_계_20~29세,"2,975","1,716",416,448,283,112
2021년06월_계_30~39세,"2,515","1,919",249,167,96,84
2021년06월_계_40~49세,"2,486","1,842",278,145,88,133
2021년06월_계_50~59세,"3,426","1,993",614,339,199,281
2021년06월_계_60~69세,"3,552","1,881",738,368,281,284
2021년06월_계_70~79세,"1,974",935,447,267,146,179
2021년06월_계_80~89세,"1,193",581,264,141,108,99
2021년06월_계_90~99세,165,73,38,30,13,11
2021년06월_계_100세 이상,14,10,4,0,0,0
2021년06월_남_총인구수,"11,620","7,119","1,851","1,177",771,702
2021년06월_남_연령구간인구수,"11,620","7,119","1,851","1,177",771,702
2021년06월_남_0~9세,853,699,60,56,20,18
2021년06월_남_10~19세,"1,009",787,98,41,33,50
2021년06월_남_20~29세,"1,977","1,025",326,320,238,68
2021년06월_남_30~39세,"1,401","1,018",161,111,64,47
2021년06월_남_40~49세,"1,329",955,163,82,47,82
2021년06월_남_50~59세,"1,838","1,046",348,181,110,153
2021년06월_남_60~69세,"1,896",975,398,208,155,160
2021년06월_남_70~79세,856,398,192,117,63,86
2021년06월_남_80~89세,417,192,95,54,39,37
2021년06월_남_90~99세,39,20,9,7,2,1
2021년06월_남_100세 이상,5,4,1,0,0,0
2021년06월_여_총인구수,"10,407","6,870","1,489",909,544,595
2021년06월_여_연령구간인구수,"10,407","6,870","1,489",909,544,595
2021년06월_여_0~9세,835,712,50,42,22,9
2021년06월_여_10~19세,"1,030",841,84,42,26,37
2021년06월_여_20~29세,998,691,90,128,45,44
2021년06월_여_30~39세,"1,114",901,88,56,32,37
2021년06월_여_40~49세,"1,157",887,115,63,41,51
2021년06월_여_50~59세,"1,588",947,266,158,89,128
2021년06월_여_60~69세,"1,656",906,340,160,126,124
2021년06월_여_70~79세,"1,118",537,255,150,83,93
2021년06월_여_80~89세,776,389,169,87,69,62
2021년06월_여_90~99세,126,53,29,23,11,10
2021년06월_여_100세 이상,9,6,3,0,0,0
