카테고리,전라남도 목포시,전라남도 목포시 용당1동,전라남도 목포시 용당2동,전라남도 목포시 연동,전라남도 목포시 산정동,전라남도 목포시 연산동,전라남도 목포시 원산동,전라남도 목포시 대성동,전라남도 목포시 목원동,전라남도 목포시 동명동,전라남도 목포시 삼학동,전라남도 목포시 만호동,전라남도 목포시 유달동,전라남도 목포시 죽교동,전라남도 목포시 북항동,전라남도 목포시 용해동,전라남도 목포시 이로동,전라남도 목포시 상동,전라남도 목포시 하당동,전라남도 목포시 신흥동,전라남도 목포시 삼향동,전라남도 목포시 옥암동,전라남도 목포시 부흥동,전라남도 목포시 부주동
2020년08월_계_총인구수,"226,875","11,049","5,306","4,824","8,855","9,837","13,578","5,324","8,069","5,664","6,282","3,060","4,551","3,315","9,598","17,926","10,969","19,348","12,156","17,090","5,044","11,584","9,467","23,979"
2020년08월_계_연령구간인구수,"226,875","11,049","5,306","4,824","8,855","9,837","13,578","5,324","8,069","5,664","6,282","3,060","4,551","3,315","9,598","17,926","10,969","19,348","12,156","17,090","5,044","11,584","9,467","23,979"
2020년08월_계_0~9세,"19,151",528,232,175,661,"1,403","1,044",527,255,220,450,64,151,148,761,"1,981","1,031","1,722",890,"1,386",477,"1,173",848,"3,024"
2020년08월_계_10~19세,"24,985",773,346,293,951,"1,105","1,606",487,460,356,613,140,216,258,"1,036","2,505","1,438","2,240","1,191","1,954",551,"1,617","1,029","3,820"
2020년08월_계_20~29세,"27,384","1,173",537,440,"1,043","1,290","1,854",539,765,544,741,215,532,311,"1,134","1,854","1,171","2,159","2,144","2,660",547,"1,557","1,302","2,872"
2020년08월_계_30~39세,"26,823","1,063",482,395,977,"1,749","1,478",787,673,477,670,235,327,259,"1,051","2,312","1,262","2,273","1,725","2,042",613,"1,476","1,254","3,243"
2020년08월_계_40~49세,"38,013","1,475",707,641,"1,351","1,710","2,326",841,"1,060",769,969,432,558,480,"1,563","3,353","1,885","3,280","2,159","2,793",853,"2,132","1,617","5,059"
2020년08월_계_50~59세,"36,581","1,838",894,869,"1,498","1,193","2,379",798,"1,415",910,938,575,762,540,"1,662","2,536","1,662","3,067","1,974","3,185",786,"1,866","1,739","3,495"
2020년08월_계_60~69세,"28,491","2,071","1,059",873,"1,230",794,"1,601",687,"1,533","1,098","1,015",680,856,579,"1,353","1,784","1,376","2,522","1,223","1,887",653,"1,028",979,"1,610"
2020년08월_계_70~79세,"17,485","1,499",774,777,770,401,881,439,"1,304",931,645,500,755,508,728,"1,073",773,"1,423",566,785,378,495,468,612
2020년08월_계_80~89세,"6,928",550,232,319,323,161,362,197,508,325,223,187,348,200,280,464,318,567,245,345,161,213,201,199
2020년08월_계_90~99세,955,74,39,38,48,29,40,18,88,32,18,26,37,27,30,61,49,89,37,51,25,25,29,45
2020년08월_계_100세 이상,79,5,4,4,3,2,7,4,8,2,0,6,9,5,0,3,4,6,2,2,0,2,1,0
2020년08월_남_총인구수,"113,053","5,545","2,685","2,430","4,323","4,848","6,720","2,623","4,102","2,971","3,108","1,624","2,441","1,727","4,820","8,827","5,427","9,452","6,259","8,547","2,530","5,559","4,605","11,880"
2020년08월_남_연령구간인구수,"113,053","5,545","2,685","2,430","4,323","4,848","6,720","2,623","4,102","2,971","3,108","1,624","2,441","1,727","4,820","8,827","5,427","9,452","6,259","8,547","2,530","5,559","4,605","11,880"
2020년08월_남_0~9세,"9,833",285,121,83,317,739,548,277,122,112,235,27,74,66,424,"1,014",559,888,458,702,227,588,416,"1,551"
2020년08월_남_10~19세,"12,822",384,178,142,498,558,812,249,240,185,294,76,114,136,526,"1,280",734,"1,148",673,"1,043",302,797,539,"1,914"
2020년08월_남_20~29세,"14,752",656,315,236,548,639,"1,042",270,415,312,397,116,364,179,626,"1,009",634,"1,160","1,075","1,440",292,798,678,"1,551"
2020년08월_남_30~39세,"13,828",607,267,239,520,864,781,395,390,283,370,147,206,157,558,"1,128",615,"1,179",935,"1,047",306,687,639,"1,508"
2020년08월_남_40~49세,"19,575",832,425,413,688,857,"1,159",439,609,475,519,283,373,287,832,"1,700",958,"1,603","1,136","1,343",445,964,797,"2,438"
2020년08월_남_50~59세,"18,364",933,460,474,716,590,"1,176",405,776,501,430,348,457,316,802,"1,251",793,"1,466","1,048","1,525",398,911,808,"1,780"
2020년08월_남_60~69세,"13,586",950,480,405,561,356,740,333,756,511,465,331,434,298,623,808,635,"1,214",603,973,330,495,467,818
2020년08월_남_70~79세,"7,756",678,363,323,357,194,345,190,587,437,307,217,315,213,322,461,365,627,251,347,173,228,184,272
2020년08월_남_80~89세,"2,321",203,72,100,109,47,107,61,184,144,87,73,98,67,102,158,129,148,72,115,52,84,69,40
2020년08월_남_90~99세,200,14,4,13,9,3,9,3,21,10,4,4,6,6,5,18,5,19,8,12,5,7,7,8
2020년08월_남_100세 이상,16,3,0,2,0,1,1,1,2,1,0,2,0,2,0,0,0,0,0,0,0,0,1,0
2020년08월_여_총인구수,"113,822","5,504","2,621","2,394","4,532","4,989","6,858","2,701","3,967","2,693","3,174","1,436","2,110","1,588","4,778","9,099","5,542","9,896","5,897","8,543","2,514","6,025","4,862","12,099"
2020년08월_여_연령구간인구수,"113,822","5,504","2,621","2,394","4,532","4,989","6,858","2,701","3,967","2,693","3,174","1,436","2,110","1,588","4,778","9,099","5,542","9,896","5,897","8,543","2,514","6,025","4,862","12,099"
2020년08월_여_0~9세,"9,318",243,111,92,344,664,496,250,133,108,215,37,77,82,337,967,472,834,432,684,250,585,432,"1,473"
2020년08월_여_10~19세,"12,163",389,168,151,453,547,794,238,220,171,319,64,102,122,510,"1,225",704,"1,092",518,911,249,820,490,"1,906"
2020년08월_여_20~29세,"12,632",517,222,204,495,651,812,269,350,232,344,99,168,132,508,845,537,999,"1,069","1,220",255,759,624,"1,321"
2020년08월_여_30~39세,"12,995",456,215,156,457,885,697,392,283,194,300,88,121,102,493,"1,184",647,"1,094",790,995,307,789,615,"1,735"
2020년08월_여_40~49세,"18,438",643,282,228,663,853,"1,167",402,451,294,450,149,185,193,731,"1,653",927,"1,677","1,023","1,450",408,"1,168",820,"2,621"
2020년08월_여_50~59세,"18,217",905,434,395,782,603,"1,203",393,639,409,508,227,305,224,860,"1,285",869,"1,601",926,"1,660",388,955,931,"1,715"
2020년08월_여_60~69세,"14,905","1,121",579,468,669,438,861,354,777,587,550,349,422,281,730,976,741,"1,308",620,914,323,533,512,792
2020년08월_여_70~79세,"9,729",821,411,454,413,207,536,249,717,494,338,283,440,295,406,612,408,796,315,438,205,267,284,340
2020년08월_여_80~89세,"4,607",347,160,219,214,114,255,136,324,181,136,114,250,133,178,306,189,419,173,230,109,129,132,159
2020년08월_여_90~99세,755,60,35,25,39,26,31,15,67,22,14,22,31,21,25,43,44,70,29,39,20,18,22,37
2020년08월_여_100세 이상,63,2,4,2,3,1,6,3,6,1,0,4,9,3,0,3,4,6,2,2,0,2,0,0
