,경기도 시흥시,경기도 시흥시 대야동,경기도 시흥시 신천동,경기도 시흥시 신현동,경기도 시흥시 은행동,경기도 시흥시 매화동,경기도 시흥시 목감동,경기도 시흥시 군자동,경기도 시흥시 월곶동,경기도 시흥시 정왕본동,경기도 시흥시 정왕1동,경기도 시흥시 정왕2동,경기도 시흥시 정왕3동,경기도 시흥시 정왕4동,경기도 시흥시 배곧동,경기도 시흥시 배곧1동,경기도 시흥시 배곧2동,경기도 시흥시 과림동,경기도 시흥시 연성동,경기도 시흥시 장곡동,경기도 시흥시 능곡동
2021년07월_계_총인구수,"511,747","45,003","36,208","9,986","56,176","12,120","42,261","21,988","16,131","20,398","22,458","32,272","23,047","21,200",0,"35,788","35,452","1,958","23,847","31,489","23,965"
2021년07월_계_연령구간인구수,"511,747","45,003","36,208","9,986","56,176","12,120","42,261","21,988","16,131","20,398","22,458","32,272","23,047","21,200",0,"35,788","35,452","1,958","23,847","31,489","23,965"
2021년07월_계_0~9세,"48,738","3,512","1,584",427,"7,261",653,"5,754","1,500","1,372","1,122","1,273","2,347","1,703","1,616",0,"5,943","4,764",45,"1,706","3,704","2,452"
2021년07월_계_10~19세,"50,375","3,482","3,131",724,"5,762","1,163","3,409","2,196","1,497","1,126","1,936","3,511","2,104","2,635",0,"4,307","3,868",50,"2,791","3,967","2,716"
2021년07월_계_20~29세,"70,055","6,751","5,846","1,392","6,680","1,667","4,154","2,829","1,920","3,223","3,704","5,207","3,046","3,544",0,"3,472","5,529",156,"3,706","3,969","3,260"
2021년07월_계_30~39세,"78,529","7,014","3,949",985,"9,771","1,082","8,168","2,582","2,372","3,998","3,347","4,374","3,147","2,400",0,"6,899","7,330",179,"2,591","4,707","3,634"
2021년07월_계_40~49세,"92,285","6,592","5,089","1,273","9,886","1,891","7,583","3,830","3,166","4,220","4,519","6,163","4,602","3,758",0,"7,685","7,320",169,"4,107","6,239","4,193"
2021년07월_계_50~59세,"89,310","8,600","8,064","2,213","8,692","2,507","5,746","4,095","2,707","3,780","4,335","6,268","4,610","4,342",0,"4,458","4,271",453,"4,899","5,193","4,077"
2021년07월_계_60~69세,"51,574","5,761","5,337","1,778","5,256","1,740","4,687","2,916","1,825","1,956","2,195","2,736","2,472","1,715",0,"2,175","1,714",568,"2,311","2,291","2,141"
2021년07월_계_70~79세,"19,923","2,067","2,103",755,"1,877",881,"1,842","1,321",855,656,751,"1,030",871,717,0,598,453,228,"1,074",917,927
2021년07월_계_80~89세,"9,405","1,047",957,376,840,467,769,620,364,273,341,562,411,427,0,219,169,85,574,429,475
2021년07월_계_90~99세,"1,447",168,124,54,146,66,134,88,49,41,54,71,79,45,0,31,34,21,83,71,88
2021년07월_계_100세 이상,106,9,24,9,5,3,15,11,4,3,3,3,2,1,0,1,0,4,5,2,2
2021년07월_남_총인구수,"267,186","22,828","18,684","5,249","28,039","6,356","21,382","11,525","8,407","12,843","13,261","17,524","12,981","10,484",0,"17,823","18,647","1,201","12,135","15,903","11,914"
2021년07월_남_연령구간인구수,"267,186","22,828","18,684","5,249","28,039","6,356","21,382","11,525","8,407","12,843","13,261","17,524","12,981","10,484",0,"17,823","18,647","1,201","12,135","15,903","11,914"
2021년07월_남_0~9세,"24,731","1,797",835,217,"3,656",313,"2,897",783,680,565,636,"1,174",863,844,0,"2,974","2,434",23,885,"1,893","1,262"
2021년07월_남_10~19세,"25,874","1,789","1,642",377,"2,929",613,"1,747","1,144",780,575,999,"1,814","1,097","1,336",0,"2,192","1,922",28,"1,446","2,066","1,378"
2021년07월_남_20~29세,"37,964","3,561","3,174",773,"3,423",967,"2,104","1,553","1,031","2,107","2,356","3,024","1,755","1,817",0,"1,698","2,999",97,"1,957","1,990","1,578"
2021년07월_남_30~39세,"42,026","3,651","2,194",567,"4,794",583,"4,089","1,457","1,268","2,733","2,123","2,584","1,856","1,203",0,"3,292","3,947",123,"1,353","2,320","1,889"
2021년07월_남_40~49세,"49,767","3,412","2,655",662,"5,117","1,004","4,104","2,126","1,742","2,858","2,823","3,444","2,805","1,773",0,"4,016","3,931",116,"2,018","3,126","2,035"
