카테고리,부산광역시 기장군,부산광역시 기장군 기장읍,부산광역시 기장군 장안읍,부산광역시 기장군 정관읍,부산광역시 기장군 일광면,부산광역시 기장군 철마면
2020년06월_계_총인구수,"170,139","53,798","8,749","82,192","17,245","8,155"
2020년06월_계_연령구간인구수,"170,139","53,798","8,749","82,192","17,245","8,155"
2020년06월_계_0~9세,"19,232","3,440",432,"12,799","2,119",442
2020년06월_계_10~19세,"17,039","4,665",460,"10,366","1,121",427
2020년06월_계_20~29세,"16,407","6,371","1,007","6,647","1,607",775
2020년06월_계_30~39세,"25,069","5,835","1,079","14,284","3,140",731
2020년06월_계_40~49세,"31,237","8,594",987,"18,079","2,552","1,025"
2020년06월_계_50~59세,"23,188","9,519","1,605","8,192","2,412","1,460"
2020년06월_계_60~69세,"20,280","7,958","1,613","6,696","2,305","1,708"
2020년06월_계_70~79세,"11,969","4,904",958,"3,703","1,335","1,069"
2020년06월_계_80~89세,"4,962","2,177",514,"1,251",561,459
2020년06월_계_90~99세,713,314,84,169,89,57
2020년06월_계_100세 이상,43,21,10,6,4,2
2020년06월_남_총인구수,"84,220","26,223","4,669","40,561","8,665","4,102"
2020년06월_남_연령구간인구수,"84,220","26,223","4,669","40,561","8,665","4,102"
2020년06월_남_0~9세,"9,772","1,782",222,"6,503","1,061",204
2020년06월_남_10~19세,"8,910","2,418",266,"5,412",579,235
2020년06월_남_20~29세,"8,677","3,404",598,"3,333",888,454
2020년06월_남_30~39세,"12,373","3,038",645,"6,704","1,613",373
2020년06월_남_40~49세,"16,162","4,296",576,"9,348","1,370",572
2020년06월_남_50~59세,"11,674","4,702",879,"4,152","1,213",728
2020년06월_남_60~69세,"9,424","3,728",844,"2,906","1,125",821
2020년06월_남_70~79세,"5,425","2,054",463,"1,748",622,538
2020년06월_남_80~89세,"1,670",748,153,428,179,162
2020년06월_남_90~99세,126,51,18,27,15,15
2020년06월_남_100세 이상,7,2,5,0,0,0
2020년06월_여_총인구수,"85,919","27,575","4,080","41,631","8,580","4,053"
2020년06월_여_연령구간인구수,"85,919","27,575","4,080","41,631","8,580","4,053"
2020년06월_여_0~9세,"9,460","1,658",210,"6,296","1,058",238
2020년06월_여_10~19세,"8,129","2,247",194,"4,954",542,192
2020년06월_여_20~29세,"7,730","2,967",409,"3,314",719,321
2020년06월_여_30~39세,"12,696","2,797",434,"7,580","1,527",358
2020년06월_여_40~49세,"15,075","4,298",411,"8,731","1,182",453
2020년06월_여_50~59세,"11,514","4,817",726,"4,040","1,199",732
2020년06월_여_60~69세,"10,856","4,230",769,"3,790","1,180",887
2020년06월_여_70~79세,"6,544","2,850",495,"1,955",713,531
2020년06월_여_80~89세,"3,292","1,429",361,823,382,297
2020년06월_여_90~99세,587,263,66,142,74,42
2020년06월_여_100세 이상,36,19,5,6,4,2
