카테고리,인천광역시 연수구,인천광역시 연수구 옥련1동,인천광역시 연수구 옥련2동,인천광역시 연수구 선학동,인천광역시 연수구 연수1동,인천광역시 연수구 연수2동,인천광역시 연수구 연수3동,인천광역시 연수구 청학동,인천광역시 연수구 동춘1동,인천광역시 연수구 동춘2동,인천광역시 연수구 동춘3동,인천광역시 연수구 송도1동,인천광역시 연수구 송도2동,인천광역시 연수구 송도3동,인천광역시 연수구 송도4동,인천광역시 연수구 송도5동
2021년11월_계_총인구수,"389,638","19,322","20,420","17,214","19,436","21,181","16,159","24,819","25,480","18,334","18,590","37,787","36,739","49,052","25,274","39,831"
2021년11월_계_연령구간인구수,"389,638","19,322","20,420","17,214","19,436","21,181","16,159","24,819","25,480","18,334","18,590","37,787","36,739","49,052","25,274","39,831"
2021년11월_계_0~9세,"37,234","1,260","1,382",833,870,"1,316",892,"1,161","2,278","1,290","1,454","2,990","4,714","6,672","3,713","6,409"
2021년11월_계_10~19세,"43,166","1,847","2,133","1,065","1,517","1,635","1,169","1,660","2,668","1,903","2,771","5,468","6,428","6,122","3,017","3,763"
2021년11월_계_20~29세,"50,769","2,546","2,829","2,384","2,963","3,196","2,163","3,353","3,301","2,539","2,496","6,468","3,607","6,130","2,778","4,016"
2021년11월_계_30~39세,"56,595","2,195","2,370","2,193","2,490","3,217","2,131","3,055","3,659","2,608","1,754","4,302","4,237","9,057","4,512","8,815"
2021년11월_계_40~49세,"68,948","3,037","3,278","2,346","3,090","3,010","2,103","3,480","4,178","2,797","3,238","6,563","8,527","10,033","5,306","7,962"
2021년11월_계_50~59세,"65,166","3,697","3,909","3,264","3,948","3,798","2,977","5,157","4,654","3,492","3,404","6,409","5,652","6,269","3,469","5,067"
2021년11월_계_60~69세,"42,851","2,653","2,681","3,171","2,799","3,022","2,672","4,142","3,246","2,371","2,112","3,719","2,410","3,230","1,767","2,856"
2021년11월_계_70~79세,"15,849","1,332","1,186","1,248","1,165","1,177","1,188","1,769",943,813,854,"1,198",742,"1,056",508,670
2021년11월_계_80~89세,"7,636",653,548,605,510,677,716,897,448,455,422,545,353,410,177,220
2021년11월_계_90~99세,"1,375",102,100,100,80,127,142,138,101,65,85,122,65,71,25,52
2021년11월_계_100세 이상,49,0,4,5,4,6,6,7,4,1,0,3,4,2,2,1
2021년11월_남_총인구수,"193,434","9,567","10,078","8,912","10,620","10,420","7,671","12,879","12,521","8,915","9,044","18,525","18,026","24,057","12,510","19,689"
2021년11월_남_연령구간인구수,"193,434","9,567","10,078","8,912","10,620","10,420","7,671","12,879","12,521","8,915","9,044","18,525","18,026","24,057","12,510","19,689"
2021년11월_남_0~9세,"18,994",653,686,450,445,690,467,566,"1,176",649,722,"1,537","2,392","3,370","1,909","3,282"
2021년11월_남_10~19세,"22,123",967,"1,103",549,835,825,589,868,"1,326",982,"1,428","2,789","3,284","3,126","1,510","1,942"
2021년11월_남_20~29세,"26,392","1,377","1,512","1,356","1,669","1,701","1,087","1,908","1,724","1,316","1,316","3,213","1,860","2,972","1,403","1,978"
2021년11월_남_30~39세,"27,810","1,137","1,170","1,251","1,493","1,692","1,129","1,749","1,781","1,321",763,"2,057","1,757","4,229","2,071","4,210"
2021년11월_남_40~49세,"33,867","1,486","1,617","1,290","1,774","1,480","1,002","1,886","2,030","1,319","1,446","2,984","3,954","4,915","2,640","4,044"
2021년11월_남_50~59세,"32,131","1,806","1,863","1,570","2,146","1,784","1,338","2,627","2,148","1,610","1,693","3,210","3,016","3,155","1,750","2,415"
2021년11월_남_60~69세,"21,911","1,302","1,362","1,634","1,514","1,511","1,329","2,137","1,692","1,191","1,100","1,921","1,295","1,627",898,"1,398"
2021년11월_남_70~79세,"7,351",579,558,583,548,524,506,795,469,367,404,589,328,500,254,347
2021년11월_남_80~89세,"2,560",235,186,209,177,186,202,312,147,145,150,201,129,145,71,65
2021년11월_남_90~99세,286,25,20,20,19,26,21,27,28,15,22,24,11,16,4,8
2021년11월_남_100세 이상,9,0,1,0,0,1,1,4,0,0,0,0,0,2,0,0
2021년11월_여_총인구수,"196,204","9,755","10,342","8,302","8,816","10,761","8,488","11,940","12,959","9,419","9,546","19,262","18,713","24,995","12,764","20,142"
2021년11월_여_연령구간인구수,"196,204","9,755","10,342","8,302","8,816","10,761","8,488","11,940","12,959","9,419","9,546","19,262","18,713","24,995","12,764","20,142"
2021년11월_여_0~9세,"18,240",607,696,383,425,626,425,595,"1,102",641,732,"1,453","2,322","3,302","1,804","3,127"
2021년11월_여_10~19세,"21,043",880,"1,030",516,682,810,580,792,"1,342",921,"1,343","2,679","3,144","2,996","1,507","1,821"
2021년11월_여_20~29세,"24,377","1,169","1,317","1,028","1,294","1,495","1,076","1,445","1,577","1,223","1,180","3,255","1,747","3,158","1,375","2,038"
2021년11월_여_30~39세,"28,785","1,058","1,200",942,997,"1,525","1,002","1,306","1,878","1,287",991,"2,245","2,480","4,828","2,441","4,605"
2021년11월_여_40~49세,"35,081","1,551","1,661","1,056","1,316","1,530","1,101","1,594","2,148","1,478","1,792","3,579","4,573","5,118","2,666","3,918"
2021년11월_여_50~59세,"33,035","1,891","2,046","1,694","1,802","2,014","1,639","2,530","2,506","1,882","1,711","3,199","2,636","3,114","1,719","2,652"
2021년11월_여_60~69세,"20,940","1,351","1,319","1,537","1,285","1,511","1,343","2,005","1,554","1,180","1,012","1,798","1,115","1,603",869,"1,458"
2021년11월_여_70~79세,"8,498",753,628,665,617,653,682,974,474,446,450,609,414,556,254,323
2021년11월_여_80~89세,"5,076",418,362,396,333,491,514,585,301,310,272,344,224,265,106,155
2021년11월_여_90~99세,"1,089",77,80,80,61,101,121,111,73,50,63,98,54,55,21,44
