,경상북도 울릉군,경상북도 울릉군 울릉읍,경상북도 울릉군 서면,경상북도 울릉군 서면태하출장소,경상북도 울릉군 북면
2021년01월_계_총인구수,"9,035","6,397",879,443,"1,316"
2021년01월_계_연령구간인구수,"9,035","6,397",879,443,"1,316"
2021년01월_계_0~9세,388,286,40,15,47
2021년01월_계_10~19세,454,363,36,15,40
2021년01월_계_20~29세,826,606,81,23,116
2021년01월_계_30~39세,845,641,59,31,114
2021년01월_계_40~49세,"1,287",981,101,31,174
2021년01월_계_50~59세,"1,830","1,309",189,89,243
2021년01월_계_60~69세,"1,767","1,210",174,101,282
2021년01월_계_70~79세,"1,050",674,116,92,168
2021년01월_계_80~89세,497,281,75,30,111
2021년01월_계_90~99세,79,34,8,16,21
2021년01월_계_100세 이상,12,12,0,0,0
2021년01월_남_총인구수,"4,933","3,488",480,239,726
2021년01월_남_연령구간인구수,"4,933","3,488",480,239,726
2021년01월_남_0~9세,200,147,20,9,24
2021년01월_남_10~19세,233,174,24,11,24
2021년01월_남_20~29세,496,347,64,10,75
2021년01월_남_30~39세,508,389,32,19,68
2021년01월_남_40~49세,790,597,61,20,112
2021년01월_남_50~59세,"1,071",764,110,52,145
2021년01월_남_60~69세,928,631,96,53,148
2021년01월_남_70~79세,485,312,47,47,79
2021년01월_남_80~89세,195,113,23,13,46
2021년01월_남_90~99세,22,9,3,5,5
2021년01월_남_100세 이상,5,5,0,0,0
2021년01월_여_총인구수,"4,102","2,909",399,204,590
2021년01월_여_연령구간인구수,"4,102","2,909",399,204,590
2021년01월_여_0~9세,188,139,20,6,23
2021년01월_여_10~19세,221,189,12,4,16
2021년01월_여_20~29세,330,259,17,13,41
2021년01월_여_30~39세,337,252,27,12,46
2021년01월_여_40~49세,497,384,40,11,62
2021년01월_여_50~59세,759,545,79,37,98
2021년01월_여_60~69세,839,579,78,48,134
2021년01월_여_70~79세,565,362,69,45,89
2021년01월_여_80~89세,302,168,52,17,65
2021년01월_여_90~99세,57,25,5,11,16
2021년01월_여_100세 이상,7,7,0,0,0
