카테고리,경상남도 양산시,경상남도 양산시 물금읍,경상남도 양산시 동면,경상남도 양산시 원동면,경상남도 양산시 상북면,경상남도 양산시 하북면,경상남도 양산시 중앙동,경상남도 양산시 양주동,경상남도 양산시 삼성동,경상남도 양산시 강서동,경상남도 양산시 서창동,경상남도 양산시 소주동,경상남도 양산시 평산동,경상남도 양산시 덕계동
2020년11월_계_총인구수,"351,797","119,630","35,387","3,360","12,968","8,424","11,551","33,684","22,379","9,166","28,698","20,313","31,015","15,222"
2020년11월_계_연령구간인구수,"351,797","119,630","35,387","3,360","12,968","8,424","11,551","33,684","22,379","9,166","28,698","20,313","31,015","15,222"
2020년11월_계_0~9세,"34,757","16,120","4,906",85,545,189,465,"2,622","1,414",766,"2,432","1,431","2,541","1,241"
2020년11월_계_10~19세,"34,263","12,421","2,829",101,862,538,634,"4,274","1,828","1,011","3,305","1,821","3,286","1,353"
2020년11월_계_20~29세,"40,786","14,347","3,307",166,"1,334",897,"1,436","4,629","3,257","1,038","3,257","2,203","3,197","1,718"
2020년11월_계_30~39세,"49,379","21,258","6,582",209,"1,090",584,"1,253","3,426","3,049","1,130","3,368","2,333","3,217","1,880"
2020년11월_계_40~49세,"60,742","21,776","6,386",277,"1,691",955,"1,491","6,214","3,526","1,678","5,455","3,413","5,510","2,370"
2020년11월_계_50~59세,"58,611","16,752","4,816",603,"2,773","1,926","2,483","6,188","4,649","1,567","4,937","3,873","5,211","2,833"
2020년11월_계_60~69세,"42,428","10,623","4,008",934,"2,569","1,871","2,313","3,424","2,938","1,163","3,528","2,866","4,063","2,128"
2020년11월_계_70~79세,"20,976","4,394","1,837",628,"1,407",904,"1,010","2,003","1,164",554,"1,693","1,560","2,704","1,118"
2020년11월_계_80~89세,"8,724","1,702",627,308,602,471,403,820,481,232,635,737,"1,182",524
2020년11월_계_90~99세,"1,072",229,87,47,86,81,55,82,70,27,77,74,100,57
2020년11월_계_100세 이상,59,8,2,2,9,8,8,2,3,0,11,2,4,0
2020년11월_남_총인구수,"176,428","59,171","17,938","1,738","6,600","4,419","6,119","16,338","11,698","4,606","14,943","10,149","15,129","7,580"
2020년11월_남_연령구간인구수,"176,428","59,171","17,938","1,738","6,600","4,419","6,119","16,338","11,698","4,606","14,943","10,149","15,129","7,580"
2020년11월_남_0~9세,"17,759","8,205","2,518",47,269,98,240,"1,348",724,379,"1,261",722,"1,294",654
2020년11월_남_10~19세,"17,620","6,404","1,421",48,431,287,361,"2,237",957,470,"1,693",934,"1,687",690
2020년11월_남_20~29세,"21,810","7,100","1,804",98,786,536,854,"2,438","1,888",550,"1,863","1,219","1,727",947
2020년11월_남_30~39세,"25,352","10,531","3,323",135,624,335,737,"1,683","1,746",628,"1,815","1,228","1,593",974
2020년11월_남_40~49세,"30,851","10,941","3,445",172,902,510,829,"2,815","1,865",847,"2,861","1,724","2,781","1,159"
2020년11월_남_50~59세,"29,584","8,194","2,387",324,"1,425","1,018","1,298","3,078","2,304",826,"2,683","2,005","2,627","1,415"
2020년11월_남_60~69세,"20,787","5,193","1,911",485,"1,332","1,025","1,172","1,555","1,545",580,"1,753","1,399","1,795","1,042"
2020년11월_남_70~79세,"9,415","2,024",898,312,607,438,473,839,511,253,775,656,"1,136",493
2020년11월_남_80~89세,"3,011",538,213,107,201,152,136,329,139,72,226,243,460,195
2020년11월_남_90~99세,228,40,18,10,20,20,18,15,17,1,12,19,27,11
2020년11월_남_100세 이상,11,1,0,0,3,0,1,1,2,0,1,0,2,0
2020년11월_여_총인구수,"175,369","60,459","17,449","1,622","6,368","4,005","5,432","17,346","10,681","4,560","13,755","10,164","15,886","7,642"
2020년11월_여_연령구간인구수,"175,369","60,459","17,449","1,622","6,368","4,005","5,432","17,346","10,681","4,560","13,755","10,164","15,886","7,642"
2020년11월_여_0~9세,"16,998","7,915","2,388",38,276,91,225,"1,274",690,387,"1,171",709,"1,247",587
2020년11월_여_10~19세,"16,643","6,017","1,408",53,431,251,273,"2,037",871,541,"1,612",887,"1,599",663
2020년11월_여_20~29세,"18,976","7,247","1,503",68,548,361,582,"2,191","1,369",488,"1,394",984,"1,470",771
2020년11월_여_30~39세,"24,027","10,727","3,259",74,466,249,516,"1,743","1,303",502,"1,553","1,105","1,624",906
2020년11월_여_40~49세,"29,891","10,835","2,941",105,789,445,662,"3,399","1,661",831,"2,594","1,689","2,729","1,211"
2020년11월_여_50~59세,"29,027","8,558","2,429",279,"1,348",908,"1,185","3,110","2,345",741,"2,254","1,868","2,584","1,418"
2020년11월_여_60~69세,"21,641","5,430","2,097",449,"1,237",846,"1,141","1,869","1,393",583,"1,775","1,467","2,268","1,086"
2020년11월_여_70~79세,"11,561","2,370",939,316,800,466,537,"1,164",653,301,918,904,"1,568",625
2020년11월_여_80~89세,"5,713","1,164",414,201,401,319,267,491,342,160,409,494,722,329
2020년11월_여_90~99세,844,189,69,37,66,61,37,67,53,26,65,55,73,46
2020년11월_여_100세 이상,48,7,2,2,6,8,7,1,1,0,10,2,2,0
