,충청남도 홍성군,충청남도 홍성군 홍성읍,충청남도 홍성군 광천읍,충청남도 홍성군 홍북읍,충청남도 홍성군 금마면,충청남도 홍성군 홍동면,충청남도 홍성군 장곡면,충청남도 홍성군 은하면,충청남도 홍성군 결성면,충청남도 홍성군 서부면,충청남도 홍성군 갈산면,충청남도 홍성군 구항면
2020년04월_계_총인구수,"99,973","38,487","8,625","28,202","3,493","3,452","2,972","2,359","2,133","3,266","3,543","3,441"
2020년04월_계_연령구간인구수,"99,973","38,487","8,625","28,202","3,493","3,452","2,972","2,359","2,133","3,266","3,543","3,441"
2020년04월_계_0~9세,"7,950","2,606",291,"4,393",108,131,82,49,30,83,84,93
2020년04월_계_10~19세,"9,664","4,468",467,"3,589",141,231,121,77,72,150,163,185
2020년04월_계_20~29세,"9,706","4,866",621,"2,704",229,241,158,127,120,220,189,231
2020년04월_계_30~39세,"10,806","3,748",523,"5,193",218,189,149,113,108,156,209,200
2020년04월_계_40~49세,"14,617","6,246",857,"5,310",339,380,247,171,135,286,287,359
2020년04월_계_50~59세,"15,918","6,814","1,515","3,311",652,600,461,395,370,577,598,625
2020년04월_계_60~69세,"14,227","4,979","1,820","1,979",738,686,629,546,503,756,828,763
2020년04월_계_70~79세,"9,905","2,997","1,552","1,037",576,528,584,454,426,585,615,551
2020년04월_계_80~89세,"6,307","1,534",849,606,432,422,492,363,326,395,499,389
2020년04월_계_90~99세,814,213,110,77,59,42,47,63,43,51,66,43
2020년04월_계_100세 이상,59,16,20,3,1,2,2,1,0,7,5,2
2020년04월_남_총인구수,"49,723","19,090","4,227","14,122","1,763","1,758","1,436","1,188","1,038","1,605","1,763","1,733"
2020년04월_남_연령구간인구수,"49,723","19,090","4,227","14,122","1,763","1,758","1,436","1,188","1,038","1,605","1,763","1,733"
2020년04월_남_0~9세,"4,127","1,338",154,"2,290",59,73,43,27,14,36,45,48
2020년04월_남_10~19세,"4,929","2,274",245,"1,827",82,124,61,37,30,71,84,94
2020년04월_남_20~29세,"5,363","2,714",372,"1,350",133,155,95,82,78,133,115,136
2020년04월_남_30~39세,"5,601","1,934",309,"2,564",131,109,85,74,73,91,128,103
2020년04월_남_40~49세,"7,659","3,052",499,"2,710",212,219,163,110,87,190,193,224
2020년04월_남_50~59세,"8,244","3,474",762,"1,728",353,321,249,223,188,289,314,343
2020년04월_남_60~69세,"6,967","2,370",870,962,377,354,309,274,247,379,428,397
2020년04월_남_70~79세,"4,414","1,333",684,478,253,247,246,217,195,261,249,251
2020년04월_남_80~89세,"2,196",537,293,200,148,148,174,128,119,140,183,126
2020년04월_남_90~99세,205,57,34,13,14,8,10,16,7,13,22,11
2020년04월_남_100세 이상,18,7,5,0,1,0,1,0,0,2,2,0
2020년04월_여_총인구수,"50,250","19,397","4,398","14,080","1,730","1,694","1,536","1,171","1,095","1,661","1,780","1,708"
2020년04월_여_연령구간인구수,"50,250","19,397","4,398","14,080","1,730","1,694","1,536","1,171","1,095","1,661","1,780","1,708"
2020년04월_여_0~9세,"3,823","1,268",137,"2,103",49,58,39,22,16,47,39,45
2020년04월_여_10~19세,"4,735","2,194",222,"1,762",59,107,60,40,42,79,79,91
2020년04월_여_20~29세,"4,343","2,152",249,"1,354",96,86,63,45,42,87,74,95
2020년04월_여_30~39세,"5,205","1,814",214,"2,629",87,80,64,39,35,65,81,97
2020년04월_여_40~49세,"6,958","3,194",358,"2,600",127,161,84,61,48,96,94,135
2020년04월_여_50~59세,"7,674","3,340",753,"1,583",299,279,212,172,182,288,284,282
2020년04월_여_60~69세,"7,260","2,609",950,"1,017",361,332,320,272,256,377,400,366
2020년04월_여_70~79세,"5,491","1,664",868,559,323,281,338,237,231,324,366,300
2020년04월_여_80~89세,"4,111",997,556,406,284,274,318,235,207,255,316,263
2020년04월_여_90~99세,609,156,76,64,45,34,37,47,36,38,44,32
2020년04월_여_100세 이상,41,9,15,3,0,2,1,1,0,5,3,2
