카테고리,경상북도 영주시,경상북도 영주시 풍기읍,경상북도 영주시 이산면,경상북도 영주시 평은면,경상북도 영주시 문수면,경상북도 영주시 장수면,경상북도 영주시 안정면,경상북도 영주시 봉현면,경상북도 영주시 순흥면,경상북도 영주시 단산면,경상북도 영주시 부석면,경상북도 영주시 상망동,경상북도 영주시 하망동,경상북도 영주시 영주1동,경상북도 영주시 영주2동,경상북도 영주시 휴천1동,경상북도 영주시 휴천2동,경상북도 영주시 휴천3동,경상북도 영주시 가흥1동,경상북도 영주시 가흥2동
2020년05월_계_총인구수,"104,236","10,686","2,429","1,450","1,982","2,237","3,103","2,814","2,044","1,924","3,157","8,103","6,233","4,153","3,642","6,733","8,353","8,140","19,044","8,009"
2020년05월_계_연령구간인구수,"104,236","10,686","2,429","1,450","1,982","2,237","3,103","2,814","2,044","1,924","3,157","8,103","6,233","4,153","3,642","6,733","8,353","8,140","19,044","8,009"
2020년05월_계_0~9세,"6,395",485,58,25,61,62,82,79,40,33,55,534,358,168,182,501,456,482,"2,171",563
2020년05월_계_10~19세,"9,127",726,107,60,91,118,133,138,89,73,136,"1,015",623,303,265,889,642,745,"2,120",854
2020년05월_계_20~29세,"9,864",951,216,80,160,153,228,179,137,112,137,799,610,327,315,705,979,989,"1,978",809
2020년05월_계_30~39세,"8,854",753,123,54,100,126,169,134,90,86,142,616,466,317,280,572,707,671,"2,636",812
2020년05월_계_40~49세,"14,129","1,263",194,102,186,199,259,280,145,161,223,"1,324",888,494,437,"1,165","1,086","1,082","3,381","1,260"
2020년05월_계_50~59세,"18,303","1,922",497,261,330,377,537,527,399,355,623,"1,397","1,122",726,656,"1,196","1,619","1,626","2,739","1,394"
2020년05월_계_60~69세,"17,840","2,222",532,334,441,493,713,708,525,453,811,"1,133","1,021",856,718,838,"1,428","1,327","2,102","1,185"
2020년05월_계_70~79세,"11,964","1,442",363,286,324,392,537,463,349,340,598,806,727,596,521,567,940,795,"1,232",686
2020년05월_계_80~89세,"6,728",780,300,213,242,264,387,258,224,271,376,398,372,322,236,269,441,369,610,396
2020년05월_계_90~99세,976,131,38,34,45,50,57,41,45,39,52,78,43,40,32,29,51,52,73,46
2020년05월_계_100세 이상,56,11,1,1,2,3,1,7,1,1,4,3,3,4,0,2,4,2,2,4
2020년05월_남_총인구수,"51,666","5,253","1,252",728,"1,008","1,140","1,570","1,435","1,017",957,"1,567","4,037","2,983","2,018","1,742","3,366","4,106","4,059","9,557","3,871"
2020년05월_남_연령구간인구수,"51,666","5,253","1,252",728,"1,008","1,140","1,570","1,435","1,017",957,"1,567","4,037","2,983","2,018","1,742","3,366","4,106","4,059","9,557","3,871"
2020년05월_남_0~9세,"3,306",255,32,16,33,32,46,41,24,19,31,275,181,97,105,253,207,244,"1,123",292
2020년05월_남_10~19세,"4,772",368,51,29,51,63,68,68,46,42,75,541,311,138,142,477,358,408,"1,092",444
2020년05월_남_20~29세,"5,769",595,140,51,99,97,148,111,88,74,72,476,348,199,176,432,547,576,"1,109",431
2020년05월_남_30~39세,"4,740",394,75,31,62,83,106,73,54,57,84,323,254,181,141,287,380,363,"1,359",433
2020년05월_남_40~49세,"7,314",677,108,71,114,116,164,180,80,96,142,639,437,254,219,562,554,524,"1,754",623
2020년05월_남_50~59세,"9,310",942,284,147,176,202,278,278,208,185,334,730,574,390,324,618,776,812,"1,394",658
2020년05월_남_60~69세,"8,553","1,094",272,166,236,262,365,357,266,243,405,544,453,391,313,370,645,620,985,566
2020년05월_남_70~79세,"5,333",630,176,135,152,174,254,229,158,145,282,354,288,246,233,267,444,364,511,291
2020년05월_남_80~89세,"2,347",268,105,72,77,99,134,84,83,86,133,146,127,111,83,90,180,134,211,124
2020년05월_남_90~99세,209,26,9,10,8,12,7,12,9,9,8,9,9,10,6,10,14,14,18,9
2020년05월_남_100세 이상,13,4,0,0,0,0,0,2,1,1,1,0,1,1,0,0,1,0,1,0
2020년05월_여_총인구수,"52,570","5,433","1,177",722,974,"1,097","1,533","1,379","1,027",967,"1,590","4,066","3,250","2,135","1,900","3,367","4,247","4,081","9,487","4,138"
2020년05월_여_연령구간인구수,"52,570","5,433","1,177",722,974,"1,097","1,533","1,379","1,027",967,"1,590","4,066","3,250","2,135","1,900","3,367","4,247","4,081","9,487","4,138"
2020년05월_여_0~9세,"3,089",230,26,9,28,30,36,38,16,14,24,259,177,71,77,248,249,238,"1,048",271
2020년05월_여_10~19세,"4,355",358,56,31,40,55,65,70,43,31,61,474,312,165,123,412,284,337,"1,028",410
2020년05월_여_20~29세,"4,095",356,76,29,61,56,80,68,49,38,65,323,262,128,139,273,432,413,869,378
2020년05월_여_30~39세,"4,114",359,48,23,38,43,63,61,36,29,58,293,212,136,139,285,327,308,"1,277",379
2020년05월_여_40~49세,"6,815",586,86,31,72,83,95,100,65,65,81,685,451,240,218,603,532,558,"1,627",637
2020년05월_여_50~59세,"8,993",980,213,114,154,175,259,249,191,170,289,667,548,336,332,578,843,814,"1,345",736
2020년05월_여_60~69세,"9,287","1,128",260,168,205,231,348,351,259,210,406,589,568,465,405,468,783,707,"1,117",619
2020년05월_여_70~79세,"6,631",812,187,151,172,218,283,234,191,195,316,452,439,350,288,300,496,431,721,395
2020년05월_여_80~89세,"4,381",512,195,141,165,165,253,174,141,185,243,252,245,211,153,179,261,235,399,272
2020년05월_여_90~99세,767,105,29,24,37,38,50,29,36,30,44,69,34,30,26,19,37,38,55,37
2020년05월_여_100세 이상,43,7,1,1,2,3,1,5,0,0,3,3,2,3,0,2,3,2,1,4
