,경상남도,경상남도 창원시,경상남도 창원시 의창구,경상남도 창원시 성산구,경상남도 창원시 마산합포구,경상남도 창원시 마산회원구,경상남도 창원시 진해구,경상남도 진주시,경상남도 통영시,경상남도 사천시,경상남도 김해시,경상남도 밀양시,경상남도 거제시,경상남도 양산시,경상남도 의령군,경상남도 함안군,경상남도 창녕군,경상남도 고성군,경상남도 남해군,경상남도 하동군,경상남도 산청군,경상남도 함양군,경상남도 거창군,경상남도 합천군
2020년10월_계_총인구수,"3,342,831","1,037,709","263,161","215,523","174,830","191,697","192,498","347,759","128,835","111,313","542,376","104,924","246,133","351,910","26,864","64,351","61,561","51,477","42,893","45,033","34,921","39,141","61,459","44,172"
2020년10월_계_연령구간인구수,"3,342,831","1,037,709","263,161","215,523","174,830","191,697","192,498","347,759","128,835","111,313","542,376","104,924","246,133","351,910","26,864","64,351","61,561","51,477","42,893","45,033","34,921","39,141","61,459","44,172"
2020년10월_계_0~9세,"271,673","84,174","21,737","16,799","12,527","13,567","19,544","28,563","9,847","8,280","49,757","5,662","27,108","34,954","1,107","4,189","3,316","2,647","1,569","1,905","1,364","1,830","3,771","1,630"
2020년10월_계_10~19세,"325,298","100,175","23,764","23,320","13,744","18,364","20,983","35,366","12,873","10,326","61,594","7,894","27,928","34,320","1,544","5,990","4,144","4,087","2,940","2,913","2,096","2,990","5,647","2,471"
2020년10월_계_20~29세,"379,200","130,685","36,292","32,564","18,941","22,462","20,426","44,980","11,285","10,811","69,089","9,211","24,487","40,821","2,049","5,513","4,955","3,948","3,243","3,510","2,458","3,124","5,966","3,065"
2020년10월_계_30~39세,"403,417","135,010","35,667","29,622","20,412","22,029","27,280","41,848","14,109","12,065","70,112","8,958","37,222","49,696","1,767","5,721","5,193","3,929","2,483","2,821","2,179","2,640","5,056","2,608"
2020년10월_계_40~49세,"537,625","168,292","41,188","36,083","25,576","30,401","35,044","54,387","21,458","17,817","98,787","13,014","47,580","60,655","2,900","9,429","7,147","6,429","4,605","5,039","3,549","4,438","7,753","4,346"
2020년10월_계_50~59세,"582,825","186,784","50,705","43,585","29,474","34,681","28,339","57,915","22,573","18,469","96,576","18,854","39,115","58,583","4,650","11,318","11,015","9,174","7,390","8,505","6,578","6,964","10,610","7,752"
2020년10월_계_60~69세,"456,848","140,053","34,090","23,364","29,651","29,664","23,284","45,064","20,296","16,351","57,430","20,961","26,161","42,144","5,352","10,915","12,026","9,639","8,252","8,833","7,193","7,211","10,023","8,944"
2020년10월_계_70~79세,"244,637","62,959","13,246","6,803","16,522","14,675","11,713","25,543","11,059","10,665","26,216","12,573","10,784","20,933","4,033","6,691","8,129","6,773","6,720","6,396","5,305","5,521","7,052","7,285"
2020년10월_계_80~89세,"123,546","25,995","5,670","2,924","6,932","5,233","5,236","12,276","4,694","5,712","11,331","6,858","4,915","8,682","3,016","4,035","4,959","4,208","4,848","4,368","3,640","3,827","4,831","5,351"
2020년10월_계_90~99세,"16,947","3,395",764,439,984,579,629,"1,721",615,786,"1,398",894,788,"1,063",437,537,648,625,825,720,540,565,708,682
2020년10월_계_100세 이상,815,187,38,20,67,42,20,96,26,31,86,45,45,59,9,13,29,18,18,23,19,31,42,38
2020년10월_남_총인구수,"1,682,733","525,799","133,919","110,135","86,988","96,164","98,593","172,010","64,774","56,105","274,251","51,422","129,230","176,551","13,157","32,635","30,574","25,799","20,646","22,488","17,159","18,871","30,006","21,256"
2020년10월_남_연령구간인구수,"1,682,733","525,799","133,919","110,135","86,988","96,164","98,593","172,010","64,774","56,105","274,251","51,422","129,230","176,551","13,157","32,635","30,574","25,799","20,646","22,488","17,159","18,871","30,006","21,256"
2020년10월_남_0~9세,"139,714","43,490","11,174","8,603","6,524","7,026","10,163","14,816","4,940","4,329","25,364","2,885","14,023","17,873",570,"2,098","1,722","1,343",834,997,724,919,"1,944",843
2020년10월_남_10~19세,"170,311","52,470","12,510","12,291","7,134","9,627","10,908","18,661","6,677","5,313","32,094","4,157","14,683","17,664",831,"3,181","2,238","2,223","1,567","1,553","1,126","1,559","3,022","1,292"
2020년10월_남_20~29세,"210,724","72,761","20,177","18,177","10,490","12,365","11,552","24,751","6,258","6,440","37,479","5,300","13,784","21,843","1,153","3,210","2,850","2,322","1,991","2,112","1,405","1,790","3,501","1,774"
2020년10월_남_30~39세,"210,767","71,345","18,808","15,788","10,841","11,642","14,266","21,361","7,272","6,455","36,090","4,742","19,714","25,521",930,"2,912","2,851","2,152","1,287","1,558","1,179","1,372","2,594","1,432"
2020년10월_남_40~49세,"276,787","85,384","20,760","17,292","13,430","15,409","18,493","27,111","11,575","9,495","49,055","6,892","25,940","30,818","1,677","5,125","3,970","3,579","2,484","2,817","1,984","2,423","3,984","2,474"
2020년10월_남_50~59세,"297,544","92,887","25,012","21,274","14,659","17,326","14,616","28,533","11,578","9,747","49,688","9,548","20,829","29,565","2,577","6,215","5,832","4,991","3,920","4,652","3,542","3,696","5,480","4,264"
2020년10월_남_60~69세,"226,982","69,350","17,296","12,545","14,041","14,112","11,356","21,552","9,913","7,877","29,277","10,193","13,570","20,645","2,802","5,652","6,027","4,812","4,040","4,572","3,708","3,587","4,899","4,506"
2020년10월_남_70~79세,"107,961","28,880","6,292","3,243","7,374","6,689","5,282","11,155","4,981","4,555","11,372","5,439","5,067","9,385","1,653","2,922","3,495","2,973","2,914","2,752","2,306","2,243","2,908","2,961"
2020년10월_남_80~89세,"38,552","8,546","1,750",835,"2,284","1,849","1,828","3,748","1,449","1,760","3,540","2,089","1,487","3,003",871,"1,206","1,477","1,280","1,460","1,323","1,070","1,160","1,509","1,574"
2020년10월_남_90~99세,"3,220",644,134,81,194,111,124,301,123,125,267,170,125,223,91,110,110,120,148,148,113,115,155,132
2020년10월_남_100세 이상,171,42,6,6,17,8,5,21,8,9,25,7,8,11,2,4,2,4,1,4,2,7,10,4
2020년10월_여_총인구수,"1,660,098","511,910","129,242","105,388","87,842","95,533","93,905","175,749","64,061","55,208","268,125","53,502","116,903","175,359","13,707","31,716","30,987","25,678","22,247","22,545","17,762","20,270","31,453","22,916"
2020년10월_여_연령구간인구수,"1,660,098","511,910","129,242","105,388","87,842","95,533","93,905","175,749","64,061","55,208","268,125","53,502","116,903","175,359","13,707","31,716","30,987","25,678","22,247","22,545","17,762","20,270","31,453","22,916"
2020년10월_여_0~9세,"131,959","40,684","10,563","8,196","6,003","6,541","9,381","13,747","4,907","3,951","24,393","2,777","13,085","17,081",537,"2,091","1,594","1,304",735,908,640,911,"1,827",787
2020년10월_여_10~19세,"154,987","47,705","11,254","11,029","6,610","8,737","10,075","16,705","6,196","5,013","29,500","3,737","13,245","16,656",713,"2,809","1,906","1,864","1,373","1,360",970,"1,431","2,625","1,179"
