,울산광역시,울산광역시 중구,울산광역시 남구,울산광역시 동구,울산광역시 북구,울산광역시 울주군
2020년05월_계_총인구수,"1,143,148","220,604","323,192","158,154","218,396","222,802"
2020년05월_계_연령구간인구수,"1,143,148","220,604","323,192","158,154","218,396","222,802"
2020년05월_계_0~9세,"102,217","17,393","24,670","15,640","25,933","18,581"
2020년05월_계_10~19세,"114,140","20,533","31,447","15,660","23,629","22,871"
2020년05월_계_20~29세,"146,995","27,763","46,535","18,086","28,018","26,593"
2020년05월_계_30~39세,"156,559","27,466","43,228","24,212","35,023","26,630"
2020년05월_계_40~49세,"189,546","35,032","52,592","25,737","38,396","37,789"
2020년05월_계_50~59세,"211,118","42,061","62,529","26,430","38,450","41,648"
2020년05월_계_60~69세,"138,964","30,727","39,975","21,711","18,401","28,150"
2020년05월_계_70~79세,"58,365","13,933","16,054","7,905","7,147","13,326"
2020년05월_계_80~89세,"22,039","5,027","5,462","2,386","2,937","6,227"
2020년05월_계_90~99세,"3,043",613,668,363,444,955
2020년05월_계_100세 이상,162,56,32,24,18,32
2020년05월_남_총인구수,"587,434","111,885","164,865","82,706","113,001","114,977"
2020년05월_남_연령구간인구수,"587,434","111,885","164,865","82,706","113,001","114,977"
2020년05월_남_0~9세,"52,590","9,000","12,717","8,039","13,324","9,510"
2020년05월_남_10~19세,"60,184","11,009","16,581","8,256","12,364","11,974"
2020년05월_남_20~29세,"82,369","15,434","25,972","10,185","15,711","15,067"
2020년05월_남_30~39세,"82,943","14,427","22,929","13,373","18,136","14,078"
2020년05월_남_40~49세,"96,365","17,766","25,667","13,923","19,622","19,387"
2020년05월_남_50~59세,"107,576","20,983","31,498","13,037","20,024","22,034"
2020년05월_남_60~69세,"70,175","15,020","19,884","11,087","9,607","14,577"
2020년05월_남_70~79세,"27,536","6,394","7,655","3,998","3,289","6,200"
2020년05월_남_80~89세,"7,164","1,741","1,838",758,852,"1,975"
2020년05월_남_90~99세,501,101,114,46,69,171
2020년05월_남_100세 이상,31,10,10,4,3,4
2020년05월_여_총인구수,"555,714","108,719","158,327","75,448","105,395","107,825"
2020년05월_여_연령구간인구수,"555,714","108,719","158,327","75,448","105,395","107,825"
2020년05월_여_0~9세,"49,627","8,393","11,953","7,601","12,609","9,071"
2020년05월_여_10~19세,"53,956","9,524","14,866","7,404","11,265","10,897"
2020년05월_여_20~29세,"64,626","12,329","20,563","7,901","12,307","11,526"
2020년05월_여_30~39세,"73,616","13,039","20,299","10,839","16,887","12,552"
2020년05월_여_40~49세,"93,181","17,266","26,925","11,814","18,774","18,402"
2020년05월_여_50~59세,"103,542","21,078","31,031","13,393","18,426","19,614"
2020년05월_여_60~69세,"68,789","15,707","20,091","10,624","8,794","13,573"
2020년05월_여_70~79세,"30,829","7,539","8,399","3,907","3,858","7,126"
2020년05월_여_80~89세,"14,875","3,286","3,624","1,628","2,085","4,252"
2020년05월_여_90~99세,"2,542",512,554,317,375,784
2020년05월_여_100세 이상,131,46,22,20,15,28
