,경상북도 울진군,경상북도 울진군 울진읍,경상북도 울진군 평해읍,경상북도 울진군 북면,경상북도 울진군 북면하당출장소,경상북도 울진군 근남면,경상북도 울진군 기성면,경상북도 울진군 온정면,경상북도 울진군 죽변면,경상북도 울진군 후포면,경상북도 울진군 금강송면,경상북도 울진군 매화면
2021년01월_계_총인구수,"48,675","14,052","2,836","6,697",708,"2,766","2,538","1,756","6,483","7,546","1,271","2,022"
2021년01월_계_연령구간인구수,"48,675","14,052","2,836","6,697",708,"2,766","2,538","1,756","6,483","7,546","1,271","2,022"
2021년01월_계_0~9세,"2,906","1,099",62,789,6,110,48,47,309,366,24,46
2021년01월_계_10~19세,"3,740","1,628",241,464,27,120,95,62,399,575,42,87
2021년01월_계_20~29세,"4,476","1,573",175,727,49,216,191,113,677,628,36,91
2021년01월_계_30~39세,"4,293","1,401",153,"1,125",26,174,119,61,566,544,41,83
2021년01월_계_40~49세,"6,231","2,333",230,963,61,282,155,150,833,948,113,163
2021년01월_계_50~59세,"8,602","2,425",468,"1,023",143,503,430,280,"1,280","1,405",298,347
2021년01월_계_60~69세,"8,255","1,731",538,801,149,569,573,382,"1,217","1,557",305,433
2021년01월_계_70~79세,"5,686","1,083",523,461,128,389,457,336,713,"1,001",225,370
2021년01월_계_80~89세,"3,825",665,379,297,105,341,386,282,422,444,168,336
2021년01월_계_90~99세,645,111,66,43,14,62,83,43,64,77,17,65
2021년01월_계_100세 이상,16,3,1,4,0,0,1,0,3,1,2,1
2021년01월_남_총인구수,"24,412","7,094","1,369","3,524",367,"1,386","1,200",862,"3,329","3,706",626,949
2021년01월_남_연령구간인구수,"24,412","7,094","1,369","3,524",367,"1,386","1,200",862,"3,329","3,706",626,949
2021년01월_남_0~9세,"1,485",582,35,394,4,59,23,21,151,183,13,20
2021년01월_남_10~19세,"2,027",852,176,249,12,60,42,36,224,310,22,44
2021년01월_남_20~29세,"2,662",900,99,439,30,129,128,72,411,376,24,54
2021년01월_남_30~39세,"2,337",727,86,601,18,103,74,38,327,286,25,52
2021년01월_남_40~49세,"3,415","1,175",135,550,43,172,89,81,483,520,57,110
2021년01월_남_50~59세,"4,658","1,285",258,578,92,287,236,168,684,709,162,199
2021년01월_남_60~69세,"4,081",864,238,407,84,298,284,194,611,724,166,211
2021년01월_남_70~79세,"2,472",467,209,220,49,154,197,149,317,447,101,162
2021년01월_남_80~89세,"1,170",228,119,84,34,113,114,95,108,140,46,89
2021년01월_남_90~99세,103,14,14,2,1,11,13,8,12,11,9,8
2021년01월_남_100세 이상,2,0,0,0,0,0,0,0,1,0,1,0
2021년01월_여_총인구수,"24,263","6,958","1,467","3,173",341,"1,380","1,338",894,"3,154","3,840",645,"1,073"
2021년01월_여_연령구간인구수,"24,263","6,958","1,467","3,173",341,"1,380","1,338",894,"3,154","3,840",645,"1,073"
2021년01월_여_0~9세,"1,421",517,27,395,2,51,25,26,158,183,11,26
2021년01월_여_10~19세,"1,713",776,65,215,15,60,53,26,175,265,20,43
2021년01월_여_20~29세,"1,814",673,76,288,19,87,63,41,266,252,12,37
2021년01월_여_30~39세,"1,956",674,67,524,8,71,45,23,239,258,16,31
2021년01월_여_40~49세,"2,816","1,158",95,413,18,110,66,69,350,428,56,53
2021년01월_여_50~59세,"3,944","1,140",210,445,51,216,194,112,596,696,136,148
2021년01월_여_60~69세,"4,174",867,300,394,65,271,289,188,606,833,139,222
2021년01월_여_70~79세,"3,214",616,314,241,79,235,260,187,396,554,124,208
2021년01월_여_80~89세,"2,655",437,260,213,71,228,272,187,314,304,122,247
2021년01월_여_90~99세,542,97,52,41,13,51,70,35,52,66,8,57
2021년01월_여_100세 이상,14,3,1,4,0,0,1,0,2,1,1,1
