카테고리,경상남도 김해시,경상남도 김해시 진영읍,경상남도 김해시 주촌면,경상남도 김해시 진례면,경상남도 김해시 한림면,경상남도 김해시 생림면,경상남도 김해시 상동면,경상남도 김해시 대동면,경상남도 김해시 동상동,경상남도 김해시 회현동,경상남도 김해시 부원동,경상남도 김해시 내외동,경상남도 김해시 북부동,경상남도 김해시 칠산서부동,경상남도 김해시 활천동,경상남도 김해시 삼안동,경상남도 김해시 불암동,경상남도 김해시 장유1동,경상남도 김해시 장유2동,경상남도 김해시 장유3동
2021년04월_계_총인구수,"540,686","55,739","18,232","6,481","7,434","3,801","3,125","5,976","9,726","9,173","9,883","73,747","80,478","9,526","40,285","33,212","7,648","57,018","36,348","72,854"
2021년04월_계_연령구간인구수,"540,686","55,739","18,232","6,481","7,434","3,801","3,125","5,976","9,726","9,173","9,883","73,747","80,478","9,526","40,285","33,212","7,648","57,018","36,348","72,854"
2021년04월_계_0~9세,"48,096","6,383","2,790",217,178,82,78,155,559,598,573,"4,683","7,207",544,"2,499","1,511",506,"5,253","3,556","10,724"
2021년04월_계_10~19세,"60,670","6,098","1,269",308,292,120,140,213,668,559,637,"7,500","10,429",716,"3,827","3,022",737,"8,018","5,126","10,991"
2021년04월_계_20~29세,"68,563","5,330","2,116",595,599,306,259,413,"1,313","1,048","1,397","12,267","10,863","1,227","5,995","5,721","1,004","7,062","4,355","6,693"
2021년04월_계_30~39세,"68,269","8,610","3,973",531,571,246,216,392,"1,211","1,202","1,203","8,398","9,377",962,"4,309","2,927",775,"6,887","4,463","12,016"
2021년04월_계_40~49세,"97,762","10,914","2,983",773,691,351,326,558,"1,360","1,209","1,400","11,624","15,283","1,351","6,290","4,903","1,204","11,981","7,755","16,806"
2021년04월_계_50~59세,"97,230","8,298","2,731","1,440","1,562",812,712,"1,063","1,945","1,682","2,068","16,278","14,916","1,974","8,674","7,451","1,545","9,508","6,088","8,483"
2021년04월_계_60~69세,"60,346","6,121","1,567","1,406","1,843",966,814,"1,696","1,625","1,601","1,599","8,087","7,723","1,651","5,453","4,747","1,161","4,822","2,989","4,475"
2021년04월_계_70~79세,"26,550","2,638",491,745,"1,021",578,382,963,712,873,705,"3,176","3,176",746,"2,231","1,934",493,"2,346","1,411","1,929"
2021년04월_계_80~89세,"11,718","1,187",279,393,602,308,163,447,294,346,276,"1,564","1,334",325,908,901,194,"1,021",530,646
2021년04월_계_90~99세,"1,429",156,33,73,74,32,32,75,38,49,23,161,164,29,99,92,24,112,74,89
2021년04월_계_100세 이상,53,4,0,0,1,0,3,1,1,6,2,9,6,1,0,3,5,8,1,2
2021년04월_남_총인구수,"273,479","28,723","9,321","3,544","4,052","2,031","1,722","3,100","4,978","4,596","5,084","36,776","40,315","5,028","20,468","17,004","3,872","28,403","18,285","36,177"
2021년04월_남_연령구간인구수,"273,479","28,723","9,321","3,544","4,052","2,031","1,722","3,100","4,978","4,596","5,084","36,776","40,315","5,028","20,468","17,004","3,872","28,403","18,285","36,177"
2021년04월_남_0~9세,"24,511","3,283","1,408",122,94,52,47,73,293,314,309,"2,454","3,698",286,"1,295",762,264,"2,586","1,783","5,388"
2021년04월_남_10~19세,"31,495","3,173",654,168,174,63,74,118,316,297,337,"3,867","5,479",375,"2,009","1,592",361,"4,126","2,661","5,651"
2021년04월_남_20~29세,"37,452","2,965","1,073",384,389,191,155,259,740,585,769,"6,658","5,912",674,"3,244","3,207",553,"3,807","2,400","3,487"
2021년04월_남_30~39세,"35,180","4,462","2,028",291,368,152,139,237,680,623,667,"4,423","4,698",561,"2,337","1,643",420,"3,439","2,274","5,738"
2021년04월_남_40~49세,"48,618","5,868","1,567",489,449,216,209,325,699,632,741,"5,435","7,237",731,"3,168","2,444",600,"5,789","3,746","8,273"
2021년04월_남_50~59세,"49,872","4,297","1,380",833,905,451,396,567,"1,004",833,"1,030","7,952","7,590","1,073","4,361","3,732",772,"4,988","3,217","4,491"
2021년04월_남_60~69세,"30,825","3,053",887,766,"1,001",527,446,901,832,798,805,"4,262","3,945",883,"2,800","2,501",605,"2,309","1,439","2,065"
2021년04월_남_70~79세,"11,589","1,205",240,342,492,270,196,459,312,374,326,"1,259","1,322",332,965,827,218,997,583,870
2021년04월_남_80~89세,"3,666",389,79,140,172,103,52,146,95,130,99,430,404,111,267,277,70,335,170,197
2021년04월_남_90~99세,258,27,5,9,8,6,8,15,6,9,1,34,30,2,22,18,7,23,11,17
2021년04월_남_100세 이상,13,1,0,0,0,0,0,0,1,1,0,2,0,0,0,1,2,4,1,0
2021년04월_여_총인구수,"267,207","27,016","8,911","2,937","3,382","1,770","1,403","2,876","4,748","4,577","4,799","36,971","40,163","4,498","19,817","16,208","3,776","28,615","18,063","36,677"
2021년04월_여_연령구간인구수,"267,207","27,016","8,911","2,937","3,382","1,770","1,403","2,876","4,748","4,577","4,799","36,971","40,163","4,498","19,817","16,208","3,776","28,615","18,063","36,677"
2021년04월_여_0~9세,"23,585","3,100","1,382",95,84,30,31,82,266,284,264,"2,229","3,509",258,"1,204",749,242,"2,667","1,773","5,336"
2021년04월_여_10~19세,"29,175","2,925",615,140,118,57,66,95,352,262,300,"3,633","4,950",341,"1,818","1,430",376,"3,892","2,465","5,340"
2021년04월_여_20~29세,"31,111","2,365","1,043",211,210,115,104,154,573,463,628,"5,609","4,951",553,"2,751","2,514",451,"3,255","1,955","3,206"
2021년04월_여_30~39세,"33,089","4,148","1,945",240,203,94,77,155,531,579,536,"3,975","4,679",401,"1,972","1,284",355,"3,448","2,189","6,278"
2021년04월_여_40~49세,"49,144","5,046","1,416",284,242,135,117,233,661,577,659,"6,189","8,046",620,"3,122","2,459",604,"6,192","4,009","8,533"
2021년04월_여_50~59세,"47,358","4,001","1,351",607,657,361,316,496,941,849,"1,038","8,326","7,326",901,"4,313","3,719",773,"4,520","2,871","3,992"
2021년04월_여_60~69세,"29,521","3,068",680,640,842,439,368,795,793,803,794,"3,825","3,778",768,"2,653","2,246",556,"2,513","1,550","2,410"
2021년04월_여_70~79세,"14,961","1,433",251,403,529,308,186,504,400,499,379,"1,917","1,854",414,"1,266","1,107",275,"1,349",828,"1,059"
2021년04월_여_80~89세,"8,052",798,200,253,430,205,111,301,199,216,177,"1,134",930,214,641,624,124,686,360,449
2021년04월_여_90~99세,"1,171",129,28,64,66,26,24,60,32,40,22,127,134,27,77,74,17,89,63,72
2021년04월_여_100세 이상,40,3,0,0,1,0,3,1,0,5,2,7,6,1,0,2,3,4,0,2
