카테고리,경기도 가평군,경기도 가평군 가평읍,경기도 가평군 설악면,경기도 가평군 청평면,경기도 가평군 상면,경기도 가평군 조종면,경기도 가평군 북면
2021년01월_계_총인구수,"62,399","19,536","9,598","14,045","5,571","9,754","3,895"
2021년01월_계_연령구간인구수,"62,399","19,536","9,598","14,045","5,571","9,754","3,895"
2021년01월_계_0~9세,"3,334","1,159",549,618,150,707,151
2021년01월_계_10~19세,"4,578","1,672",780,"1,001",262,661,202
2021년01월_계_20~29세,"6,253","2,231",882,"1,330",529,"1,043",238
2021년01월_계_30~39세,"5,709","1,921",822,"1,176",372,"1,146",272
2021년01월_계_40~49세,"7,896","2,657","1,127","1,935",561,"1,228",388
2021년01월_계_50~59세,"11,352","3,435","1,736","2,680","1,120","1,658",723
2021년01월_계_60~69세,"12,179","3,289","2,019","2,718","1,412","1,772",969
2021년01월_계_70~79세,"6,830","1,912",985,"1,654",733,981,565
2021년01월_계_80~89세,"3,686","1,094",581,809,379,490,333
2021년01월_계_90~99세,531,150,112,114,48,58,49
2021년01월_계_100세 이상,51,16,5,10,5,10,5
2021년01월_남_총인구수,"32,169","9,944","4,927","7,179","2,933","5,189","1,997"
2021년01월_남_연령구간인구수,"32,169","9,944","4,927","7,179","2,933","5,189","1,997"
2021년01월_남_0~9세,"1,658",584,264,313,74,360,63
2021년01월_남_10~19세,"2,434",909,385,532,152,348,108
2021년01월_남_20~29세,"3,599","1,229",496,750,347,640,137
2021년01월_남_30~39세,"3,099","1,015",454,641,209,632,148
2021년01월_남_40~49세,"4,245","1,424",585,"1,026",317,667,226
2021년01월_남_50~59세,"6,010","1,808",926,"1,425",575,875,401
2021년01월_남_60~69세,"6,291","1,657","1,049","1,372",733,980,500
2021년01월_남_70~79세,"3,241",861,502,768,372,466,272
2021년01월_남_80~89세,"1,430",410,235,317,140,200,128
2021년01월_남_90~99세,141,43,28,30,11,17,12
2021년01월_남_100세 이상,21,4,3,5,3,4,2
2021년01월_여_총인구수,"30,230","9,592","4,671","6,866","2,638","4,565","1,898"
2021년01월_여_연령구간인구수,"30,230","9,592","4,671","6,866","2,638","4,565","1,898"
2021년01월_여_0~9세,"1,676",575,285,305,76,347,88
2021년01월_여_10~19세,"2,144",763,395,469,110,313,94
2021년01월_여_20~29세,"2,654","1,002",386,580,182,403,101
2021년01월_여_30~39세,"2,610",906,368,535,163,514,124
2021년01월_여_40~49세,"3,651","1,233",542,909,244,561,162
2021년01월_여_50~59세,"5,342","1,627",810,"1,255",545,783,322
2021년01월_여_60~69세,"5,888","1,632",970,"1,346",679,792,469
2021년01월_여_70~79세,"3,589","1,051",483,886,361,515,293
2021년01월_여_80~89세,"2,256",684,346,492,239,290,205
2021년01월_여_90~99세,390,107,84,84,37,41,37
2021년01월_여_100세 이상,30,12,2,5,2,6,3
