,광주광역시 서구,광주광역시 서구 양동,광주광역시 서구 양3동,광주광역시 서구 농성1동,광주광역시 서구 농성2동,광주광역시 서구 광천동,광주광역시 서구 유덕동,광주광역시 서구 치평동,광주광역시 서구 상무1동,광주광역시 서구 상무2동,광주광역시 서구 화정1동,광주광역시 서구 화정2동,광주광역시 서구 화정3동,광주광역시 서구 화정4동,광주광역시 서구 서창동,광주광역시 서구 금호1동,광주광역시 서구 금호2동,광주광역시 서구 풍암동,광주광역시 서구 동천동
2021년01월_계_총인구수,"296,036","3,981","4,726","11,036","5,078","8,596","10,752","30,623","25,080","24,010","15,851","20,932","10,273","15,765","5,944","20,517","29,087","37,491","16,294"
2021년01월_계_연령구간인구수,"296,036","3,981","4,726","11,036","5,078","8,596","10,752","30,623","25,080","24,010","15,851","20,932","10,273","15,765","5,944","20,517","29,087","37,491","16,294"
2021년01월_계_0~9세,"21,523",97,380,580,176,570,866,"2,178","1,666","1,192",873,"2,385",552,"1,060",388,"1,267","2,655","3,045","1,593"
2021년01월_계_10~19세,"31,378",150,362,664,264,614,"1,281","3,095","2,473","1,721","1,092","2,393","1,031","1,613",419,"2,100","4,398","5,263","2,445"
2021년01월_계_20~29세,"45,332",424,493,"1,653",870,"1,129","1,686","5,506","4,718","4,380","3,085","2,448","1,570","2,179",731,"3,029","4,066","5,465","1,900"
2021년01월_계_30~39세,"36,477",347,602,"1,550",594,"1,026","1,444","4,371","3,625","2,946","2,359","3,004","1,061","1,721",709,"2,057","3,153","4,202","1,706"
2021년01월_계_40~49세,"48,614",443,727,"1,529",680,"1,317","1,883","4,931","3,987","3,228","2,268","3,673","1,422","2,225",750,"2,979","5,717","7,443","3,412"
2021년01월_계_50~59세,"49,538",661,680,"1,750",886,"1,597","1,783","5,418","3,987","4,073","2,362","2,980","1,736","2,660","1,193","3,940","5,069","6,266","2,497"
2021년01월_계_60~69세,"34,503",772,774,"1,547",800,"1,236",936,"2,764","2,630","3,421","1,903","2,407","1,595","2,611",949,"2,985","2,317","3,186","1,670"
2021년01월_계_70~79세,"19,289",747,505,"1,191",542,745,543,"1,526","1,419","2,059","1,221","1,183",875,"1,159",491,"1,425","1,146","1,744",768
2021년01월_계_80~89세,"8,076",296,176,499,239,300,284,748,488,852,597,383,353,459,253,654,482,762,251
2021년01월_계_90~99세,"1,231",36,27,69,26,54,45,84,83,124,88,74,74,73,55,78,76,114,51
2021년01월_계_100세 이상,75,8,0,4,1,8,1,2,4,14,3,2,4,5,6,3,8,1,1
2021년01월_남_총인구수,"145,049","1,957","2,304","5,454","2,628","4,397","5,469","14,658","12,505","11,685","7,580","10,491","5,067","7,634","3,077","9,761","14,235","18,416","7,731"
2021년01월_남_연령구간인구수,"145,049","1,957","2,304","5,454","2,628","4,397","5,469","14,658","12,505","11,685","7,580","10,491","5,067","7,634","3,077","9,761","14,235","18,416","7,731"
