,경상북도 울진군,경상북도 울진군 울진읍,경상북도 울진군 평해읍,경상북도 울진군 북면,경상북도 울진군 북면하당출장소,경상북도 울진군 근남면,경상북도 울진군 기성면,경상북도 울진군 온정면,경상북도 울진군 죽변면,경상북도 울진군 후포면,경상북도 울진군 금강송면,경상북도 울진군 매화면
2021년06월_계_총인구수,"48,206","13,939","2,787","6,661",698,"2,745","2,519","1,722","6,376","7,458","1,272","2,029"
2021년06월_계_연령구간인구수,"48,206","13,939","2,787","6,661",698,"2,745","2,519","1,722","6,376","7,458","1,272","2,029"
2021년06월_계_0~9세,"2,802","1,058",56,759,6,99,56,49,292,360,21,46
2021년06월_계_10~19세,"3,649","1,609",219,474,23,118,89,59,386,548,42,82
2021년06월_계_20~29세,"4,398","1,587",167,724,45,204,173,100,656,612,34,96
2021년06월_계_30~39세,"4,130","1,343",152,"1,064",26,166,127,58,551,526,35,82
2021년06월_계_40~49세,"6,085","2,277",217,981,60,277,156,137,796,921,105,158
2021년06월_계_50~59세,"8,431","2,401",457,"1,035",140,487,410,261,"1,241","1,356",296,347
2021년06월_계_60~69세,"8,587","1,810",558,825,155,601,589,400,"1,270","1,605",323,451
2021년06월_계_70~79세,"5,555","1,070",506,456,126,372,438,329,690,987,224,357
2021년06월_계_80~89세,"3,880",667,386,299,101,354,395,281,432,453,172,340
2021년06월_계_90~99세,675,115,67,41,16,66,86,48,59,89,19,69
2021년06월_계_100세 이상,14,2,2,3,0,1,0,0,3,1,1,1
2021년06월_남_총인구수,"24,213","7,064","1,338","3,525",359,"1,374","1,206",831,"3,272","3,663",628,953
2021년06월_남_연령구간인구수,"24,213","7,064","1,338","3,525",359,"1,374","1,206",831,"3,272","3,663",628,953
2021년06월_남_0~9세,"1,450",558,32,387,4,56,29,23,143,186,11,21
2021년06월_남_10~19세,"1,959",843,154,250,11,61,41,34,211,291,23,40
2021년06월_남_20~29세,"2,624",921,100,441,27,115,115,61,401,363,23,57
2021년06월_남_30~39세,"2,260",707,84,571,18,101,81,35,313,275,22,53
2021년06월_남_40~49세,"3,335","1,138",129,558,42,170,92,76,463,508,54,105
2021년06월_남_50~59세,"4,619","1,277",255,599,90,282,232,154,674,695,162,199
2021년06월_남_60~69세,"4,247",917,252,415,84,307,293,202,633,749,172,223
2021년06월_남_70~79세,"2,421",460,199,216,49,157,189,142,312,439,102,156
2021년06월_남_80~89세,"1,183",226,118,86,33,113,121,94,111,140,50,91
2021년06월_남_90~99세,115,17,15,2,1,12,13,10,11,17,9,8
2021년06월_남_100세 이상,0,0,0,0,0,0,0,0,0,0,0,0
2021년06월_여_총인구수,"23,993","6,875","1,449","3,136",339,"1,371","1,313",891,"3,104","3,795",644,"1,076"
2021년06월_여_연령구간인구수,"23,993","6,875","1,449","3,136",339,"1,371","1,313",891,"3,104","3,795",644,"1,076"
2021년06월_여_0~9세,"1,352",500,24,372,2,43,27,26,149,174,10,25
2021년06월_여_10~19세,"1,690",766,65,224,12,57,48,25,175,257,19,42
2021년06월_여_20~29세,"1,774",666,67,283,18,89,58,39,255,249,11,39
2021년06월_여_30~39세,"1,870",636,68,493,8,65,46,23,238,251,13,29
2021년06월_여_40~49세,"2,750","1,139",88,423,18,107,64,61,333,413,51,53
2021년06월_여_50~59세,"3,812","1,124",202,436,50,205,178,107,567,661,134,148
2021년06월_여_60~69세,"4,340",893,306,410,71,294,296,198,637,856,151,228
2021년06월_여_70~79세,"3,134",610,307,240,77,215,249,187,378,548,122,201
2021년06월_여_80~89세,"2,697",441,268,213,68,241,274,187,321,313,122,249
2021년06월_여_90~99세,560,98,52,39,15,54,73,38,48,72,10,61
2021년06월_여_100세 이상,14,2,2,3,0,1,0,0,3,1,1,1
