,부산광역시 중구,부산광역시 중구 중앙동,부산광역시 중구 동광동,부산광역시 중구 대청동,부산광역시 중구 보수동,부산광역시 중구 부평동,부산광역시 중구 광복동,부산광역시 중구 남포동,부산광역시 중구 영주제1동,부산광역시 중구 영주제2동
2021년04월_계_총인구수,"41,311","2,524","2,830","6,451","10,737","4,711","1,049",992,"4,770","7,247"
2021년04월_계_연령구간인구수,"41,311","2,524","2,830","6,451","10,737","4,711","1,049",992,"4,770","7,247"
2021년04월_계_0~9세,"1,259",34,71,189,372,104,20,15,179,275
2021년04월_계_10~19세,"1,978",67,103,375,559,202,35,30,200,407
2021년04월_계_20~29세,"5,708",696,294,932,"1,518",553,113,63,781,758
2021년04월_계_30~39세,"4,472",439,232,668,"1,129",486,106,87,672,653
2021년04월_계_40~49세,"5,347",295,343,913,"1,432",551,115,102,673,923
2021년04월_계_50~59세,"6,947",343,525,"1,056","1,822",803,190,207,706,"1,295"
2021년04월_계_60~69세,"7,946",365,579,"1,170","2,019","1,028",251,280,790,"1,464"
2021년04월_계_70~79세,"5,109",190,446,782,"1,257",643,136,154,500,"1,001"
2021년04월_계_80~89세,"2,164",79,191,292,555,283,65,46,234,419
2021년04월_계_90~99세,361,15,45,71,71,53,14,7,34,51
2021년04월_계_100세 이상,20,1,1,3,3,5,4,1,1,1
2021년04월_남_총인구수,"20,122","1,197","1,438","3,022","5,207","2,214",531,560,"2,445","3,508"
2021년04월_남_연령구간인구수,"20,122","1,197","1,438","3,022","5,207","2,214",531,560,"2,445","3,508"
2021년04월_남_0~9세,652,18,33,99,184,61,12,9,97,139
2021년04월_남_10~19세,981,37,47,175,278,104,17,14,103,206
2021년04월_남_20~29세,"2,809",270,160,454,756,264,63,36,395,411
2021년04월_남_30~39세,"2,409",215,134,336,592,271,59,51,394,357
2021년04월_남_40~49세,"2,933",161,201,484,784,287,57,64,395,500
2021년04월_남_50~59세,"3,499",183,272,494,914,389,102,137,373,635
2021년04월_남_60~69세,"3,733",186,287,549,928,448,132,157,375,671
2021년04월_남_70~79세,"2,210",99,211,310,531,285,59,76,226,413
2021년04월_남_80~89세,796,28,79,108,217,92,23,12,77,160
2021년04월_남_90~99세,96,0,14,12,22,13,5,4,10,16
2021년04월_남_100세 이상,4,0,0,1,1,0,2,0,0,0
2021년04월_여_총인구수,"21,189","1,327","1,392","3,429","5,530","2,497",518,432,"2,325","3,739"
2021년04월_여_연령구간인구수,"21,189","1,327","1,392","3,429","5,530","2,497",518,432,"2,325","3,739"
2021년04월_여_0~9세,607,16,38,90,188,43,8,6,82,136
2021년04월_여_10~19세,997,30,56,200,281,98,18,16,97,201
2021년04월_여_20~29세,"2,899",426,134,478,762,289,50,27,386,347
2021년04월_여_30~39세,"2,063",224,98,332,537,215,47,36,278,296
2021년04월_여_40~49세,"2,414",134,142,429,648,264,58,38,278,423
2021년04월_여_50~59세,"3,448",160,253,562,908,414,88,70,333,660
2021년04월_여_60~69세,"4,213",179,292,621,"1,091",580,119,123,415,793
2021년04월_여_70~79세,"2,899",91,235,472,726,358,77,78,274,588
2021년04월_여_80~89세,"1,368",51,112,184,338,191,42,34,157,259
2021년04월_여_90~99세,265,15,31,59,49,40,9,3,24,35
2021년04월_여_100세 이상,16,1,1,2,2,5,2,1,1,1
