,경기도 광명시,경기도 광명시 광명1동,경기도 광명시 광명2동,경기도 광명시 광명3동,경기도 광명시 광명4동,경기도 광명시 광명5동,경기도 광명시 광명6동,경기도 광명시 광명7동,경기도 광명시 철산1동,경기도 광명시 철산2동,경기도 광명시 철산3동,경기도 광명시 철산4동,경기도 광명시 하안1동,경기도 광명시 하안2동,경기도 광명시 하안3동,경기도 광명시 하안4동,경기도 광명시 소하1동,경기도 광명시 소하2동,경기도 광명시 학온동
2021년02월_계_총인구수,"296,785",522,"3,441","9,878","14,081","14,664","10,820","18,688","11,117","8,316","32,838","13,508","26,420","14,132","20,591","12,576","31,997","50,985","2,211"
2021년02월_계_연령구간인구수,"296,785",522,"3,441","9,878","14,081","14,664","10,820","18,688","11,117","8,316","32,838","13,508","26,420","14,132","20,591","12,576","31,997","50,985","2,211"
2021년02월_계_0~9세,"22,786",3,115,359,685,854,831,"1,213",926,337,"2,829","1,044","2,311",998,"1,473",991,"3,000","4,750",67
2021년02월_계_10~19세,"30,285",16,196,621,935,"1,287","1,162","1,682","1,403",534,"4,176","1,224","3,252","1,107","1,879","1,444","4,271","5,008",88
2021년02월_계_20~29세,"37,829",60,407,"1,310","1,896","1,860","1,296","2,518","1,447","1,201","4,189","1,680","3,262","1,710","2,482","1,671","3,696","6,947",197
2021년02월_계_30~39세,"40,640",79,394,"1,159","1,838","1,803","1,281","2,419","1,464","1,136","3,814","2,355","2,943","2,515","2,861","2,012","3,957","8,381",229
2021년02월_계_40~49세,"51,148",68,499,"1,392","1,992","2,339","1,843","2,889","2,054","1,215","6,113","2,341","5,010","2,435","3,493","2,339","6,150","8,753",223
2021년02월_계_50~59세,"49,548",135,621,"1,893","2,488","2,520","1,820","3,231","1,844","1,737","5,532","2,175","4,529","2,198","3,363","2,043","4,872","8,114",433
2021년02월_계_60~69세,"37,904",110,655,"1,747","2,439","2,279","1,502","2,825","1,203","1,295","3,835","1,628","3,110","1,705","2,588","1,233","3,691","5,528",531
2021년02월_계_70~79세,"17,869",34,389,981,"1,280","1,184",761,"1,321",525,548,"1,551",780,"1,349",861,"1,487",545,"1,601","2,415",257
2021년02월_계_80~89세,"7,480",9,143,364,442,469,279,511,216,261,688,250,545,506,823,263,628,925,158
2021년02월_계_90~99세,"1,152",4,18,46,67,63,36,72,34,45,103,29,102,81,134,34,114,149,21
2021년02월_계_100세 이상,144,4,4,6,19,6,9,7,1,7,8,2,7,16,8,1,17,15,7
2021년02월_남_총인구수,"146,369",276,"1,744","4,791","6,876","7,238","5,342","9,191","5,477","4,361","16,071","6,766","13,195","6,684","9,716","6,098","15,639","25,646","1,258"
2021년02월_남_연령구간인구수,"146,369",276,"1,744","4,791","6,876","7,238","5,342","9,191","5,477","4,361","16,071","6,766","13,195","6,684","9,716","6,098","15,639","25,646","1,258"
2021년02월_남_0~9세,"11,672",3,71,182,340,448,392,588,480,168,"1,438",539,"1,205",508,791,517,"1,523","2,442",37
2021년02월_남_10~19세,"15,549",9,95,327,464,663,604,840,728,292,"2,168",638,"1,658",568,962,749,"2,180","2,549",55
2021년02월_남_20~29세,"19,795",32,224,691,985,"1,025",674,"1,349",753,625,"2,162",897,"1,734",849,"1,241",843,"1,948","3,649",114
2021년02월_남_30~39세,"20,567",45,223,635,986,949,650,"1,253",726,656,"1,776","1,190","1,465","1,311","1,413","1,026","1,860","4,266",137
2021년02월_남_40~49세,"25,279",43,271,717,"1,007","1,180",904,"1,438",967,644,"2,883","1,182","2,460","1,209","1,710","1,099","2,970","4,457",138
2021년02월_남_50~59세,"24,660",72,322,905,"1,222","1,214",918,"1,550",912,938,"2,734","1,102","2,314","1,023","1,629",983,"2,423","4,137",262
2021년02월_남_60~69세,"18,017",53,304,766,"1,135","1,048",727,"1,346",585,679,"1,890",769,"1,532",711,"1,160",570,"1,763","2,674",305
2021년02월_남_70~79세,"8,051",16,174,429,568,536,366,619,242,244,752,361,638,341,542,217,748,"1,124",134
2021년02월_남_80~89세,"2,486",2,49,128,147,159,100,187,78,102,245,83,167,142,239,88,194,308,68
2021년02월_남_90~99세,258,1,10,8,17,14,6,20,6,10,20,5,21,19,29,6,26,34,6
