카테고리,강원도 춘천시,강원도 춘천시 신북읍,강원도 춘천시 동면,강원도 춘천시 동산면,강원도 춘천시 신동면,강원도 춘천시 남면,강원도 춘천시 서면,강원도 춘천시 사북면,강원도 춘천시 북산면,강원도 춘천시 동내면,강원도 춘천시 남산면,강원도 춘천시 교동,강원도 춘천시 조운동,강원도 춘천시 약사명동,강원도 춘천시 근화동,강원도 춘천시 소양동,강원도 춘천시 후평1동,강원도 춘천시 후평2동,강원도 춘천시 후평3동,강원도 춘천시 효자1동,강원도 춘천시 효자2동,강원도 춘천시 효자3동,강원도 춘천시 석사동,강원도 춘천시 퇴계동,강원도 춘천시 강남동,강원도 춘천시 신사우동
2021년05월_계_총인구수,"282,482","7,586","19,701","1,462","2,556","1,081","3,764","2,524",953,"17,319","3,459","3,544","2,762","2,161","8,662","9,500","11,699","14,860","21,214","4,517","11,986","4,425","35,131","49,657","19,065","22,894"
2021년05월_계_연령구간인구수,"282,482","7,586","19,701","1,462","2,556","1,081","3,764","2,524",953,"17,319","3,459","3,544","2,762","2,161","8,662","9,500","11,699","14,860","21,214","4,517","11,986","4,425","35,131","49,657","19,065","22,894"
2021년05월_계_0~9세,"21,189",319,"2,109",28,100,25,103,65,13,"1,407",78,100,84,78,914,741,498,"1,295","1,781",331,404,148,"2,413","4,367","1,530","2,258"
2021년05월_계_10~19세,"26,685",459,"2,461",59,127,29,183,145,22,"1,713",154,179,123,114,657,775,839,"1,416","1,926",377,674,230,"4,313","5,856","1,571","2,283"
2021년05월_계_20~29세,"37,268",744,"1,950",121,253,43,223,179,36,"2,161",229,875,354,258,"1,014","1,219","1,849","2,164","2,634",531,"2,726",970,"5,082","6,395","2,416","2,842"
2021년05월_계_30~39세,"33,990",646,"2,357",93,183,53,218,117,36,"2,328",242,403,294,189,"1,418","1,201","1,344","2,109","2,820",481,"1,327",586,"3,667","6,179","2,615","3,084"
2021년05월_계_40~49세,"42,070",870,"3,618",115,243,84,334,211,58,"2,851",358,381,349,244,"1,170","1,342","1,499","2,142","3,106",673,"1,384",474,"5,807","8,345","2,819","3,593"
2021년05월_계_50~59세,"46,676","1,394","3,065",247,502,211,681,465,190,"2,777",657,495,472,382,"1,207","1,644","1,934","2,365","3,440",759,"1,799",655,"6,260","8,376","3,187","3,512"
2021년05월_계_60~69세,"39,773","1,515","2,498",416,612,289,970,673,300,"2,340",921,514,496,388,"1,125","1,335","1,942","1,757","3,000",694,"1,757",675,"4,113","5,830","2,793","2,820"
2021년05월_계_70~79세,"20,780",916,999,201,284,194,575,388,190,"1,028",497,370,336,297,684,760,"1,094",957,"1,500",396,"1,160",396,"2,108","2,567","1,358","1,525"
2021년05월_계_80~89세,"12,086",628,527,168,222,131,400,238,96,606,276,203,210,174,409,410,604,560,871,240,670,251,"1,201","1,505",646,840
2021년05월_계_90~99세,"1,900",93,114,13,30,21,72,43,12,103,44,22,44,35,60,69,95,90,133,34,83,39,162,233,121,135
2021년05월_계_100세 이상,65,2,3,1,0,1,5,0,0,5,3,2,0,2,4,4,1,5,3,1,2,1,5,4,9,2
2021년05월_남_총인구수,"139,461","3,802","9,754",796,"1,311",591,"1,928","1,246",525,"8,644","1,827","1,822","1,343","1,048","4,387","4,628","5,810","7,080","10,119","2,250","6,360","2,235","17,194","23,912","9,316","11,533"
2021년05월_남_연령구간인구수,"139,461","3,802","9,754",796,"1,311",591,"1,928","1,246",525,"8,644","1,827","1,822","1,343","1,048","4,387","4,628","5,810","7,080","10,119","2,250","6,360","2,235","17,194","23,912","9,316","11,533"
2021년05월_남_0~9세,"10,882",157,"1,084",11,54,18,45,33,7,745,44,61,43,39,489,359,259,657,906,159,203,80,"1,204","2,227",792,"1,206"
2021년05월_남_10~19세,"13,862",235,"1,261",38,54,15,111,83,10,887,85,99,66,61,366,413,428,735,976,213,346,119,"2,206","3,023",810,"1,222"
2021년05월_남_20~29세,"19,888",417,"1,066",70,152,27,124,108,22,"1,104",123,474,181,152,517,642,981,"1,088","1,342",289,"1,627",484,"2,665","3,352","1,266","1,615"
2021년05월_남_30~39세,"17,352",348,"1,107",57,97,32,112,66,23,"1,213",144,222,159,100,754,618,751,"1,056","1,438",255,792,323,"1,880","2,971","1,319","1,515"
2021년05월_남_40~49세,"20,796",467,"1,785",77,138,49,193,102,34,"1,454",214,206,198,126,606,682,778,"1,008","1,490",348,783,268,"2,733","3,871","1,380","1,806"
2021년05월_남_50~59세,"23,458",737,"1,567",145,287,133,379,227,107,"1,407",374,263,249,208,684,806,964,"1,111","1,623",375,"1,002",343,"3,142","4,020","1,500","1,805"
2021년05월_남_60~69세,"19,277",780,"1,231",238,302,161,531,348,185,"1,151",472,236,235,183,549,632,926,810,"1,395",328,857,324,"1,990","2,767","1,308","1,338"
2021년05월_남_70~79세,"9,137",419,450,94,146,97,293,183,92,439,254,187,138,114,253,305,485,400,639,167,486,171,883,"1,086",670,686
2021년05월_남_80~89세,"4,320",213,183,62,75,54,126,88,42,214,102,65,65,58,142,150,217,185,276,105,250,112,452,536,239,309
2021년05월_남_90~99세,470,28,20,4,6,5,14,8,3,29,13,8,9,6,25,19,21,30,32,11,12,11,38,58,29,31
2021년05월_남_100세 이상,19,1,0,0,0,0,0,0,0,1,2,1,0,1,2,2,0,0,2,0,2,0,1,1,3,0
