,전라남도 보성군,전라남도 보성군 보성읍,전라남도 보성군 벌교읍,전라남도 보성군 노동면,전라남도 보성군 미력면,전라남도 보성군 겸백면,전라남도 보성군 율어면,전라남도 보성군 복내면,전라남도 보성군 문덕면,전라남도 보성군 조성면,전라남도 보성군 득량면,전라남도 보성군 득량면예당출장소,전라남도 보성군 회천면,전라남도 보성군 웅치면
2020년05월_계_총인구수,"41,016","9,240","12,129","1,120","1,432","1,185","1,209","1,709",898,"3,817","2,831","1,278","3,068","1,100"
2020년05월_계_연령구간인구수,"41,016","9,240","12,129","1,120","1,432","1,185","1,209","1,709",898,"3,817","2,831","1,278","3,068","1,100"
2020년05월_계_0~9세,"1,862",696,559,34,45,29,43,69,19,129,65,57,93,24
2020년05월_계_10~19세,"2,669",852,867,50,60,53,69,81,52,182,129,74,164,36
2020년05월_계_20~29세,"3,082",986,861,58,92,66,67,110,47,262,144,97,203,89
2020년05월_계_30~39세,"2,663",851,800,58,79,61,55,78,31,217,159,94,132,48
2020년05월_계_40~49세,"4,315","1,258","1,321",90,114,100,115,140,86,352,258,131,272,78
2020년05월_계_50~59세,"6,837","1,533","1,988",171,252,181,196,267,169,579,489,217,605,190
2020년05월_계_60~69세,"7,494","1,337","2,263",224,279,211,203,336,175,774,586,253,647,206
2020년05월_계_70~79세,"6,667","1,004","2,004",203,259,230,234,324,183,736,529,205,534,222
2020년05월_계_80~89세,"4,700",638,"1,264",199,221,222,203,266,116,508,401,135,357,170
2020년05월_계_90~99세,687,79,186,33,30,31,23,37,19,77,67,15,55,35
2020년05월_계_100세 이상,40,6,16,0,1,1,1,1,1,1,4,0,6,2
2020년05월_남_총인구수,"19,883","4,521","5,884",536,707,561,579,807,461,"1,819","1,363",607,"1,508",530
2020년05월_남_연령구간인구수,"19,883","4,521","5,884",536,707,561,579,807,461,"1,819","1,363",607,"1,508",530
2020년05월_남_0~9세,971,364,298,18,25,11,24,28,9,71,30,32,49,12
2020년05월_남_10~19세,"1,356",403,451,30,35,30,39,46,27,98,65,33,80,19
2020년05월_남_20~29세,"1,728",552,475,32,45,36,37,62,27,151,85,58,123,45
2020년05월_남_30~39세,"1,428",428,445,32,51,24,32,42,20,115,82,53,71,33
2020년05월_남_40~49세,"2,444",629,746,59,68,60,76,81,57,221,159,73,165,50
2020년05월_남_50~59세,"3,810",818,"1,104",101,151,114,114,142,112,333,305,99,315,102
2020년05월_남_60~69세,"3,730",658,"1,084",123,155,105,105,189,88,367,281,132,336,107
2020년05월_남_70~79세,"2,807",435,849,87,102,105,86,135,80,295,216,86,235,96
2020년05월_남_80~89세,"1,463",217,394,47,71,65,62,71,38,154,123,41,122,58
2020년05월_남_90~99세,141,17,33,7,4,11,4,11,3,14,17,0,12,8
2020년05월_남_100세 이상,5,0,5,0,0,0,0,0,0,0,0,0,0,0
2020년05월_여_총인구수,"21,133","4,719","6,245",584,725,624,630,902,437,"1,998","1,468",671,"1,560",570
2020년05월_여_연령구간인구수,"21,133","4,719","6,245",584,725,624,630,902,437,"1,998","1,468",671,"1,560",570
2020년05월_여_0~9세,891,332,261,16,20,18,19,41,10,58,35,25,44,12
2020년05월_여_10~19세,"1,313",449,416,20,25,23,30,35,25,84,64,41,84,17
2020년05월_여_20~29세,"1,354",434,386,26,47,30,30,48,20,111,59,39,80,44
2020년05월_여_30~39세,"1,235",423,355,26,28,37,23,36,11,102,77,41,61,15
2020년05월_여_40~49세,"1,871",629,575,31,46,40,39,59,29,131,99,58,107,28
2020년05월_여_50~59세,"3,027",715,884,70,101,67,82,125,57,246,184,118,290,88
2020년05월_여_60~69세,"3,764",679,"1,179",101,124,106,98,147,87,407,305,121,311,99
2020년05월_여_70~79세,"3,860",569,"1,155",116,157,125,148,189,103,441,313,119,299,126
2020년05월_여_80~89세,"3,237",421,870,152,150,157,141,195,78,354,278,94,235,112
2020년05월_여_90~99세,546,62,153,26,26,20,19,26,16,63,50,15,43,27
2020년05월_여_100세 이상,35,6,11,0,1,1,1,1,1,1,4,0,6,2
