카테고리,경상남도 하동군,경상남도 하동군 하동읍,경상남도 하동군 화개면,경상남도 하동군 악양면,경상남도 하동군 적량면,경상남도 하동군 횡천면,경상남도 하동군 고전면,경상남도 하동군 금남면,경상남도 하동군 진교면,경상남도 하동군 양보면,경상남도 하동군 북천면,경상남도 하동군 청암면,경상남도 하동군 옥종면,경상남도 하동군 금성면
2021년11월_계_총인구수,"43,530","9,735","3,047","3,483","1,919","1,826","2,192","3,386","5,928","1,716","1,685","1,432","4,210","2,971"
2021년11월_계_연령구간인구수,"43,530","9,735","3,047","3,483","1,919","1,826","2,192","3,386","5,928","1,716","1,685","1,432","4,210","2,971"
2021년11월_계_0~9세,"1,646",524,84,98,49,49,48,80,319,26,56,53,146,114
2021년11월_계_10~19세,"2,692",848,194,178,86,67,118,142,431,61,82,115,223,147
2021년11월_계_20~29세,"3,033",927,201,184,112,89,127,214,446,80,74,65,233,281
2021년11월_계_30~39세,"2,548",775,122,150,91,98,105,175,406,62,88,69,212,195
2021년11월_계_40~49세,"4,568","1,283",341,321,175,132,197,290,744,128,140,116,351,350
2021년11월_계_50~59세,"8,063","1,767",698,693,336,325,371,635,"1,037",280,269,253,827,572
2021년11월_계_60~69세,"9,347","1,735",655,794,446,437,522,798,"1,182",397,393,398,994,596
2021년11월_계_70~79세,"6,312","1,133",451,573,306,297,352,591,727,347,303,215,616,401
2021년11월_계_80~89세,"4,507",646,252,413,278,285,285,390,524,276,241,124,512,281
2021년11월_계_90~99세,799,95,47,78,40,45,66,69,111,57,39,24,94,34
2021년11월_계_100세 이상,15,2,2,1,0,2,1,2,1,2,0,0,2,0
2021년11월_남_총인구수,"21,732","4,805","1,540","1,726",943,897,"1,080","1,718","2,935",836,825,746,"2,124","1,557"
2021년11월_남_연령구간인구수,"21,732","4,805","1,540","1,726",943,897,"1,080","1,718","2,935",836,825,746,"2,124","1,557"
2021년11월_남_0~9세,860,273,44,60,31,23,26,42,146,13,23,31,81,67
2021년11월_남_10~19세,"1,460",446,106,103,53,34,52,71,241,27,45,76,121,85
2021년11월_남_20~29세,"1,810",505,113,127,66,53,84,139,270,50,44,39,142,178
2021년11월_남_30~39세,"1,394",404,65,82,48,56,63,116,200,37,51,37,117,118
2021년11월_남_40~49세,"2,554",661,180,182,99,86,115,174,412,78,80,66,203,218
2021년11월_남_50~59세,"4,431",945,390,361,187,171,209,369,543,158,163,141,463,331
2021년11월_남_60~69세,"4,866",861,351,417,237,235,272,405,602,211,214,211,537,313
2021년11월_남_70~79세,"2,792",488,190,237,136,145,159,260,336,159,131,107,283,161
2021년11월_남_80~89세,"1,396",203,87,148,73,84,88,127,157,94,66,34,159,76
2021년11월_남_90~99세,165,19,13,9,13,8,12,15,28,9,8,4,17,10
2021년11월_남_100세 이상,4,0,1,0,0,2,0,0,0,0,0,0,1,0
2021년11월_여_총인구수,"21,798","4,930","1,507","1,757",976,929,"1,112","1,668","2,993",880,860,686,"2,086","1,414"
2021년11월_여_연령구간인구수,"21,798","4,930","1,507","1,757",976,929,"1,112","1,668","2,993",880,860,686,"2,086","1,414"
2021년11월_여_0~9세,786,251,40,38,18,26,22,38,173,13,33,22,65,47
2021년11월_여_10~19세,"1,232",402,88,75,33,33,66,71,190,34,37,39,102,62
2021년11월_여_20~29세,"1,223",422,88,57,46,36,43,75,176,30,30,26,91,103
2021년11월_여_30~39세,"1,154",371,57,68,43,42,42,59,206,25,37,32,95,77
2021년11월_여_40~49세,"2,014",622,161,139,76,46,82,116,332,50,60,50,148,132
2021년11월_여_50~59세,"3,632",822,308,332,149,154,162,266,494,122,106,112,364,241
2021년11월_여_60~69세,"4,481",874,304,377,209,202,250,393,580,186,179,187,457,283
2021년11월_여_70~79세,"3,520",645,261,336,170,152,193,331,391,188,172,108,333,240
2021년11월_여_80~89세,"3,111",443,165,265,205,201,197,263,367,182,175,90,353,205
2021년11월_여_90~99세,634,76,34,69,27,37,54,54,83,48,31,20,77,24
2021년11월_여_100세 이상,11,2,1,1,0,0,1,2,1,2,0,0,1,0
