카테고리,경기도 시흥시,경기도 시흥시 대야동,경기도 시흥시 신천동,경기도 시흥시 신현동,경기도 시흥시 은행동,경기도 시흥시 매화동,경기도 시흥시 목감동,경기도 시흥시 군자동,경기도 시흥시 월곶동,경기도 시흥시 정왕본동,경기도 시흥시 정왕1동,경기도 시흥시 정왕2동,경기도 시흥시 정왕3동,경기도 시흥시 정왕4동,경기도 시흥시 배곧1동,경기도 시흥시 배곧2동,경기도 시흥시 과림동,경기도 시흥시 연성동,경기도 시흥시 장곡동,경기도 시흥시 능곡동
2021년10월_계_총인구수,"511,888","44,821","36,144","9,935","56,439","12,103","42,214","21,828","16,174","20,352","22,325","32,089","23,082","21,056","35,574","35,400","1,944","23,766","32,486","24,156"
2021년10월_계_연령구간인구수,"511,888","44,821","36,144","9,935","56,439","12,103","42,214","21,828","16,174","20,352","22,325","32,089","23,082","21,056","35,574","35,400","1,944","23,766","32,486","24,156"
2021년10월_계_0~9세,"47,971","3,466","1,557",410,"7,235",645,"5,660","1,452","1,324","1,100","1,248","2,258","1,638","1,591","5,793","4,654",44,"1,675","3,739","2,482"
2021년10월_계_10~19세,"50,301","3,463","3,082",715,"5,795","1,141","3,461","2,181","1,489","1,114","1,864","3,486","2,097","2,571","4,377","3,933",48,"2,742","4,048","2,694"
2021년10월_계_20~29세,"69,428","6,590","5,804","1,373","6,614","1,650","4,087","2,804","1,898","3,219","3,696","5,111","3,041","3,512","3,406","5,492",158,"3,656","4,078","3,239"
2021년10월_계_30~39세,"78,030","6,970","3,983",986,"9,668","1,100","8,062","2,540","2,381","3,988","3,317","4,332","3,128","2,388","6,682","7,227",180,"2,604","4,847","3,647"
2021년10월_계_40~49세,"92,325","6,558","4,961","1,258","10,075","1,846","7,644","3,792","3,168","4,210","4,496","6,155","4,586","3,706","7,758","7,364",167,"4,021","6,351","4,209"
2021년10월_계_50~59세,"89,769","8,593","8,073","2,170","8,730","2,522","5,753","4,081","2,785","3,739","4,321","6,287","4,671","4,352","4,468","4,303",441,"4,959","5,371","4,150"
2021년10월_계_60~69세,"52,821","5,864","5,464","1,822","5,400","1,777","4,754","2,947","1,840","2,013","2,224","2,777","2,539","1,746","2,218","1,759",573,"2,364","2,532","2,208"
2021년10월_계_70~79세,"20,112","2,086","2,103",757,"1,909",894,"1,864","1,307",862,646,764,"1,036",881,709,611,458,225,"1,065",986,949
2021년10월_계_80~89세,"9,560","1,046",981,380,856,449,792,633,372,275,340,574,418,431,224,174,82,595,453,485
2021년10월_계_90~99세,"1,495",180,124,55,151,76,131,87,52,43,53,70,81,49,36,36,22,79,79,91
2021년10월_계_100세 이상,76,5,12,9,6,3,6,4,3,5,2,3,2,1,1,0,4,6,2,2
2021년10월_남_총인구수,"267,351","22,730","18,654","5,229","28,183","6,354","21,388","11,420","8,411","12,876","13,190","17,471","13,030","10,440","17,675","18,598","1,197","12,127","16,398","11,980"
2021년10월_남_연령구간인구수,"267,351","22,730","18,654","5,229","28,183","6,354","21,388","11,420","8,411","12,876","13,190","17,471","13,030","10,440","17,675","18,598","1,197","12,127","16,398","11,980"
2021년10월_남_0~9세,"24,348","1,780",806,207,"3,637",315,"2,851",758,652,550,620,"1,135",834,840,"2,903","2,383",21,867,"1,906","1,283"
2021년10월_남_10~19세,"25,782","1,771","1,615",372,"2,957",598,"1,762","1,128",772,578,955,"1,794","1,095","1,302","2,217","1,943",25,"1,428","2,111","1,359"
2021년10월_남_20~29세,"37,724","3,485","3,170",764,"3,381",960,"2,108","1,536","1,023","2,128","2,358","2,999","1,747","1,803","1,660","2,949",102,"1,934","2,046","1,571"
2021년10월_남_30~39세,"41,783","3,619","2,218",573,"4,749",597,"4,035","1,444","1,271","2,734","2,090","2,571","1,846","1,203","3,168","3,903",121,"1,369","2,393","1,879"
2021년10월_남_40~49세,"49,848","3,401","2,580",664,"5,217",987,"4,128","2,088","1,739","2,883","2,825","3,442","2,815","1,755","4,037","3,973",117,"1,979","3,175","2,043"
2021년10월_남_50~59세,"47,139","4,224","4,131","1,140","4,321","1,381","2,919","2,150","1,509","2,367","2,601","3,335","2,674","2,163","2,202","2,229",278,"2,589","2,806","2,120"
2021년10월_남_60~69세,"28,035","3,117","2,899",995,"2,728",948,"2,395","1,486",891,"1,198","1,280","1,539","1,452",938,"1,141",929,359,"1,258","1,352","1,130"
2021년10월_남_70~79세,"9,231",973,932,358,908,405,915,589,401,340,339,437,406,270,271,220,130,474,442,421
2021년10월_남_80~89세,"3,143",327,277,132,257,142,247,225,140,91,114,202,150,153,68,64,36,215,149,154
2021년10월_남_90~99세,298,33,25,19,27,20,27,15,12,6,7,17,10,13,8,5,6,12,17,19
2021년10월_남_100세 이상,20,0,1,5,1,1,1,1,1,1,1,0,1,0,0,0,2,2,1,1
2021년10월_여_총인구수,"244,537","22,091","17,490","4,706","28,256","5,749","20,826","10,408","7,763","7,476","9,135","14,618","10,052","10,616","17,899","16,802",747,"11,639","16,088","12,176"
2021년10월_여_연령구간인구수,"244,537","22,091","17,490","4,706","28,256","5,749","20,826","10,408","7,763","7,476","9,135","14,618","10,052","10,616","17,899","16,802",747,"11,639","16,088","12,176"
2021년10월_여_0~9세,"23,623","1,686",751,203,"3,598",330,"2,809",694,672,550,628,"1,123",804,751,"2,890","2,271",23,808,"1,833","1,199"
2021년10월_여_10~19세,"24,519","1,692","1,467",343,"2,838",543,"1,699","1,053",717,536,909,"1,692","1,002","1,269","2,160","1,990",23,"1,314","1,937","1,335"
2021년10월_여_20~29세,"31,704","3,105","2,634",609,"3,233",690,"1,979","1,268",875,"1,091","1,338","2,112","1,294","1,709","1,746","2,543",56,"1,722","2,032","1,668"
2021년10월_여_30~39세,"36,247","3,351","1,765",413,"4,919",503,"4,027","1,096","1,110","1,254","1,227","1,761","1,282","1,185","3,514","3,324",59,"1,235","2,454","1,768"
2021년10월_여_40~49세,"42,477","3,157","2,381",594,"4,858",859,"3,516","1,704","1,429","1,327","1,671","2,713","1,771","1,951","3,721","3,391",50,"2,042","3,176","2,166"
2021년10월_여_50~59세,"42,630","4,369","3,942","1,030","4,409","1,141","2,834","1,931","1,276","1,372","1,720","2,952","1,997","2,189","2,266","2,074",163,"2,370","2,565","2,030"
2021년10월_여_60~69세,"24,786","2,747","2,565",827,"2,672",829,"2,359","1,461",949,815,944,"1,238","1,087",808,"1,077",830,214,"1,106","1,180","1,078"
2021년10월_여_70~79세,"10,881","1,113","1,171",399,"1,001",489,949,718,461,306,425,599,475,439,340,238,95,591,544,528
2021년10월_여_80~89세,"6,417",719,704,248,599,307,545,408,232,184,226,372,268,278,156,110,46,380,304,331
2021년10월_여_90~99세,"1,197",147,99,36,124,56,104,72,40,37,46,53,71,36,28,31,16,67,62,72
2021년10월_여_100세 이상,56,5,11,4,5,2,5,3,2,4,1,3,1,1,1,0,2,4,1,1
