카테고리,강원도 영월군,강원도 영월군 영월읍,강원도 영월군 상동읍,강원도 영월군 중동면,강원도 영월군 김삿갓면,강원도 영월군 북면,강원도 영월군 남면,강원도 영월군 한반도면,강원도 영월군 한반도면쌍용출장소,강원도 영월군 주천면,강원도 영월군 무릉도원면
2020년05월_계_총인구수,"38,759","21,165","1,099","1,480","1,746","2,155","2,277","1,266","1,749","3,809","2,013"
2020년05월_계_연령구간인구수,"38,759","21,165","1,099","1,480","1,746","2,155","2,277","1,266","1,749","3,809","2,013"
2020년05월_계_0~9세,"1,727","1,340",20,24,30,35,53,40,44,98,43
2020년05월_계_10~19세,"2,943","2,173",32,57,80,84,97,54,79,203,84
2020년05월_계_20~29세,"3,317","2,329",48,69,93,134,115,105,107,229,88
2020년05월_계_30~39세,"2,876","1,962",53,64,62,110,127,81,111,203,103
2020년05월_계_40~49세,"4,745","3,049",102,126,168,209,229,145,175,359,183
2020년05월_계_50~59세,"7,465","3,786",236,353,425,455,444,274,340,748,404
2020년05월_계_60~69세,"7,807","3,248",264,366,458,539,625,298,418,980,611
2020년05월_계_70~79세,"4,888","2,093",211,268,261,350,344,159,292,560,350
2020년05월_계_80~89세,"2,606","1,030",120,137,145,209,207,97,157,378,126
2020년05월_계_90~99세,336,136,12,15,21,24,31,12,25,41,19
2020년05월_계_100세 이상,49,19,1,1,3,6,5,1,1,10,2
2020년05월_남_총인구수,"19,996","10,812",568,774,902,"1,123","1,194",712,945,"1,950","1,016"
2020년05월_남_연령구간인구수,"19,996","10,812",568,774,902,"1,123","1,194",712,945,"1,950","1,016"
2020년05월_남_0~9세,920,725,14,12,17,16,23,21,24,47,21
2020년05월_남_10~19세,"1,578","1,179",17,25,41,37,55,29,35,120,40
2020년05월_남_20~29세,"1,891","1,315",29,44,55,81,69,69,63,121,45
2020년05월_남_30~39세,"1,578","1,023",29,43,33,65,82,47,82,124,50
2020년05월_남_40~49세,"2,630","1,582",69,82,94,131,144,90,116,208,114
2020년05월_남_50~59세,"4,085","2,055",138,198,228,257,246,167,201,393,202
2020년05월_남_60~69세,"4,055","1,614",132,209,246,296,345,163,221,520,309
2020년05월_남_70~79세,"2,226",912,91,112,134,154,157,84,134,269,179
2020년05월_남_80~89세,925,369,45,44,49,78,62,39,59,131,49
2020년05월_남_90~99세,94,33,3,4,5,5,9,3,10,15,7
2020년05월_남_100세 이상,14,5,1,1,0,3,2,0,0,2,0
2020년05월_여_총인구수,"18,763","10,353",531,706,844,"1,032","1,083",554,804,"1,859",997
2020년05월_여_연령구간인구수,"18,763","10,353",531,706,844,"1,032","1,083",554,804,"1,859",997
2020년05월_여_0~9세,807,615,6,12,13,19,30,19,20,51,22
2020년05월_여_10~19세,"1,365",994,15,32,39,47,42,25,44,83,44
2020년05월_여_20~29세,"1,426","1,014",19,25,38,53,46,36,44,108,43
2020년05월_여_30~39세,"1,298",939,24,21,29,45,45,34,29,79,53
2020년05월_여_40~49세,"2,115","1,467",33,44,74,78,85,55,59,151,69
2020년05월_여_50~59세,"3,380","1,731",98,155,197,198,198,107,139,355,202
2020년05월_여_60~69세,"3,752","1,634",132,157,212,243,280,135,197,460,302
2020년05월_여_70~79세,"2,662","1,181",120,156,127,196,187,75,158,291,171
2020년05월_여_80~89세,"1,681",661,75,93,96,131,145,58,98,247,77
2020년05월_여_90~99세,242,103,9,11,16,19,22,9,15,26,12
2020년05월_여_100세 이상,35,14,0,0,3,3,3,1,1,8,2
