,인천광역시 계양구,인천광역시 계양구 효성1동,인천광역시 계양구 효성2동,인천광역시 계양구 계산1동,인천광역시 계양구 계산2동,인천광역시 계양구 계산3동,인천광역시 계양구 계산4동,인천광역시 계양구 작전1동,인천광역시 계양구 작전2동,인천광역시 계양구 작전서운동,인천광역시 계양구 계양1동,인천광역시 계양구 계양2동,인천광역시 계양구 계양3동
2021년04월_계_총인구수,"296,947","24,832","29,496","19,574","15,953","19,481","23,317","28,306","20,293","34,795","21,242","33,714","25,944"
2021년04월_계_연령구간인구수,"296,947","24,832","29,496","19,574","15,953","19,481","23,317","28,306","20,293","34,795","21,242","33,714","25,944"
2021년04월_계_0~9세,"18,222","1,287","1,872",780,616,894,"1,502","1,766","1,017","2,645","1,457","1,671","2,715"
2021년04월_계_10~19세,"26,273","2,209","2,708","1,237",958,"1,491","2,526","2,732","1,421","3,638","1,765","2,704","2,884"
2021년04월_계_20~29세,"43,733","3,520","4,227","2,941","2,487","3,331","3,844","4,274","2,983","5,221","2,993","5,041","2,871"
2021년04월_계_30~39세,"37,879","2,748","3,474","2,517","2,105","2,853","2,618","3,496","2,800","4,711","2,567","4,300","3,690"
2021년04월_계_40~49세,"45,455","3,555","4,396","2,697","2,044","2,522","3,894","4,408","2,708","5,842","3,200","5,025","5,164"
2021년04월_계_50~59세,"60,278","5,140","5,993","4,211","3,419","4,274","5,161","5,663","4,118","6,982","4,242","7,068","4,007"
2021년04월_계_60~69세,"40,901","3,962","4,368","3,231","2,751","2,845","2,530","3,861","3,282","3,602","3,019","4,561","2,889"
2021년04월_계_70~79세,"15,602","1,571","1,692","1,301","1,062",776,641,"1,381","1,311","1,307","1,268","2,120","1,172"
2021년04월_계_80~89세,"7,426",736,685,591,430,421,482,633,571,714,623,"1,064",476
2021년04월_계_90~99세,"1,152",99,79,66,79,73,116,91,80,129,108,156,76
2021년04월_계_100세 이상,26,5,2,2,2,1,3,1,2,4,0,4,0
2021년04월_남_총인구수,"147,993","12,495","14,928","10,286","7,904","9,356","11,770","13,933","10,050","17,328","10,503","16,675","12,765"
2021년04월_남_연령구간인구수,"147,993","12,495","14,928","10,286","7,904","9,356","11,770","13,933","10,050","17,328","10,503","16,675","12,765"
2021년04월_남_0~9세,"9,269",642,965,421,293,456,758,882,501,"1,349",765,845,"1,392"
2021년04월_남_10~19세,"13,480","1,166","1,397",640,503,787,"1,306","1,384",723,"1,815",907,"1,361","1,491"
2021년04월_남_20~29세,"22,905","1,909","2,312","1,594","1,260","1,719","1,979","2,252","1,514","2,756","1,518","2,665","1,427"
2021년04월_남_30~39세,"19,748","1,426","1,850","1,428","1,157","1,440","1,345","1,779","1,533","2,443","1,311","2,278","1,758"
2021년04월_남_40~49세,"22,651","1,776","2,207","1,466","1,039","1,120","1,911","2,134","1,402","2,817","1,600","2,485","2,694"
2021년04월_남_50~59세,"29,327","2,549","2,904","2,248","1,629","1,905","2,552","2,717","1,938","3,454","2,047","3,451","1,933"
2021년04월_남_60~69세,"20,939","2,019","2,229","1,677","1,378","1,452","1,457","1,949","1,627","1,897","1,552","2,352","1,350"
2021년04월_남_70~79세,"7,025",730,805,613,488,345,300,627,585,555,558,884,535
2021년04월_남_80~89세,"2,401",250,243,187,143,116,144,182,211,218,225,318,164
2021년04월_남_90~99세,241,27,16,12,14,15,17,26,15,23,20,35,21
2021년04월_남_100세 이상,7,1,0,0,0,1,1,1,1,1,0,1,0
2021년04월_여_총인구수,"148,954","12,337","14,568","9,288","8,049","10,125","11,547","14,373","10,243","17,467","10,739","17,039","13,179"
2021년04월_여_연령구간인구수,"148,954","12,337","14,568","9,288","8,049","10,125","11,547","14,373","10,243","17,467","10,739","17,039","13,179"
2021년04월_여_0~9세,"8,953",645,907,359,323,438,744,884,516,"1,296",692,826,"1,323"
2021년04월_여_10~19세,"12,793","1,043","1,311",597,455,704,"1,220","1,348",698,"1,823",858,"1,343","1,393"
2021년04월_여_20~29세,"20,828","1,611","1,915","1,347","1,227","1,612","1,865","2,022","1,469","2,465","1,475","2,376","1,444"
2021년04월_여_30~39세,"18,131","1,322","1,624","1,089",948,"1,413","1,273","1,717","1,267","2,268","1,256","2,022","1,932"
2021년04월_여_40~49세,"22,804","1,779","2,189","1,231","1,005","1,402","1,983","2,274","1,306","3,025","1,600","2,540","2,470"
2021년04월_여_50~59세,"30,951","2,591","3,089","1,963","1,790","2,369","2,609","2,946","2,180","3,528","2,195","3,617","2,074"
2021년04월_여_60~69세,"19,962","1,943","2,139","1,554","1,373","1,393","1,073","1,912","1,655","1,705","1,467","2,209","1,539"
2021년04월_여_70~79세,"8,577",841,887,688,574,431,341,754,726,752,710,"1,236",637
2021년04월_여_80~89세,"5,025",486,442,404,287,305,338,451,360,496,398,746,312
2021년04월_여_90~99세,911,72,63,54,65,58,99,65,65,106,88,121,55
2021년04월_여_100세 이상,19,4,2,2,2,0,2,0,1,3,0,3,0
