,대구광역시 달서구,대구광역시 달서구 성당동,대구광역시 달서구 두류1.2동,대구광역시 달서구 두류3동,대구광역시 달서구 감삼동,대구광역시 달서구 죽전동,대구광역시 달서구 장기동,대구광역시 달서구 용산1동,대구광역시 달서구 용산2동,대구광역시 달서구 이곡1동,대구광역시 달서구 이곡2동,대구광역시 달서구 신당동,대구광역시 달서구 본리동,대구광역시 달서구 월성1동,대구광역시 달서구 월성2동,대구광역시 달서구 진천동,대구광역시 달서구 상인1동,대구광역시 달서구 상인2동,대구광역시 달서구 상인3동,대구광역시 달서구 도원동,대구광역시 달서구 송현1동,대구광역시 달서구 송현2동,대구광역시 달서구 본동
2021년10월_계_총인구수,"547,340","23,418","14,463","8,323","26,950","13,673","17,245","31,131","28,970","23,244","16,509","31,931","21,461","43,390","16,080","76,323","37,005","20,072","11,153","35,753","19,425","18,273","12,548"
2021년10월_계_연령구간인구수,"547,340","23,418","14,463","8,323","26,950","13,673","17,245","31,131","28,970","23,244","16,509","31,931","21,461","43,390","16,080","76,323","37,005","20,072","11,153","35,753","19,425","18,273","12,548"
2021년10월_계_0~9세,"37,233","1,524",545,353,"1,993",568,"1,260","1,878","1,685","1,217",836,"1,331","2,096","4,662",537,"8,483","2,681","1,111",312,"2,107",799,681,574
2021년10월_계_10~19세,"53,022","1,956",689,533,"2,203",908,"1,595","3,364","2,782","2,349","1,304","2,264","2,181","8,347","1,095","8,381","4,443","1,413",550,"3,378","1,239","1,170",878
2021년10월_계_20~29세,"76,239","2,776","2,308","1,259","4,017","2,254","2,393","4,866","4,569","4,008","2,433","6,937","2,463","4,327","1,715","8,895","4,938","3,342","1,106","4,823","2,816","2,433","1,561"
2021년10월_계_30~39세,"63,424","2,649","1,858",914,"3,654","1,733","2,123","3,211","3,237","2,518","2,066","3,715","2,851","4,170","1,211","10,716","3,665","2,878",974,"3,743","2,184","1,919","1,435"
2021년10월_계_40~49세,"85,671","3,483","1,769","1,056","3,914","1,842","2,665","4,951","4,364","3,539","2,263","4,317","3,943","10,480","2,149","13,663","5,939","2,556","1,191","4,906","2,604","2,302","1,775"
2021년10월_계_50~59세,"101,679","4,061","2,520","1,475","5,048","2,693","3,368","6,724","6,431","5,147","3,440","6,313","3,691","6,354","2,950","11,946","6,933","3,769","2,131","7,195","3,676","3,364","2,450"
2021년10월_계_60~69세,"77,483","3,932","2,527","1,395","3,862","2,271","2,330","3,824","3,767","2,808","2,806","4,120","2,711","3,042","3,250","8,708","5,135","3,115","2,709","6,038","3,426","3,483","2,224"
2021년10월_계_70~79세,"35,101","2,091","1,511",886,"1,584",967,"1,058","1,580","1,422","1,085",960,"1,887","1,053","1,356","2,070","3,769","2,125","1,261","1,423","2,294","1,792","1,866","1,061"
2021년10월_계_80~89세,"15,561",855,666,414,603,392,404,661,652,518,365,931,414,556,988,"1,566",998,550,659,"1,122",799,939,509
2021년10월_계_90~99세,"1,870",84,64,38,70,44,48,70,59,53,35,115,56,88,112,191,146,74,97,145,87,113,81
2021년10월_계_100세 이상,57,7,6,0,2,1,1,2,2,2,1,1,2,8,3,5,2,3,1,2,3,3,0
