,전라남도 담양군,전라남도 담양군 담양읍,전라남도 담양군 봉산면,전라남도 담양군 고서면,전라남도 담양군 가사문학면,전라남도 담양군 창평면,전라남도 담양군 대덕면,전라남도 담양군 무정면,전라남도 담양군 금성면,전라남도 담양군 용면,전라남도 담양군 월산면,전라남도 담양군 수북면,전라남도 담양군 대전면
2021년04월_계_총인구수,"46,624","15,158","2,780","3,151","1,237","3,680","1,937","2,747","2,617","1,848","2,480","4,555","4,434"
2021년04월_계_연령구간인구수,"46,624","15,158","2,780","3,151","1,237","3,680","1,937","2,747","2,617","1,848","2,480","4,555","4,434"
2021년04월_계_0~9세,"2,331","1,137",128,111,28,138,60,65,86,68,105,203,202
2021년04월_계_10~19세,"2,981","1,242",108,159,50,226,105,107,113,80,119,320,352
2021년04월_계_20~29세,"4,770","1,749",220,271,88,307,174,553,212,162,188,431,415
2021년04월_계_30~39세,"3,676","1,619",203,224,75,240,118,140,181,111,191,276,298
2021년04월_계_40~49세,"5,269","2,054",290,308,106,360,178,215,251,167,244,569,527
2021년04월_계_50~59세,"8,212","2,440",509,589,244,691,387,427,457,331,450,867,820
2021년04월_계_60~69세,"8,534","2,232",590,685,288,734,408,506,537,407,521,862,764
2021년04월_계_70~79세,"6,301","1,629",441,499,189,562,285,406,427,315,401,568,579
2021년04월_계_80~89세,"3,923",901,244,263,142,379,189,285,299,178,232,390,421
2021년04월_계_90~99세,601,148,46,39,26,41,32,42,49,27,27,68,56
2021년04월_계_100세 이상,26,7,1,3,1,2,1,1,5,2,2,1,0
2021년04월_남_총인구수,"23,627","7,650","1,415","1,579",627,"1,862","1,001","1,534","1,326",916,"1,247","2,284","2,186"
2021년04월_남_연령구간인구수,"23,627","7,650","1,415","1,579",627,"1,862","1,001","1,534","1,326",916,"1,247","2,284","2,186"
2021년04월_남_0~9세,"1,164",551,62,54,9,75,34,34,43,40,47,112,103
2021년04월_남_10~19세,"1,556",666,56,78,26,115,64,55,58,37,58,178,165
2021년04월_남_20~29세,"2,825",999,125,148,48,175,96,464,116,84,105,232,233
2021년04월_남_30~39세,"1,892",826,105,124,38,124,62,79,104,50,89,144,147
2021년04월_남_40~49세,"3,021","1,121",193,179,61,216,101,126,168,104,151,307,294
2021년04월_남_50~59세,"4,492","1,283",286,312,138,377,209,238,262,180,257,475,475
2021년04월_남_60~69세,"4,435","1,129",296,367,163,397,237,255,264,201,271,453,402
2021년04월_남_70~79세,"2,824",737,194,222,88,242,127,184,198,148,195,254,235
2021년04월_남_80~89세,"1,285",306,89,84,49,132,66,89,102,63,71,109,125
2021년04월_남_90~99세,133,32,9,11,7,9,5,10,11,9,3,20,7
2021년04월_남_100세 이상,0,0,0,0,0,0,0,0,0,0,0,0,0
2021년04월_여_총인구수,"22,997","7,508","1,365","1,572",610,"1,818",936,"1,213","1,291",932,"1,233","2,271","2,248"
2021년04월_여_연령구간인구수,"22,997","7,508","1,365","1,572",610,"1,818",936,"1,213","1,291",932,"1,233","2,271","2,248"
2021년04월_여_0~9세,"1,167",586,66,57,19,63,26,31,43,28,58,91,99
2021년04월_여_10~19세,"1,425",576,52,81,24,111,41,52,55,43,61,142,187
2021년04월_여_20~29세,"1,945",750,95,123,40,132,78,89,96,78,83,199,182
2021년04월_여_30~39세,"1,784",793,98,100,37,116,56,61,77,61,102,132,151
2021년04월_여_40~49세,"2,248",933,97,129,45,144,77,89,83,63,93,262,233
2021년04월_여_50~59세,"3,720","1,157",223,277,106,314,178,189,195,151,193,392,345
2021년04월_여_60~69세,"4,099","1,103",294,318,125,337,171,251,273,206,250,409,362
2021년04월_여_70~79세,"3,477",892,247,277,101,320,158,222,229,167,206,314,344
2021년04월_여_80~89세,"2,638",595,155,179,93,247,123,196,197,115,161,281,296
2021년04월_여_90~99세,468,116,37,28,19,32,27,32,38,18,24,48,49
2021년04월_여_100세 이상,26,7,1,3,1,2,1,1,5,2,2,1,0
