카테고리,광주광역시 서구,광주광역시 서구 양동,광주광역시 서구 양3동,광주광역시 서구 농성1동,광주광역시 서구 농성2동,광주광역시 서구 광천동,광주광역시 서구 유덕동,광주광역시 서구 치평동,광주광역시 서구 상무1동,광주광역시 서구 상무2동,광주광역시 서구 화정1동,광주광역시 서구 화정2동,광주광역시 서구 화정3동,광주광역시 서구 화정4동,광주광역시 서구 서창동,광주광역시 서구 금호1동,광주광역시 서구 금호2동,광주광역시 서구 풍암동,광주광역시 서구 동천동
2021년07월_계_총인구수,"292,724","3,831","4,625","10,964","4,996","8,247","10,957","30,382","24,808","23,796","15,683","20,712","10,169","15,573","5,816","20,133","28,811","37,033","16,188"
2021년07월_계_연령구간인구수,"292,724","3,831","4,625","10,964","4,996","8,247","10,957","30,382","24,808","23,796","15,683","20,712","10,169","15,573","5,816","20,133","28,811","37,033","16,188"
2021년07월_계_0~9세,"20,678",100,364,564,168,536,851,"2,111","1,585","1,146",841,"2,296",537,"1,056",388,"1,226","2,530","2,859","1,520"
2021년07월_계_10~19세,"30,433",141,348,629,240,584,"1,250","2,983","2,416","1,638","1,066","2,444",988,"1,524",389,"2,066","4,264","5,057","2,406"
2021년07월_계_20~29세,"44,905",412,467,"1,599",847,"1,057","1,748","5,530","4,693","4,419","3,102","2,372","1,547","2,154",715,"2,871","4,060","5,412","1,900"
2021년07월_계_30~39세,"35,544",341,550,"1,538",601,972,"1,432","4,261","3,513","2,927","2,336","2,879","1,070","1,665",677,"1,990","3,084","4,040","1,668"
2021년07월_계_40~49세,"47,456",424,726,"1,500",655,"1,264","1,917","4,803","3,906","3,167","2,182","3,695","1,370","2,161",719,"2,902","5,510","7,234","3,321"
2021년07월_계_50~59세,"49,304",601,669,"1,737",848,"1,534","1,874","5,388","3,958","3,974","2,334","2,893","1,710","2,609","1,200","3,858","5,200","6,384","2,533"
2021년07월_계_60~69세,"35,345",756,770,"1,585",815,"1,243",978,"2,922","2,705","3,427","1,889","2,420","1,631","2,673",948,"3,048","2,422","3,378","1,735"
2021년07월_계_70~79세,"19,401",711,520,"1,226",530,709,572,"1,508","1,444","2,078","1,228","1,243",870,"1,164",478,"1,428","1,155","1,746",791
2021년07월_계_80~89세,"8,397",310,184,519,260,303,292,784,506,888,613,397,371,493,255,662,495,809,256
2021년07월_계_90~99세,"1,214",34,27,63,31,42,43,89,78,123,91,72,72,71,45,80,84,112,57
2021년07월_계_100세 이상,47,1,0,4,1,3,0,3,4,9,1,1,3,3,2,2,7,2,1
2021년07월_남_총인구수,"143,459","1,911","2,262","5,431","2,607","4,237","5,580","14,508","12,401","11,591","7,441","10,380","5,023","7,514","3,008","9,546","14,114","18,230","7,675"
2021년07월_남_연령구간인구수,"143,459","1,911","2,262","5,431","2,607","4,237","5,580","14,508","12,401","11,591","7,441","10,380","5,023","7,514","3,008","9,546","14,114","18,230","7,675"
2021년07월_남_0~9세,"10,718",56,196,281,88,305,466,"1,047",783,613,437,"1,214",288,563,205,641,"1,325","1,458",752
2021년07월_남_10~19세,"16,041",73,191,359,147,291,639,"1,552","1,191",845,553,"1,445",541,848,202,"1,120","2,165","2,667","1,212"
2021년07월_남_20~29세,"22,964",236,258,781,440,552,919,"2,633","2,374","2,145","1,373","1,268",870,"1,164",392,"1,513","2,210","2,824","1,012"
2021년07월_남_30~39세,"18,091",192,267,822,347,528,781,"2,138","1,882","1,570","1,190","1,393",556,845,362,968,"1,481","2,013",756
2021년07월_남_40~49세,"22,920",255,408,787,376,704,974,"2,191","1,977","1,618","1,140","1,830",684,999,383,"1,279","2,445","3,332","1,538"
2021년07월_남_50~59세,"24,185",327,328,901,433,786,991,"2,549","1,989","1,970","1,131","1,390",789,"1,137",644,"1,768","2,612","3,212","1,228"
2021년07월_남_60~69세,"16,570",347,328,704,395,614,476,"1,449","1,280","1,612",804,"1,099",742,"1,230",501,"1,436","1,154","1,649",750
2021년07월_남_70~79세,"8,647",284,219,573,260,337,215,634,710,894,540,580,393,542,239,622,529,738,338
2021년07월_남_80~89세,"3,048",133,63,209,114,108,109,288,195,297,248,146,145,172,74,187,174,308,78
2021년07월_남_90~99세,271,8,4,13,7,12,10,26,20,27,25,15,15,14,6,12,18,28,11
2021년07월_남_100세 이상,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
2021년07월_여_총인구수,"149,265","1,920","2,363","5,533","2,389","4,010","5,377","15,874","12,407","12,205","8,242","10,332","5,146","8,059","2,808","10,587","14,697","18,803","8,513"
2021년07월_여_연령구간인구수,"149,265","1,920","2,363","5,533","2,389","4,010","5,377","15,874","12,407","12,205","8,242","10,332","5,146","8,059","2,808","10,587","14,697","18,803","8,513"
2021년07월_여_0~9세,"9,960",44,168,283,80,231,385,"1,064",802,533,404,"1,082",249,493,183,585,"1,205","1,401",768
2021년07월_여_10~19세,"14,392",68,157,270,93,293,611,"1,431","1,225",793,513,999,447,676,187,946,"2,099","2,390","1,194"
2021년07월_여_20~29세,"21,941",176,209,818,407,505,829,"2,897","2,319","2,274","1,729","1,104",677,990,323,"1,358","1,850","2,588",888
2021년07월_여_30~39세,"17,453",149,283,716,254,444,651,"2,123","1,631","1,357","1,146","1,486",514,820,315,"1,022","1,603","2,027",912
2021년07월_여_40~49세,"24,536",169,318,713,279,560,943,"2,612","1,929","1,549","1,042","1,865",686,"1,162",336,"1,623","3,065","3,902","1,783"
2021년07월_여_50~59세,"25,119",274,341,836,415,748,883,"2,839","1,969","2,004","1,203","1,503",921,"1,472",556,"2,090","2,588","3,172","1,305"
2021년07월_여_60~69세,"18,775",409,442,881,420,629,502,"1,473","1,425","1,815","1,085","1,321",889,"1,443",447,"1,612","1,268","1,729",985
2021년07월_여_70~79세,"10,754",427,301,653,270,372,357,874,734,"1,184",688,663,477,622,239,806,626,"1,008",453
2021년07월_여_80~89세,"5,349",177,121,310,146,195,183,496,311,591,365,251,226,321,181,475,321,501,178
2021년07월_여_90~99세,943,26,23,50,24,30,33,63,58,96,66,57,57,57,39,68,66,84,46
2021년07월_여_100세 이상,43,1,0,3,1,3,0,2,4,9,1,1,3,3,2,2,6,1,1
