,경상북도 영덕군,경상북도 영덕군 영덕읍,경상북도 영덕군 강구면,경상북도 영덕군 남정면,경상북도 영덕군 달산면,경상북도 영덕군 지품면,경상북도 영덕군 지품면원전출장소,경상북도 영덕군 축산면,경상북도 영덕군 축산면축산출장소,경상북도 영덕군 영해면,경상북도 영덕군 병곡면,경상북도 영덕군 창수면
2021년08월_계_총인구수,"35,678","10,861","6,072","2,338","1,119","1,485",524,909,"1,691","6,271","2,748","1,660"
2021년08월_계_연령구간인구수,"35,678","10,861","6,072","2,338","1,119","1,485",524,909,"1,691","6,271","2,748","1,660"
2021년08월_계_0~9세,"1,539",748,207,42,12,36,9,25,36,337,64,23
2021년08월_계_10~19세,"2,036",911,293,64,33,36,13,31,67,420,124,44
2021년08월_계_20~29세,"2,295",924,389,124,50,66,16,41,78,450,109,48
2021년08월_계_30~39세,"2,253",954,373,110,40,53,10,34,75,432,114,58
2021년08월_계_40~49세,"3,714","1,550",624,169,62,97,27,72,150,674,193,96
2021년08월_계_50~59세,"5,978","1,823","1,101",404,189,250,82,137,296,"1,029",427,240
2021년08월_계_60~69세,"7,577","1,861","1,398",554,284,401,135,198,414,"1,257",644,431
2021년08월_계_70~79세,"5,791","1,220","1,056",479,225,292,139,199,356,906,547,372
2021년08월_계_80~89세,"3,926",742,560,338,190,226,84,156,206,655,464,305
2021년08월_계_90~99세,547,120,70,52,33,27,9,16,13,109,62,36
2021년08월_계_100세 이상,22,8,1,2,1,1,0,0,0,2,0,7
2021년08월_남_총인구수,"16,902","5,198","2,841","1,134",502,734,246,430,789,"2,923","1,291",814
2021년08월_남_연령구간인구수,"16,902","5,198","2,841","1,134",502,734,246,430,789,"2,923","1,291",814
2021년08월_남_0~9세,762,366,102,21,8,19,4,16,17,160,37,12
2021년08월_남_10~19세,"1,045",442,167,44,17,23,6,15,38,215,57,21
2021년08월_남_20~29세,"1,332",536,226,72,27,39,10,24,46,265,59,28
2021년08월_남_30~39세,"1,173",470,204,60,25,25,6,17,43,222,67,34
2021년08월_남_40~49세,"2,040",782,355,106,31,67,22,42,83,359,126,67
2021년08월_남_50~59세,"3,228",991,571,236,106,143,45,84,154,529,242,127
2021년08월_남_60~69세,"3,639",861,643,290,149,207,65,93,192,587,325,227
2021년08월_남_70~79세,"2,362",488,409,194,83,129,57,89,147,373,223,170
2021년08월_남_80~89세,"1,223",239,154,102,50,75,30,48,64,198,147,116
2021년08월_남_90~99세,95,22,10,9,6,7,1,2,5,15,8,10
2021년08월_남_100세 이상,3,1,0,0,0,0,0,0,0,0,0,2
2021년08월_여_총인구수,"18,776","5,663","3,231","1,204",617,751,278,479,902,"3,348","1,457",846
2021년08월_여_연령구간인구수,"18,776","5,663","3,231","1,204",617,751,278,479,902,"3,348","1,457",846
2021년08월_여_0~9세,777,382,105,21,4,17,5,9,19,177,27,11
2021년08월_여_10~19세,991,469,126,20,16,13,7,16,29,205,67,23
2021년08월_여_20~29세,963,388,163,52,23,27,6,17,32,185,50,20
2021년08월_여_30~39세,"1,080",484,169,50,15,28,4,17,32,210,47,24
2021년08월_여_40~49세,"1,674",768,269,63,31,30,5,30,67,315,67,29
2021년08월_여_50~59세,"2,750",832,530,168,83,107,37,53,142,500,185,113
2021년08월_여_60~69세,"3,938","1,000",755,264,135,194,70,105,222,670,319,204
2021년08월_여_70~79세,"3,429",732,647,285,142,163,82,110,209,533,324,202
2021년08월_여_80~89세,"2,703",503,406,236,140,151,54,108,142,457,317,189
2021년08월_여_90~99세,452,98,60,43,27,20,8,14,8,94,54,26
2021년08월_여_100세 이상,19,7,1,2,1,1,0,0,0,2,0,5
