카테고리,충청북도 괴산군,충청북도 괴산군 괴산읍,충청북도 괴산군 감물면,충청북도 괴산군 장연면,충청북도 괴산군 연풍면,충청북도 괴산군 칠성면,충청북도 괴산군 문광면,충청북도 괴산군 청천면,충청북도 괴산군 청안면,충청북도 괴산군 사리면,충청북도 괴산군 소수면,충청북도 괴산군 불정면
2021년01월_계_총인구수,"38,338","10,147","2,158","1,966","2,359","3,160","2,201","5,150","3,471","2,819","2,091","2,816"
2021년01월_계_연령구간인구수,"38,338","10,147","2,158","1,966","2,359","3,160","2,201","5,150","3,471","2,819","2,091","2,816"
2021년01월_계_0~9세,"1,295",610,64,49,43,78,51,112,89,75,56,68
2021년01월_계_10~19세,"2,068",932,124,58,91,141,98,206,131,114,67,106
2021년01월_계_20~29세,"3,062","1,294",137,113,131,237,151,273,207,224,126,169
2021년01월_계_30~39세,"2,493","1,001",120,77,115,202,130,239,187,163,123,136
2021년01월_계_40~49세,"3,930","1,506",174,164,199,312,195,401,298,279,168,234
2021년01월_계_50~59세,"7,402","1,706",431,448,437,684,438,"1,077",704,539,391,547
2021년01월_계_60~69세,"8,791","1,556",541,519,653,709,535,"1,398",911,650,586,733
2021년01월_계_70~79세,"5,462",969,311,297,392,478,345,878,522,461,339,470
2021년01월_계_80~89세,"3,356",518,222,213,259,288,219,489,362,281,193,312
2021년01월_계_90~99세,449,51,34,28,36,30,37,72,56,31,37,37
2021년01월_계_100세 이상,30,4,0,0,3,1,2,5,4,2,5,4
2021년01월_남_총인구수,"19,702","5,192","1,132",992,"1,221","1,600","1,108","2,653","1,775","1,468","1,080","1,481"
2021년01월_남_연령구간인구수,"19,702","5,192","1,132",992,"1,221","1,600","1,108","2,653","1,775","1,468","1,080","1,481"
2021년01월_남_0~9세,650,313,33,26,20,30,24,54,43,39,28,40
2021년01월_남_10~19세,"1,081",483,63,33,51,75,43,109,69,56,37,62
2021년01월_남_20~29세,"1,822",745,77,70,79,124,91,179,131,142,74,110
2021년01월_남_30~39세,"1,403",527,75,46,74,117,72,129,103,95,81,84
2021년01월_남_40~49세,"2,267",812,108,85,120,188,116,231,178,168,107,154
2021년01월_남_50~59세,"4,017",923,243,249,227,374,237,589,393,300,196,286
2021년01월_남_60~69세,"4,622",764,291,276,358,386,273,744,477,352,314,387
2021년01월_남_70~79세,"2,550",421,147,127,185,218,178,424,245,209,171,225
2021년01월_남_80~89세,"1,182",189,87,75,99,80,66,180,120,99,62,125
2021년01월_남_90~99세,100,14,8,5,7,8,8,13,15,7,10,5
2021년01월_남_100세 이상,8,1,0,0,1,0,0,1,1,1,0,3
2021년01월_여_총인구수,"18,636","4,955","1,026",974,"1,138","1,560","1,093","2,497","1,696","1,351","1,011","1,335"
2021년01월_여_연령구간인구수,"18,636","4,955","1,026",974,"1,138","1,560","1,093","2,497","1,696","1,351","1,011","1,335"
2021년01월_여_0~9세,645,297,31,23,23,48,27,58,46,36,28,28
2021년01월_여_10~19세,987,449,61,25,40,66,55,97,62,58,30,44
2021년01월_여_20~29세,"1,240",549,60,43,52,113,60,94,76,82,52,59
2021년01월_여_30~39세,"1,090",474,45,31,41,85,58,110,84,68,42,52
2021년01월_여_40~49세,"1,663",694,66,79,79,124,79,170,120,111,61,80
2021년01월_여_50~59세,"3,385",783,188,199,210,310,201,488,311,239,195,261
2021년01월_여_60~69세,"4,169",792,250,243,295,323,262,654,434,298,272,346
2021년01월_여_70~79세,"2,912",548,164,170,207,260,167,454,277,252,168,245
2021년01월_여_80~89세,"2,174",329,135,138,160,208,153,309,242,182,131,187
2021년01월_여_90~99세,349,37,26,23,29,22,29,59,41,24,27,32
2021년01월_여_100세 이상,22,3,0,0,2,1,2,4,3,1,5,1
