,경상남도 사천시,경상남도 사천시 사천읍,경상남도 사천시 정동면,경상남도 사천시 사남면,경상남도 사천시 용현면,경상남도 사천시 축동면,경상남도 사천시 곤양면,경상남도 사천시 곤명면,경상남도 사천시 서포면,경상남도 사천시 동서동,경상남도 사천시 선구동,경상남도 사천시 동서금동,경상남도 사천시 벌용동,경상남도 사천시 향촌동,경상남도 사천시 남양동,경상남도 사천시 신수출장소
2021년12월_계_총인구수,"109,953","17,716","13,724","15,306","7,376","1,552","3,348","2,768","3,451","5,864","4,875","6,283","15,619","6,713","5,107",251
2021년12월_계_연령구간인구수,"109,953","17,716","13,724","15,306","7,376","1,552","3,348","2,768","3,451","5,864","4,875","6,283","15,619","6,713","5,107",251
2021년12월_계_0~9세,"7,638","1,280","1,416","1,808",570,32,77,64,66,159,203,408,984,296,273,2
2021년12월_계_10~19세,"10,123","1,794","1,570","2,057",640,43,143,77,129,271,280,492,"1,633",606,381,7
2021년12월_계_20~29세,"10,300","2,182","1,528","1,455",483,100,239,137,208,358,410,481,"1,630",703,376,10
2021년12월_계_30~39세,"11,135","2,215","1,950","2,120",734,84,164,121,150,375,389,605,"1,306",507,404,11
2021년12월_계_40~49세,"17,382","3,102","2,467","3,135","1,216",140,313,240,303,626,615,952,"2,495","1,093",657,28
2021년12월_계_50~59세,"18,340","3,081","2,114","1,966","1,151",262,572,509,633,995,911,"1,095","2,917","1,247",851,36
2021년12월_계_60~69세,"17,273","2,137","1,393","1,389","1,272",403,789,674,808,"1,454","1,023","1,137","2,505","1,179","1,044",66
2021년12월_계_70~79세,"10,768","1,152",746,833,782,251,594,509,620,"1,067",659,758,"1,400",673,662,62
2021년12월_계_80~89세,"6,078",671,443,469,447,213,397,387,459,496,345,320,675,349,381,26
2021년12월_계_90~99세,895,96,95,74,79,24,58,48,74,62,40,32,73,60,77,3
2021년12월_계_100세 이상,21,6,2,0,2,0,2,2,1,1,0,3,1,0,1,0
2021년12월_남_총인구수,"55,433","9,259","6,889","7,973","3,682",802,"1,717","1,388","1,686","2,871","2,406","3,056","7,582","3,485","2,510",127
2021년12월_남_연령구간인구수,"55,433","9,259","6,889","7,973","3,682",802,"1,717","1,388","1,686","2,871","2,406","3,056","7,582","3,485","2,510",127
2021년12월_남_0~9세,"3,958",668,719,967,259,17,49,35,34,84,100,203,522,151,149,1
2021년12월_남_10~19세,"5,215",895,818,"1,022",347,24,76,50,60,141,150,268,830,334,195,5
2021년12월_남_20~29세,"6,167","1,288",873,918,287,56,150,95,138,217,266,281,928,427,236,7
2021년12월_남_30~39세,"6,054","1,288","1,017","1,137",370,54,100,69,83,234,224,311,667,288,207,5
2021년12월_남_40~49세,"9,167","1,679","1,205","1,634",688,86,185,156,181,376,341,493,"1,172",583,365,23
2021년12월_남_50~59세,"9,775","1,644","1,109","1,112",605,161,329,301,369,545,456,556,"1,455",687,424,22
2021년12월_남_60~69세,"8,373","1,068",681,678,606,221,411,340,398,654,476,517,"1,191",594,505,33
2021년12월_남_70~79세,"4,661",502,321,349,354,115,274,219,279,450,279,315,595,285,300,24
2021년12월_남_80~89세,"1,913",212,130,144,151,62,130,113,132,161,108,106,214,126,118,6
2021년12월_남_90~99세,145,14,16,12,14,6,13,9,12,9,6,6,7,10,10,1
2021년12월_남_100세 이상,5,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0
2021년12월_여_총인구수,"54,520","8,457","6,835","7,333","3,694",750,"1,631","1,380","1,765","2,993","2,469","3,227","8,037","3,228","2,597",124
2021년12월_여_연령구간인구수,"54,520","8,457","6,835","7,333","3,694",750,"1,631","1,380","1,765","2,993","2,469","3,227","8,037","3,228","2,597",124
2021년12월_여_0~9세,"3,680",612,697,841,311,15,28,29,32,75,103,205,462,145,124,1
2021년12월_여_10~19세,"4,908",899,752,"1,035",293,19,67,27,69,130,130,224,803,272,186,2
2021년12월_여_20~29세,"4,133",894,655,537,196,44,89,42,70,141,144,200,702,276,140,3
2021년12월_여_30~39세,"5,081",927,933,983,364,30,64,52,67,141,165,294,639,219,197,6
2021년12월_여_40~49세,"8,215","1,423","1,262","1,501",528,54,128,84,122,250,274,459,"1,323",510,292,5
2021년12월_여_50~59세,"8,565","1,437","1,005",854,546,101,243,208,264,450,455,539,"1,462",560,427,14
2021년12월_여_60~69세,"8,900","1,069",712,711,666,182,378,334,410,800,547,620,"1,314",585,539,33
2021년12월_여_70~79세,"6,107",650,425,484,428,136,320,290,341,617,380,443,805,388,362,38
2021년12월_여_80~89세,"4,165",459,313,325,296,151,267,274,327,335,237,214,461,223,263,20
2021년12월_여_90~99세,750,82,79,62,65,18,45,39,62,53,34,26,66,50,67,2
2021년12월_여_100세 이상,16,5,2,0,1,0,2,1,1,1,0,3,0,0,0,0
