카테고리,전라북도 무주군,전라북도 무주군 무주읍,전라북도 무주군 무풍면,전라북도 무주군 설천면,전라북도 무주군 적상면,전라북도 무주군 안성면,전라북도 무주군 부남면
2021년05월_계_총인구수,"23,917","9,428","2,210","4,044","2,591","4,242","1,402"
2021년05월_계_연령구간인구수,"23,917","9,428","2,210","4,044","2,591","4,242","1,402"
2021년05월_계_0~9세,"1,137",699,52,167,62,124,33
2021년05월_계_10~19세,"1,802",993,106,288,112,251,52
2021년05월_계_20~29세,"1,742",864,113,324,147,235,59
2021년05월_계_30~39세,"1,669",883,128,244,111,236,67
2021년05월_계_40~49세,"2,798","1,428",184,492,226,367,101
2021년05월_계_50~59세,"4,156","1,490",436,780,451,759,240
2021년05월_계_60~69세,"4,539","1,315",525,802,572,958,367
2021년05월_계_70~79세,"3,336",994,360,540,473,698,271
2021년05월_계_80~89세,"2,378",650,271,360,384,535,178
2021년05월_계_90~99세,338,105,34,45,51,70,33
2021년05월_계_100세 이상,22,7,1,2,2,9,1
2021년05월_남_총인구수,"11,909","4,699","1,099","2,035","1,274","2,098",704
2021년05월_남_연령구간인구수,"11,909","4,699","1,099","2,035","1,274","2,098",704
2021년05월_남_0~9세,606,374,29,93,29,67,14
2021년05월_남_10~19세,920,494,63,163,52,121,27
2021년05월_남_20~29세,962,471,61,166,92,135,37
2021년05월_남_30~39세,912,454,72,142,68,139,37
2021년05월_남_40~49세,"1,554",749,111,277,127,224,66
2021년05월_남_50~59세,"2,311",833,228,438,256,418,138
2021년05월_남_60~69세,"2,331",647,270,409,307,499,199
2021년05월_남_70~79세,"1,403",423,167,213,191,292,117
2021년05월_남_80~89세,827,234,88,123,137,184,61
2021년05월_남_90~99세,79,20,9,11,15,16,8
2021년05월_남_100세 이상,4,0,1,0,0,3,0
2021년05월_여_총인구수,"12,008","4,729","1,111","2,009","1,317","2,144",698
2021년05월_여_연령구간인구수,"12,008","4,729","1,111","2,009","1,317","2,144",698
2021년05월_여_0~9세,531,325,23,74,33,57,19
2021년05월_여_10~19세,882,499,43,125,60,130,25
2021년05월_여_20~29세,780,393,52,158,55,100,22
2021년05월_여_30~39세,757,429,56,102,43,97,30
2021년05월_여_40~49세,"1,244",679,73,215,99,143,35
2021년05월_여_50~59세,"1,845",657,208,342,195,341,102
2021년05월_여_60~69세,"2,208",668,255,393,265,459,168
2021년05월_여_70~79세,"1,933",571,193,327,282,406,154
2021년05월_여_80~89세,"1,551",416,183,237,247,351,117
2021년05월_여_90~99세,259,85,25,34,36,54,25
2021년05월_여_100세 이상,18,7,0,2,2,6,1
