,경상북도 영천시,경상북도 영천시 금호읍,경상북도 영천시 청통면,경상북도 영천시 신녕면,경상북도 영천시 화산면,경상북도 영천시 화북면,경상북도 영천시 화남면,경상북도 영천시 자양면,경상북도 영천시 임고면,경상북도 영천시 고경면,경상북도 영천시 북안면,경상북도 영천시 대창면,경상북도 영천시 동부동,경상북도 영천시 중앙동,경상북도 영천시 서부동,경상북도 영천시 완산동,경상북도 영천시 남부동
2021년12월_계_총인구수,"101,888","10,664","4,045","3,753","3,209","2,179","3,239","1,203","4,190","5,596","4,419","3,131","28,259","9,688","4,669","9,530","4,114"
2021년12월_계_연령구간인구수,"101,888","10,664","4,045","3,753","3,209","2,179","3,239","1,203","4,190","5,596","4,419","3,131","28,259","9,688","4,669","9,530","4,114"
2021년12월_계_0~9세,"5,527",362,105,97,63,51,79,14,112,231,74,79,"2,266",747,139,873,235
2021년12월_계_10~19세,"6,547",440,129,186,89,88,128,33,139,220,123,81,"2,703",935,266,790,197
2021년12월_계_20~29세,"9,646",860,271,184,178,111,183,71,249,672,254,199,"3,331","1,208",472,"1,056",347
2021년12월_계_30~39세,"9,149",720,252,207,159,82,167,47,202,410,210,205,"3,317","1,080",349,"1,329",413
2021년12월_계_40~49세,"12,245","1,118",345,319,263,157,223,59,332,499,375,257,"4,451","1,415",507,"1,449",476
2021년12월_계_50~59세,"18,106","2,192",713,613,573,388,594,250,704,833,766,557,"5,075","1,660",867,"1,541",780
2021년12월_계_60~69세,"19,721","2,386","1,062",963,803,582,872,327,"1,010","1,191","1,146",876,"4,068","1,359",963,"1,317",796
2021년12월_계_70~79세,"12,741","1,590",720,693,609,392,595,213,866,923,857,523,"1,940",818,697,787,518
2021년12월_계_80~89세,"7,291",896,397,432,421,278,349,164,511,557,544,311,991,419,360,353,308
2021년12월_계_90~99세,894,98,49,58,50,48,47,25,63,58,69,42,114,47,48,34,44
2021년12월_계_100세 이상,21,2,2,1,1,2,2,0,2,2,1,1,3,0,1,1,0
2021년12월_남_총인구수,"51,737","5,588","2,110","1,843","1,686","1,081","1,705",595,"2,132","3,009","2,298","1,652","13,929","4,855","2,328","4,702","2,224"
2021년12월_남_연령구간인구수,"51,737","5,588","2,110","1,843","1,686","1,081","1,705",595,"2,132","3,009","2,298","1,652","13,929","4,855","2,328","4,702","2,224"
2021년12월_남_0~9세,"2,811",193,60,54,36,28,36,7,65,117,35,38,"1,142",398,68,417,117
2021년12월_남_10~19세,"3,490",256,69,96,52,47,96,17,79,113,66,39,"1,431",478,128,414,109
2021년12월_남_20~29세,"5,668",491,160,109,130,62,120,41,150,515,148,111,"1,886",685,253,578,229
2021년12월_남_30~39세,"4,955",412,150,120,95,47,96,26,109,240,127,124,"1,736",549,203,675,246
2021년12월_남_40~49세,"6,730",658,227,184,163,95,145,34,207,306,232,171,"2,212",746,302,750,298
2021년12월_남_50~59세,"9,695","1,252",392,359,338,212,343,129,396,456,447,333,"2,526",812,480,767,453
2021년12월_남_60~69세,"9,974","1,249",562,462,444,312,453,186,515,625,614,474,"1,885",678,463,624,428
2021년12월_남_70~79세,"5,805",743,350,303,280,181,291,95,398,438,434,243,815,355,304,338,237
2021년12월_남_80~89세,"2,396",308,130,147,131,91,111,51,193,185,180,108,275,145,115,128,98
2021년12월_남_90~99세,208,25,10,8,17,5,14,9,20,14,15,10,21,9,12,10,9
2021년12월_남_100세 이상,5,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
2021년12월_여_총인구수,"50,151","5,076","1,935","1,910","1,523","1,098","1,534",608,"2,058","2,587","2,121","1,479","14,330","4,833","2,341","4,828","1,890"
2021년12월_여_연령구간인구수,"50,151","5,076","1,935","1,910","1,523","1,098","1,534",608,"2,058","2,587","2,121","1,479","14,330","4,833","2,341","4,828","1,890"
2021년12월_여_0~9세,"2,716",169,45,43,27,23,43,7,47,114,39,41,"1,124",349,71,456,118
2021년12월_여_10~19세,"3,057",184,60,90,37,41,32,16,60,107,57,42,"1,272",457,138,376,88
2021년12월_여_20~29세,"3,978",369,111,75,48,49,63,30,99,157,106,88,"1,445",523,219,478,118
2021년12월_여_30~39세,"4,194",308,102,87,64,35,71,21,93,170,83,81,"1,581",531,146,654,167
2021년12월_여_40~49세,"5,515",460,118,135,100,62,78,25,125,193,143,86,"2,239",669,205,699,178
2021년12월_여_50~59세,"8,411",940,321,254,235,176,251,121,308,377,319,224,"2,549",848,387,774,327
2021년12월_여_60~69세,"9,747","1,137",500,501,359,270,419,141,495,566,532,402,"2,183",681,500,693,368
2021년12월_여_70~79세,"6,936",847,370,390,329,211,304,118,468,485,423,280,"1,125",463,393,449,281
2021년12월_여_80~89세,"4,895",588,267,285,290,187,238,113,318,372,364,203,716,274,245,225,210
2021년12월_여_90~99세,686,73,39,50,33,43,33,16,43,44,54,32,93,38,36,24,35
2021년12월_여_100세 이상,16,1,2,0,1,1,2,0,2,2,1,0,3,0,1,0,0
