,강원도 정선군,강원도 정선군 정선읍,강원도 정선군 고한읍,강원도 정선군 사북읍,강원도 정선군 신동읍,강원도 정선군 신동읍함백출장소,강원도 정선군 남면,강원도 정선군 북평면,강원도 정선군 임계면,강원도 정선군 화암면,강원도 정선군 여량면
2020년10월_계_총인구수,"36,950","10,757","4,723","4,831","1,853","1,670","3,297","2,579","3,537","1,677","2,026"
2020년10월_계_연령구간인구수,"36,950","10,757","4,723","4,831","1,853","1,670","3,297","2,579","3,537","1,677","2,026"
2020년10월_계_0~9세,"1,745",635,251,303,71,39,149,106,108,36,47
2020년10월_계_10~19세,"2,566","1,018",240,380,125,106,179,173,151,95,99
2020년10월_계_20~29세,"2,844","1,022",343,401,120,120,225,174,209,113,117
2020년10월_계_30~39세,"3,126",935,710,496,95,99,297,146,175,69,104
2020년10월_계_40~49세,"4,992","1,686",727,743,212,179,452,301,319,175,198
2020년10월_계_50~59세,"7,046","1,940",779,928,382,324,652,515,750,378,398
2020년10월_계_60~69세,"7,476","1,768",867,915,408,368,779,550,868,420,533
2020년10월_계_70~79세,"4,541","1,098",556,476,281,271,373,351,554,246,335
2020년10월_계_80~89세,"2,209",530,209,168,145,129,166,220,347,123,172
2020년10월_계_90~99세,355,110,32,15,14,24,23,41,53,21,22
2020년10월_계_100세 이상,50,15,9,6,0,11,2,2,3,1,1
2020년10월_남_총인구수,"19,203","5,479","2,496","2,550",956,826,"1,757","1,290","1,878",903,"1,068"
2020년10월_남_연령구간인구수,"19,203","5,479","2,496","2,550",956,826,"1,757","1,290","1,878",903,"1,068"
2020년10월_남_0~9세,904,333,123,158,35,15,77,54,55,22,32
2020년10월_남_10~19세,"1,323",535,112,198,62,56,88,84,84,52,52
2020년10월_남_20~29세,"1,615",580,187,232,69,70,132,104,109,69,63
2020년10월_남_30~39세,"1,757",492,416,264,55,59,179,79,109,41,63
2020년10월_남_40~49세,"2,902",883,450,420,135,109,279,172,208,110,136
2020년10월_남_50~59세,"3,865","1,045",441,518,206,181,340,280,423,226,205
2020년10월_남_60~69세,"3,930",926,414,468,227,179,431,277,485,230,293
2020년10월_남_70~79세,"2,037",482,253,219,110,107,174,158,263,112,159
2020년10월_남_80~89세,772,181,85,67,53,37,51,71,128,39,60
2020년10월_남_90~99세,78,18,12,2,4,6,5,10,14,2,5
2020년10월_남_100세 이상,20,4,3,4,0,7,1,1,0,0,0
2020년10월_여_총인구수,"17,747","5,278","2,227","2,281",897,844,"1,540","1,289","1,659",774,958
2020년10월_여_연령구간인구수,"17,747","5,278","2,227","2,281",897,844,"1,540","1,289","1,659",774,958
2020년10월_여_0~9세,841,302,128,145,36,24,72,52,53,14,15
2020년10월_여_10~19세,"1,243",483,128,182,63,50,91,89,67,43,47
2020년10월_여_20~29세,"1,229",442,156,169,51,50,93,70,100,44,54
2020년10월_여_30~39세,"1,369",443,294,232,40,40,118,67,66,28,41
2020년10월_여_40~49세,"2,090",803,277,323,77,70,173,129,111,65,62
2020년10월_여_50~59세,"3,181",895,338,410,176,143,312,235,327,152,193
2020년10월_여_60~69세,"3,546",842,453,447,181,189,348,273,383,190,240
2020년10월_여_70~79세,"2,504",616,303,257,171,164,199,193,291,134,176
2020년10월_여_80~89세,"1,437",349,124,101,92,92,115,149,219,84,112
2020년10월_여_90~99세,277,92,20,13,10,18,18,31,39,19,17
2020년10월_여_100세 이상,30,11,6,2,0,4,1,1,3,1,1
