카테고리,경상남도 밀양시,경상남도 밀양시 삼랑진읍,경상남도 밀양시 삼랑진임천출장소,경상남도 밀양시 하남읍,경상남도 밀양시 부북면,경상남도 밀양시 상동면,경상남도 밀양시 산외면,경상남도 밀양시 산내면,경상남도 밀양시 단장면,경상남도 밀양시 상남면,경상남도 밀양시 초동면,경상남도 밀양시 무안면,경상남도 밀양시 청도면,경상남도 밀양시 내일동,경상남도 밀양시 내이동,경상남도 밀양시 삼문동,경상남도 밀양시 가곡동,경상남도 밀양시 교동
2020년08월_계_총인구수,"105,026","5,425","1,291","7,205","5,293","3,100","2,848","3,950","4,355","8,502","3,431","5,100","1,764","2,811","15,384","20,477","8,073","6,017"
2020년08월_계_연령구간인구수,"105,026","5,425","1,291","7,205","5,293","3,100","2,848","3,950","4,355","8,502","3,431","5,100","1,764","2,811","15,384","20,477","8,073","6,017"
2020년08월_계_0~9세,"5,754",150,20,295,140,67,67,93,80,467,78,123,36,67,"1,307","2,004",387,373
2020년08월_계_10~19세,"7,951",255,50,438,249,96,128,216,152,539,136,276,59,154,"1,346","2,601",672,584
2020년08월_계_20~29세,"9,172",337,111,502,385,166,189,220,256,672,175,311,73,255,"1,877","2,183",799,661
2020년08월_계_30~39세,"9,027",331,68,510,347,155,167,190,251,686,161,256,70,206,"2,030","2,239",716,644
2020년08월_계_40~49세,"13,098",530,107,789,486,217,264,369,329,"1,020",313,405,127,311,"2,322","3,511","1,090",908
2020년08월_계_50~59세,"18,974","1,015",231,"1,330","1,051",560,574,755,907,"1,507",598,911,281,558,"2,725","3,358","1,467","1,146"
2020년08월_계_60~69세,"20,688","1,366",327,"1,586","1,297",906,695,"1,032","1,248","1,748",931,"1,274",505,602,"2,201","2,534","1,462",974
2020년08월_계_70~79세,"12,559",913,214,"1,063",787,548,477,680,693,"1,141",628,860,344,435,"1,020","1,336",920,500
2020년08월_계_80~89세,"6,865",459,144,617,482,335,250,345,386,641,365,592,239,197,474,630,501,208
2020년08월_계_90~99세,893,67,19,68,68,50,34,49,50,75,42,89,30,20,80,78,58,16
2020년08월_계_100세 이상,45,2,0,7,1,0,3,1,3,6,4,3,0,6,2,3,1,3
2020년08월_남_총인구수,"51,453","2,663",639,"3,591","2,710","1,487","1,452","2,017","2,152","4,213","1,700","2,491",859,"1,370","7,591","9,863","3,753","2,902"
2020년08월_남_연령구간인구수,"51,453","2,663",639,"3,591","2,710","1,487","1,452","2,017","2,152","4,213","1,700","2,491",859,"1,370","7,591","9,863","3,753","2,902"
2020년08월_남_0~9세,"2,931",76,10,158,75,32,36,47,44,229,39,69,17,31,645,"1,044",204,175
2020년08월_남_10~19세,"4,182",129,25,234,135,52,72,113,83,288,71,153,30,84,706,"1,378",330,299
2020년08월_남_20~29세,"5,283",193,60,295,253,108,121,144,157,402,104,178,51,166,"1,056","1,229",411,355
2020년08월_남_30~39세,"4,783",196,42,290,211,90,96,115,142,370,103,149,39,106,"1,068","1,050",378,338
2020년08월_남_40~49세,"6,930",310,70,476,280,133,155,236,196,579,198,228,82,170,"1,177","1,669",527,444
2020년08월_남_50~59세,"9,595",521,130,706,580,274,306,397,462,759,313,509,128,285,"1,328","1,611",735,551
2020년08월_남_60~69세,"10,047",682,157,761,670,442,355,530,623,892,454,631,273,271,"1,044","1,131",669,462
2020년08월_남_70~79세,"5,437",397,98,468,332,255,231,327,329,487,293,378,156,188,403,542,338,215
2020년08월_남_80~89세,"2,092",146,43,190,163,93,76,102,109,189,117,181,78,63,144,190,147,61
2020년08월_남_90~99세,166,13,4,12,11,8,3,6,6,18,7,15,5,4,20,18,14,2
2020년08월_남_100세 이상,7,0,0,1,0,0,1,0,1,0,1,0,0,2,0,1,0,0
2020년08월_여_총인구수,"53,573","2,762",652,"3,614","2,583","1,613","1,396","1,933","2,203","4,289","1,731","2,609",905,"1,441","7,793","10,614","4,320","3,115"
2020년08월_여_연령구간인구수,"53,573","2,762",652,"3,614","2,583","1,613","1,396","1,933","2,203","4,289","1,731","2,609",905,"1,441","7,793","10,614","4,320","3,115"
2020년08월_여_0~9세,"2,823",74,10,137,65,35,31,46,36,238,39,54,19,36,662,960,183,198
2020년08월_여_10~19세,"3,769",126,25,204,114,44,56,103,69,251,65,123,29,70,640,"1,223",342,285
2020년08월_여_20~29세,"3,889",144,51,207,132,58,68,76,99,270,71,133,22,89,821,954,388,306
2020년08월_여_30~39세,"4,244",135,26,220,136,65,71,75,109,316,58,107,31,100,962,"1,189",338,306
2020년08월_여_40~49세,"6,168",220,37,313,206,84,109,133,133,441,115,177,45,141,"1,145","1,842",563,464
2020년08월_여_50~59세,"9,379",494,101,624,471,286,268,358,445,748,285,402,153,273,"1,397","1,747",732,595
2020년08월_여_60~69세,"10,641",684,170,825,627,464,340,502,625,856,477,643,232,331,"1,157","1,403",793,512
2020년08월_여_70~79세,"7,122",516,116,595,455,293,246,353,364,654,335,482,188,247,617,794,582,285
2020년08월_여_80~89세,"4,773",313,101,427,319,242,174,243,277,452,248,411,161,134,330,440,354,147
2020년08월_여_90~99세,727,54,15,56,57,42,31,43,44,57,35,74,25,16,60,60,44,14
2020년08월_여_100세 이상,38,2,0,6,1,0,2,1,2,6,3,3,0,4,2,2,1,3
