카테고리,서울특별시 광진구,서울특별시 광진구 화양동,서울특별시 광진구 군자동,서울특별시 광진구 중곡제1동,서울특별시 광진구 중곡제2동,서울특별시 광진구 중곡제3동,서울특별시 광진구 중곡제4동,서울특별시 광진구 능동,서울특별시 광진구 광장동,서울특별시 광진구 자양제1동,서울특별시 광진구 자양제2동,서울특별시 광진구 자양제3동,서울특별시 광진구 자양제4동,서울특별시 광진구 구의제1동,서울특별시 광진구 구의제2동,서울특별시 광진구 구의제3동
2021년05월_계_총인구수,"342,812","22,894","19,824","15,565","21,656","16,348","28,928","11,424","35,071","22,585","25,210","28,462","17,472","21,831","26,585","28,957"
2021년05월_계_연령구간인구수,"342,812","22,894","19,824","15,565","21,656","16,348","28,928","11,424","35,071","22,585","25,210","28,462","17,472","21,831","26,585","28,957"
2021년05월_계_0~9세,"18,642",374,849,716,"1,137",734,"1,383",535,"3,141",955,"1,581","2,253",678,804,"1,689","1,813"
2021년05월_계_10~19세,"25,362",743,997,730,"1,359",912,"1,898",523,"5,467","1,472","1,840","2,613",849,"1,135","2,333","2,491"
2021년05월_계_20~29세,"62,427","9,909","4,511","2,837","3,840","2,657","4,389","2,372","4,098","4,377","3,753","3,873","2,749","4,770","3,680","4,612"
2021년05월_계_30~39세,"55,243","4,437","3,658","2,952","3,889","2,663","4,310","2,595","3,711","3,720","3,824","4,260","2,550","4,300","3,766","4,608"
2021년05월_계_40~49세,"51,456","2,167","2,587","2,124","2,958","2,260","4,063","1,626","7,558","3,368","3,951","4,550","2,361","3,151","4,249","4,483"
2021년05월_계_50~59세,"53,969","2,063","2,863","2,475","3,520","2,879","5,251","1,419","5,579","3,581","4,200","4,666","3,016","3,133","4,524","4,800"
2021년05월_계_60~69세,"43,274","1,732","2,406","2,134","2,912","2,403","4,479","1,263","3,081","2,884","3,716","3,609","3,007","2,488","3,575","3,585"
2021년05월_계_70~79세,"22,067",999,"1,345","1,142","1,456","1,280","2,261",746,"1,453","1,535","1,653","1,627","1,573","1,389","1,904","1,704"
2021년05월_계_80~89세,"9,103",413,545,401,512,492,785,302,834,619,602,884,618,580,771,745
2021년05월_계_90~99세,"1,197",52,60,53,71,62,97,41,144,73,86,122,69,66,90,111
2021년05월_계_100세 이상,72,5,3,1,2,6,12,2,5,1,4,5,2,15,4,5
2021년05월_남_총인구수,"165,461","10,905","9,775","7,568","10,212","8,096","14,171","5,229","16,962","10,915","12,243","13,666","8,705","10,420","12,831","13,763"
2021년05월_남_연령구간인구수,"165,461","10,905","9,775","7,568","10,212","8,096","14,171","5,229","16,962","10,915","12,243","13,666","8,705","10,420","12,831","13,763"
2021년05월_남_0~9세,"9,506",180,443,368,576,402,723,271,"1,640",466,804,"1,123",336,415,856,903
2021년05월_남_10~19세,"12,859",337,518,372,689,470,"1,011",264,"2,775",773,984,"1,268",413,561,"1,182","1,242"
2021년05월_남_20~29세,"29,229","4,273","2,129","1,270","1,673","1,299","2,204","1,014","2,046","2,082","1,831","1,930","1,347","2,172","1,827","2,132"
2021년05월_남_30~39세,"27,373","2,339","1,867","1,506","1,893","1,391","2,172","1,152","1,612","1,867","1,886","2,011","1,384","2,156","1,881","2,256"
2021년05월_남_40~49세,"25,359","1,201","1,356","1,110","1,454","1,154","2,063",824,"3,470","1,695","1,931","2,165","1,219","1,577","2,069","2,071"
2021년05월_남_50~59세,"26,433","1,119","1,440","1,231","1,658","1,421","2,499",654,"2,837","1,743","1,998","2,234","1,593","1,526","2,174","2,306"
2021년05월_남_60~69세,"20,620",810,"1,165","1,002","1,356","1,172","2,108",576,"1,533","1,364","1,787","1,794","1,447","1,152","1,635","1,719"
2021년05월_남_70~79세,"10,118",457,630,523,685,587,"1,052",332,663,646,774,742,713,616,890,808
2021년05월_남_80~89세,"3,612",172,217,175,214,183,312,125,341,259,224,353,235,223,293,286
2021년05월_남_90~99세,333,16,10,10,12,16,23,17,43,20,23,45,17,20,23,38
2021년05월_남_100세 이상,19,1,0,1,2,1,4,0,2,0,1,1,1,2,1,2
2021년05월_여_총인구수,"177,351","11,989","10,049","7,997","11,444","8,252","14,757","6,195","18,109","11,670","12,967","14,796","8,767","11,411","13,754","15,194"
2021년05월_여_연령구간인구수,"177,351","11,989","10,049","7,997","11,444","8,252","14,757","6,195","18,109","11,670","12,967","14,796","8,767","11,411","13,754","15,194"
2021년05월_여_0~9세,"9,136",194,406,348,561,332,660,264,"1,501",489,777,"1,130",342,389,833,910
2021년05월_여_10~19세,"12,503",406,479,358,670,442,887,259,"2,692",699,856,"1,345",436,574,"1,151","1,249"
2021년05월_여_20~29세,"33,198","5,636","2,382","1,567","2,167","1,358","2,185","1,358","2,052","2,295","1,922","1,943","1,402","2,598","1,853","2,480"
2021년05월_여_30~39세,"27,870","2,098","1,791","1,446","1,996","1,272","2,138","1,443","2,099","1,853","1,938","2,249","1,166","2,144","1,885","2,352"
2021년05월_여_40~49세,"26,097",966,"1,231","1,014","1,504","1,106","2,000",802,"4,088","1,673","2,020","2,385","1,142","1,574","2,180","2,412"
2021년05월_여_50~59세,"27,536",944,"1,423","1,244","1,862","1,458","2,752",765,"2,742","1,838","2,202","2,432","1,423","1,607","2,350","2,494"
2021년05월_여_60~69세,"22,654",922,"1,241","1,132","1,556","1,231","2,371",687,"1,548","1,520","1,929","1,815","1,560","1,336","1,940","1,866"
2021년05월_여_70~79세,"11,949",542,715,619,771,693,"1,209",414,790,889,879,885,860,773,"1,014",896
2021년05월_여_80~89세,"5,491",241,328,226,298,309,473,177,493,360,378,531,383,357,478,459
2021년05월_여_90~99세,864,36,50,43,59,46,74,24,101,53,63,77,52,46,67,73
2021년05월_여_100세 이상,53,4,3,0,0,5,8,2,3,1,3,4,1,13,3,3
