카테고리,충청남도 부여군,충청남도 부여군 부여읍,충청남도 부여군 규암면,충청남도 부여군 은산면,충청남도 부여군 외산면,충청남도 부여군 내산면,충청남도 부여군 구룡면,충청남도 부여군 홍산면,충청남도 부여군 옥산면,충청남도 부여군 남면,충청남도 부여군 충화면,충청남도 부여군 양화면,충청남도 부여군 임천면,충청남도 부여군 장암면,충청남도 부여군 세도면,충청남도 부여군 석성면,충청남도 부여군 초촌면
2020년11월_계_총인구수,"65,431","20,386","12,010","3,780","2,374","1,553","2,392","2,892","1,436","1,863","1,140","1,701","2,905","2,754","3,168","2,936","2,141"
2020년11월_계_연령구간인구수,"65,431","20,386","12,010","3,780","2,374","1,553","2,392","2,892","1,436","1,863","1,140","1,701","2,905","2,754","3,168","2,936","2,141"
2020년11월_계_0~9세,"2,941","1,076",950,96,50,51,62,88,24,47,19,30,104,76,99,107,62
2020년11월_계_10~19세,"4,690","1,924","1,164",211,117,56,139,166,60,76,29,49,139,119,133,223,85
2020년11월_계_20~29세,"5,425","2,190","1,348",219,117,57,141,194,71,105,54,72,160,163,183,229,122
2020년11월_계_30~39세,"4,434","1,626","1,217",194,99,85,119,131,48,75,52,70,127,138,177,150,126
2020년11월_계_40~49세,"7,214","2,673","1,726",353,203,105,221,252,108,140,61,108,269,228,265,324,178
2020년11월_계_50~59세,"10,916","3,701","1,933",640,391,262,385,456,204,258,179,222,400,418,563,551,353
2020년11월_계_60~69세,"12,985","3,551","1,721",945,587,373,474,638,365,425,299,434,650,609,743,627,544
2020년11월_계_70~79세,"9,475","2,260","1,098",603,481,312,462,568,292,388,233,364,601,514,567,385,347
2020년11월_계_80~89세,"6,307","1,173",739,449,279,219,332,342,220,303,191,293,380,425,384,301,277
2020년11월_계_90~99세,989,196,108,60,46,33,54,51,43,44,23,58,72,64,53,38,46
2020년11월_계_100세 이상,55,16,6,10,4,0,3,6,1,2,0,1,3,0,1,1,1
2020년11월_남_총인구수,"32,417","10,123","5,925","1,900","1,170",776,"1,172","1,399",679,900,572,804,"1,430","1,365","1,607","1,516","1,079"
2020년11월_남_연령구간인구수,"32,417","10,123","5,925","1,900","1,170",776,"1,172","1,399",679,900,572,804,"1,430","1,365","1,607","1,516","1,079"
2020년11월_남_0~9세,"1,558",570,500,51,26,28,37,48,13,28,10,16,47,42,47,57,38
2020년11월_남_10~19세,"2,488","1,018",600,99,78,34,68,90,27,41,20,28,75,71,77,119,43
2020년11월_남_20~29세,"3,137","1,303",707,143,77,38,84,107,45,64,34,41,95,85,106,134,74
2020년11월_남_30~39세,"2,411",847,596,122,59,53,71,78,32,46,34,43,74,80,104,93,79
2020년11월_남_40~49세,"3,932","1,350",902,202,122,61,138,132,58,86,40,56,161,155,168,185,116
2020년11월_남_50~59세,"5,707","1,884","1,023",339,204,128,189,244,105,137,98,118,226,213,293,317,189
2020년11월_남_60~69세,"6,465","1,683",847,484,275,206,244,305,183,216,143,215,331,331,386,326,290
2020년11월_남_70~79세,"4,242","1,023",464,283,217,146,210,247,130,162,116,167,265,227,261,179,145
2020년11월_남_80~89세,"2,224",398,259,156,105,72,119,134,74,108,74,108,139,142,148,95,93
2020년11월_남_90~99세,246,45,26,19,7,10,12,13,12,11,3,12,17,19,17,11,12
2020년11월_남_100세 이상,7,2,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0
2020년11월_여_총인구수,"33,014","10,263","6,085","1,880","1,204",777,"1,220","1,493",757,963,568,897,"1,475","1,389","1,561","1,420","1,062"
2020년11월_여_연령구간인구수,"33,014","10,263","6,085","1,880","1,204",777,"1,220","1,493",757,963,568,897,"1,475","1,389","1,561","1,420","1,062"
2020년11월_여_0~9세,"1,383",506,450,45,24,23,25,40,11,19,9,14,57,34,52,50,24
2020년11월_여_10~19세,"2,202",906,564,112,39,22,71,76,33,35,9,21,64,48,56,104,42
2020년11월_여_20~29세,"2,288",887,641,76,40,19,57,87,26,41,20,31,65,78,77,95,48
2020년11월_여_30~39세,"2,023",779,621,72,40,32,48,53,16,29,18,27,53,58,73,57,47
2020년11월_여_40~49세,"3,282","1,323",824,151,81,44,83,120,50,54,21,52,108,73,97,139,62
2020년11월_여_50~59세,"5,209","1,817",910,301,187,134,196,212,99,121,81,104,174,205,270,234,164
2020년11월_여_60~69세,"6,520","1,868",874,461,312,167,230,333,182,209,156,219,319,278,357,301,254
2020년11월_여_70~79세,"5,233","1,237",634,320,264,166,252,321,162,226,117,197,336,287,306,206,202
2020년11월_여_80~89세,"4,083",775,480,293,174,147,213,208,146,195,117,185,241,283,236,206,184
2020년11월_여_90~99세,743,151,82,41,39,23,42,38,31,33,20,46,55,45,36,27,34
2020년11월_여_100세 이상,48,14,5,8,4,0,3,5,1,1,0,1,3,0,1,1,1
