카테고리,경상남도,경상남도 창원시,경상남도 창원시 의창구,경상남도 창원시 성산구,경상남도 창원시 마산합포구,경상남도 창원시 마산회원구,경상남도 창원시 진해구,경상남도 진주시,경상남도 통영시,경상남도 사천시,경상남도 김해시,경상남도 밀양시,경상남도 거제시,경상남도 양산시,경상남도 의령군,경상남도 함안군,경상남도 창녕군,경상남도 고성군,경상남도 남해군,경상남도 하동군,경상남도 산청군,경상남도 함양군,경상남도 거창군,경상남도 합천군
2021년09월_계_총인구수,"3,319,271","1,033,979","218,376","252,776","180,954","187,618","194,255","347,621","125,881","110,099","538,781","103,691","242,103","353,662","26,381","62,879","60,100","50,732","42,404","43,650","34,442","38,567","61,245","43,054"
2021년09월_계_연령구간인구수,"3,319,271","1,033,979","218,376","252,776","180,954","187,618","194,255","347,621","125,881","110,099","538,781","103,691","242,103","353,662","26,381","62,879","60,100","50,732","42,404","43,650","34,442","38,567","61,245","43,054"
2021년09월_계_0~9세,"254,979","80,134","17,338","18,645","13,267","12,393","18,491","27,179","8,809","7,772","46,605","5,347","24,712","33,283","1,017","3,689","2,949","2,350","1,506","1,657","1,218","1,722","3,575","1,455"
2021년09월_계_10~19세,"320,218","98,217","19,309","25,841","14,188","17,727","21,152","34,766","12,654","10,118","60,361","7,549","27,902","34,594","1,465","5,841","4,044","4,129","2,837","2,720","2,032","2,839","5,843","2,307"
2021년09월_계_20~29세,"366,966","126,936","28,373","37,459","19,062","21,328","20,714","44,962","10,640","10,406","67,442","8,695","23,118","39,622","1,857","5,147","4,490","3,737","3,067","3,076","2,266","2,939","5,740","2,826"
2021년09월_계_30~39세,"384,588","130,939","28,513","34,571","21,398","20,529","25,928","40,942","12,663","11,303","67,038","8,549","33,825","47,630","1,642","5,151","4,772","3,541","2,351","2,566","1,993","2,495","4,826","2,362"
2021년09월_계_40~49세,"528,767","166,638","33,996","40,820","26,658","29,451","35,713","53,441","20,907","17,390","96,468","12,668","47,308","61,322","2,716","8,945","6,833","6,059","4,405","4,624","3,324","4,175","7,498","4,046"
2021년09월_계_50~59세,"577,705","184,466","41,065","51,184","29,494","33,685","29,038","57,061","21,931","18,240","98,164","18,273","39,623","59,000","4,473","11,014","10,615","8,940","7,114","8,087","6,330","6,765","10,357","7,252"
2021년09월_계_60~69세,"489,069","150,045","31,681","31,107","31,493","30,962","24,802","48,491","21,307","17,230","62,309","21,766","28,395","45,896","5,762","11,621","12,606","10,156","8,577","9,283","7,715","7,690","10,695","9,525"
2021년09월_계_70~79세,"248,498","65,204","12,117","8,887","16,909","15,154","12,137","25,799","11,298","10,744","26,877","12,800","11,234","21,766","3,839","6,624","7,957","6,777","6,666","6,336","5,174","5,407","6,934","7,062"
2021년09월_계_80~89세,"129,637","27,639","5,223","3,691","7,399","5,760","5,566","13,035","4,991","5,999","11,989","7,090","5,129","9,329","3,118","4,233","5,139","4,362","4,950","4,491","3,785","3,915","4,964","5,479"
2021년09월_계_90~99세,"18,324","3,673",739,561,"1,064",608,701,"1,869",663,869,"1,475",926,828,"1,187",486,603,679,665,916,794,588,604,787,712
2021년09월_계_100세 이상,520,88,22,10,22,21,13,76,18,28,53,28,29,33,6,11,16,16,15,16,17,16,26,28
