카테고리,전라남도 함평군,전라남도 함평군 함평읍,전라남도 함평군 손불면,전라남도 함평군 신광면,전라남도 함평군 학교면,전라남도 함평군 엄다면,전라남도 함평군 대동면,전라남도 함평군 나산면,전라남도 함평군 해보면,전라남도 함평군 월야면
2020년08월_계_총인구수,"32,238","8,493","3,412","1,883","3,904","1,949","3,140","2,889","2,857","3,711"
2020년08월_계_연령구간인구수,"32,238","8,493","3,412","1,883","3,904","1,949","3,140","2,889","2,857","3,711"
2020년08월_계_0~9세,"1,439",553,141,70,147,47,110,109,99,163
2020년08월_계_10~19세,"2,069",771,189,66,221,93,228,140,131,230
2020년08월_계_20~29세,"2,534",806,200,134,269,144,253,199,259,270
2020년08월_계_30~39세,"2,182",735,181,120,234,105,196,185,185,241
2020년08월_계_40~49세,"3,525","1,156",352,183,389,172,294,261,320,398
2020년08월_계_50~59세,"5,576","1,377",586,303,668,369,587,514,521,651
2020년08월_계_60~69세,"5,840","1,260",639,410,766,371,547,628,556,663
2020년08월_계_70~79세,"5,191","1,061",665,329,671,346,533,469,453,664
2020년08월_계_80~89세,"3,374",673,412,230,465,264,339,334,283,374
2020년08월_계_90~99세,481,96,46,37,70,37,52,48,43,52
2020년08월_계_100세 이상,27,5,1,1,4,1,1,2,7,5
2020년08월_남_총인구수,"16,130","4,176","1,695",938,"1,944",940,"1,613","1,426","1,444","1,954"
2020년08월_남_연령구간인구수,"16,130","4,176","1,695",938,"1,944",940,"1,613","1,426","1,444","1,954"
2020년08월_남_0~9세,754,282,60,39,82,19,66,60,49,97
2020년08월_남_10~19세,"1,094",417,95,35,114,51,122,66,69,125
2020년08월_남_20~29세,"1,490",434,124,71,168,94,162,116,150,171
2020년08월_남_30~39세,"1,173",367,101,72,127,58,112,104,95,137
2020년08월_남_40~49세,"2,084",630,229,115,239,98,162,153,183,275
2020년08월_남_50~59세,"3,241",757,344,171,371,212,367,306,309,404
2020년08월_남_60~69세,"3,013",619,336,204,413,196,271,337,291,346
2020년08월_남_70~79세,"2,170",436,263,153,282,131,240,191,195,279
2020년08월_남_80~89세,999,209,132,70,133,71,102,90,88,104
2020년08월_남_90~99세,109,23,11,8,15,10,9,3,15,15
2020년08월_남_100세 이상,3,2,0,0,0,0,0,0,0,1
2020년08월_여_총인구수,"16,108","4,317","1,717",945,"1,960","1,009","1,527","1,463","1,413","1,757"
2020년08월_여_연령구간인구수,"16,108","4,317","1,717",945,"1,960","1,009","1,527","1,463","1,413","1,757"
2020년08월_여_0~9세,685,271,81,31,65,28,44,49,50,66
2020년08월_여_10~19세,975,354,94,31,107,42,106,74,62,105
2020년08월_여_20~29세,"1,044",372,76,63,101,50,91,83,109,99
2020년08월_여_30~39세,"1,009",368,80,48,107,47,84,81,90,104
2020년08월_여_40~49세,"1,441",526,123,68,150,74,132,108,137,123
2020년08월_여_50~59세,"2,335",620,242,132,297,157,220,208,212,247
2020년08월_여_60~69세,"2,827",641,303,206,353,175,276,291,265,317
2020년08월_여_70~79세,"3,021",625,402,176,389,215,293,278,258,385
2020년08월_여_80~89세,"2,375",464,280,160,332,193,237,244,195,270
2020년08월_여_90~99세,372,73,35,29,55,27,43,45,28,37
2020년08월_여_100세 이상,24,3,1,1,4,1,1,2,7,4
