,서울특별시 성북구,서울특별시 성북구 성북동,서울특별시 성북구 삼선동,서울특별시 성북구 동선동,서울특별시 성북구 돈암제1동,서울특별시 성북구 돈암제2동,서울특별시 성북구 안암동,서울특별시 성북구 보문동,서울특별시 성북구 정릉제1동,서울특별시 성북구 정릉제2동,서울특별시 성북구 정릉제3동,서울특별시 성북구 정릉제4동,서울특별시 성북구 길음제1동,서울특별시 성북구 길음제2동,서울특별시 성북구 종암동,서울특별시 성북구 월곡제1동,서울특별시 성북구 월곡제2동,서울특별시 성북구 장위제1동,서울특별시 성북구 장위제2동,서울특별시 성북구 장위제3동,서울특별시 성북구 석관동
2020년11월_계_총인구수,"438,051","16,938","23,647","15,600","15,330","24,602","15,187","15,831","18,730","23,507","15,562","25,682","36,416","17,095","39,866","26,948","19,945","20,235","13,831","17,486","35,613"
2020년11월_계_연령구간인구수,"438,051","16,938","23,647","15,600","15,330","24,602","15,187","15,831","18,730","23,507","15,562","25,682","36,416","17,095","39,866","26,948","19,945","20,235","13,831","17,486","35,613"
2020년11월_계_0~9세,"29,035",787,"1,173",576,849,"2,050",445,993,"1,427","1,525",629,"1,717","4,050","1,478","2,747","2,108","1,126",924,612,"1,794","2,025"
2020년11월_계_10~19세,"37,306","1,211","1,931",952,"1,351","2,862",854,969,"1,829","1,902",993,"2,184","4,857","1,424","3,697","2,629","1,497","1,581",900,"1,423","2,260"
2020년11월_계_20~29세,"66,978","2,807","4,260","4,474","2,080","3,016","5,080","2,730","2,309","3,243","3,153","3,251","3,477","2,142","5,865","3,039","3,586","3,041","1,912","2,280","5,233"
2020년11월_계_30~39세,"60,104","2,513","3,352","2,520","1,997","3,039","2,030","2,639","2,683","3,148","1,905","3,349","4,763","2,539","5,260","3,611","2,741","2,471","1,698","2,817","5,029"
2020년11월_계_40~49세,"70,104","2,572","3,723","2,040","2,213","4,554","1,700","2,430","3,290","3,654","1,974","4,223","7,958","2,972","6,492","4,606","2,873","2,910","1,971","2,770","5,179"
2020년11월_계_50~59세,"69,508","2,789","3,676","1,937","2,733","4,067","2,064","2,558","2,839","3,760","2,387","4,177","4,974","2,779","6,366","4,281","3,044","3,843","2,457","2,757","6,020"
2020년11월_계_60~69세,"54,785","2,062","2,748","1,468","2,176","2,710","1,485","1,888","2,238","3,329","2,208","3,586","3,275","2,090","4,756","3,546","2,655","3,012","2,178","2,104","5,271"
2020년11월_계_70~79세,"33,628","1,359","1,830","1,084","1,283","1,463","1,008","1,093","1,416","2,009","1,498","2,185","2,099","1,136","2,925","2,173","1,622","1,656","1,434","1,101","3,254"
