,경상북도 영덕군,경상북도 영덕군 영덕읍,경상북도 영덕군 강구면,경상북도 영덕군 남정면,경상북도 영덕군 달산면,경상북도 영덕군 지품면,경상북도 영덕군 지품면원전출장소,경상북도 영덕군 축산면,경상북도 영덕군 축산면축산출장소,경상북도 영덕군 영해면,경상북도 영덕군 병곡면,경상북도 영덕군 창수면
2020년11월_계_총인구수,"36,399","11,070","6,256","2,371","1,128","1,487",533,935,"1,740","6,409","2,781","1,689"
2020년11월_계_연령구간인구수,"36,399","11,070","6,256","2,371","1,128","1,487",533,935,"1,740","6,409","2,781","1,689"
2020년11월_계_0~9세,"1,679",811,228,48,18,35,8,33,40,359,74,25
2020년11월_계_10~19세,"2,127",943,298,65,41,38,17,32,76,448,122,47
2020년11월_계_20~29세,"2,446",948,446,129,49,75,18,48,88,478,114,53
2020년11월_계_30~39세,"2,424","1,042",387,111,46,55,12,35,78,472,126,60
2020년11월_계_40~49세,"3,911","1,584",690,182,68,112,31,85,166,681,204,108
2020년11월_계_50~59세,"6,194","1,856","1,150",405,180,273,78,142,302,"1,106",451,251
2020년11월_계_60~69세,"7,377","1,816","1,378",556,273,366,141,191,419,"1,202",619,416
2020년11월_계_70~79세,"5,950","1,235","1,075",484,244,307,141,203,366,931,565,399
2020년11월_계_80~89세,"3,744",708,536,339,180,198,78,149,187,632,449,288
2020년11월_계_90~99세,518,117,66,51,27,27,9,15,18,98,55,35
2020년11월_계_100세 이상,29,10,2,1,2,1,0,2,0,2,2,7
2020년11월_남_총인구수,"17,226","5,288","2,944","1,147",500,738,250,441,817,"2,964","1,305",832
2020년11월_남_연령구간인구수,"17,226","5,288","2,944","1,147",500,738,250,441,817,"2,964","1,305",832
2020년11월_남_0~9세,833,391,120,26,10,21,3,20,25,165,41,11
2020년11월_남_10~19세,"1,091",467,167,39,22,22,8,18,43,227,55,23
2020년11월_남_20~29세,"1,414",549,253,78,24,47,12,26,48,278,68,31
2020년11월_남_30~39세,"1,237",503,208,60,27,29,8,17,43,232,72,38
2020년11월_남_40~49세,"2,179",806,396,121,31,75,24,53,96,363,140,74
2020년11월_남_50~59세,"3,285",994,584,234,101,154,45,84,155,554,247,133
2020년11월_남_60~69세,"3,527",844,641,283,142,187,65,88,195,560,303,219
2020년11월_남_70~79세,"2,389",490,410,190,90,129,56,89,149,377,227,182
2020년11월_남_80~89세,"1,173",219,157,106,49,65,28,42,56,198,142,111
2020년11월_남_90~99세,91,22,7,10,4,9,1,3,7,10,10,8
2020년11월_남_100세 이상,7,3,1,0,0,0,0,1,0,0,0,2
2020년11월_여_총인구수,"19,173","5,782","3,312","1,224",628,749,283,494,923,"3,445","1,476",857
2020년11월_여_연령구간인구수,"19,173","5,782","3,312","1,224",628,749,283,494,923,"3,445","1,476",857
2020년11월_여_0~9세,846,420,108,22,8,14,5,13,15,194,33,14
2020년11월_여_10~19세,"1,036",476,131,26,19,16,9,14,33,221,67,24
2020년11월_여_20~29세,"1,032",399,193,51,25,28,6,22,40,200,46,22
2020년11월_여_30~39세,"1,187",539,179,51,19,26,4,18,35,240,54,22
2020년11월_여_40~49세,"1,732",778,294,61,37,37,7,32,70,318,64,34
2020년11월_여_50~59세,"2,909",862,566,171,79,119,33,58,147,552,204,118
2020년11월_여_60~69세,"3,850",972,737,273,131,179,76,103,224,642,316,197
2020년11월_여_70~79세,"3,561",745,665,294,154,178,85,114,217,554,338,217
2020년11월_여_80~89세,"2,571",489,379,233,131,133,50,107,131,434,307,177
2020년11월_여_90~99세,427,95,59,41,23,18,8,12,11,88,45,27
2020년11월_여_100세 이상,22,7,1,1,2,1,0,1,0,2,2,5
