,서울특별시 도봉구,서울특별시 도봉구 창제1동,서울특별시 도봉구 창제2동,서울특별시 도봉구 창제3동,서울특별시 도봉구 창제4동,서울특별시 도봉구 창제5동,서울특별시 도봉구 도봉제1동,서울특별시 도봉구 도봉제2동,서울특별시 도봉구 쌍문제1동,서울특별시 도봉구 쌍문제2동,서울특별시 도봉구 쌍문제3동,서울특별시 도봉구 쌍문제4동,서울특별시 도봉구 방학제1동,서울특별시 도봉구 방학제2동,서울특별시 도봉구 방학제3동
2021년05월_계_총인구수,"320,687","25,005","29,305","14,107","26,878","24,864","21,259","27,229","21,600","18,814","16,539","18,908","28,733","19,864","27,582"
2021년05월_계_연령구간인구수,"320,687","25,005","29,305","14,107","26,878","24,864","21,259","27,229","21,600","18,814","16,539","18,908","28,733","19,864","27,582"
2021년05월_계_0~9세,"17,922","1,506","1,705",746,"1,734","1,514",836,"1,550","1,154",981,763,"1,159","1,498",880,"1,896"
2021년05월_계_10~19세,"24,963","2,116","2,217","1,073","2,560","1,918","1,162","1,652","1,598","1,325","1,027","1,966","2,180","1,466","2,703"
2021년05월_계_20~29세,"42,583","3,281","4,117","1,787","3,650","3,653","2,595","3,279","2,973","2,488","2,471","2,514","3,814","2,641","3,320"
2021년05월_계_30~39세,"39,899","3,327","4,042","1,673","3,353","3,471","2,295","3,513","2,574","2,513","2,276","2,269","3,297","2,164","3,132"
2021년05월_계_40~49세,"47,293","4,009","4,498","2,107","4,318","3,536","2,870","3,696","3,181","2,703","2,369","2,883","4,150","2,794","4,179"
2021년05월_계_50~59세,"56,240","4,210","5,082","2,553","4,869","4,322","3,747","4,441","3,673","3,265","2,845","3,378","5,356","3,741","4,758"
2021년05월_계_60~69세,"50,531","3,513","4,241","2,214","3,599","3,730","3,923","4,931","3,394","3,039","2,493","2,875","4,702","3,360","4,517"
2021년05월_계_70~79세,"27,517","1,978","2,310","1,371","1,729","1,775","2,688","2,807","2,037","1,617","1,600","1,169","2,608","1,918","1,910"
2021년05월_계_80~89세,"11,944",941,986,529,912,813,"1,024","1,146",887,757,609,587,969,791,993
2021년05월_계_90~99세,"1,673",117,103,47,144,130,117,191,113,106,80,105,153,102,165
2021년05월_계_100세 이상,122,7,4,7,10,2,2,23,16,20,6,3,6,7,9
2021년05월_남_총인구수,"156,282","11,881","14,277","7,065","12,919","11,904","10,774","13,291","10,422","9,049","8,025","8,920","14,298","10,021","13,436"
2021년05월_남_연령구간인구수,"156,282","11,881","14,277","7,065","12,919","11,904","10,774","13,291","10,422","9,049","8,025","8,920","14,298","10,021","13,436"
2021년05월_남_0~9세,"9,295",768,886,397,905,786,412,789,604,512,385,618,737,455,"1,041"
2021년05월_남_10~19세,"12,832","1,069","1,137",562,"1,295",978,628,845,775,697,539,980,"1,115",761,"1,451"
2021년05월_남_20~29세,"21,669","1,628","2,065",934,"1,848","1,789","1,399","1,654","1,417","1,266","1,201","1,262","1,967","1,438","1,801"
2021년05월_남_30~39세,"20,416","1,646","2,042",885,"1,635","1,750","1,273","1,787","1,320","1,302","1,186","1,104","1,715","1,193","1,578"
2021년05월_남_40~49세,"23,461","1,943","2,279","1,092","2,042","1,682","1,570","1,868","1,613","1,378","1,236","1,300","2,055","1,453","1,950"
2021년05월_남_50~59세,"26,820","1,956","2,418","1,286","2,303","1,984","1,857","2,166","1,781","1,473","1,310","1,525","2,689","1,852","2,220"
2021년05월_남_60~69세,"24,001","1,628","1,963","1,059","1,722","1,760","1,899","2,334","1,591","1,403","1,174","1,363","2,300","1,659","2,146"
2021년05월_남_70~79세,"12,684",854,"1,045",626,788,824,"1,274","1,353",936,700,702,549,"1,283",876,874
2021년05월_남_80~89세,"4,612",355,415,215,327,310,421,446,351,282,269,187,400,302,332
2021년05월_남_90~99세,456,32,26,7,49,41,40,45,28,28,22,32,36,30,40
2021년05월_남_100세 이상,36,2,1,2,5,0,1,4,6,8,1,0,1,2,3
2021년05월_여_총인구수,"164,405","13,124","15,028","7,042","13,959","12,960","10,485","13,938","11,178","9,765","8,514","9,988","14,435","9,843","14,146"
2021년05월_여_연령구간인구수,"164,405","13,124","15,028","7,042","13,959","12,960","10,485","13,938","11,178","9,765","8,514","9,988","14,435","9,843","14,146"
2021년05월_여_0~9세,"8,627",738,819,349,829,728,424,761,550,469,378,541,761,425,855
2021년05월_여_10~19세,"12,131","1,047","1,080",511,"1,265",940,534,807,823,628,488,986,"1,065",705,"1,252"
2021년05월_여_20~29세,"20,914","1,653","2,052",853,"1,802","1,864","1,196","1,625","1,556","1,222","1,270","1,252","1,847","1,203","1,519"
2021년05월_여_30~39세,"19,483","1,681","2,000",788,"1,718","1,721","1,022","1,726","1,254","1,211","1,090","1,165","1,582",971,"1,554"
2021년05월_여_40~49세,"23,832","2,066","2,219","1,015","2,276","1,854","1,300","1,828","1,568","1,325","1,133","1,583","2,095","1,341","2,229"
2021년05월_여_50~59세,"29,420","2,254","2,664","1,267","2,566","2,338","1,890","2,275","1,892","1,792","1,535","1,853","2,667","1,889","2,538"
