,충청남도 아산시,충청남도 아산시 염치읍,충청남도 아산시 배방읍,충청남도 아산시 송악면,충청남도 아산시 탕정면,충청남도 아산시 음봉면,충청남도 아산시 둔포면,충청남도 아산시 영인면,충청남도 아산시 인주면,충청남도 아산시 선장면,충청남도 아산시 도고면,충청남도 아산시 신창면,충청남도 아산시 온양1동,충청남도 아산시 온양2동,충청남도 아산시 온양3동,충청남도 아산시 온양4동,충청남도 아산시 온양5동,충청남도 아산시 온양6동
2020년06월_계_총인구수,"313,054","6,580","73,431","4,242","20,957","19,755","21,355","5,604","6,549","3,180","4,488","20,088","9,547","10,894","36,825","18,497","21,821","29,241"
2020년06월_계_연령구간인구수,"313,054","6,580","73,431","4,242","20,957","19,755","21,355","5,604","6,549","3,180","4,488","20,088","9,547","10,894","36,825","18,497","21,821","29,241"
2020년06월_계_0~9세,"33,901",404,"9,592",226,"3,079","2,700","2,463",151,310,66,115,"1,738",931,468,"4,248","1,590","2,396","3,424"
2020년06월_계_10~19세,"34,191",493,"9,128",354,"2,858","1,660","1,417",278,400,120,190,"2,073",734,848,"4,819","2,454","2,768","3,597"
2020년06월_계_20~29세,"35,778",566,"8,980",302,"2,511","2,017","2,443",439,563,195,371,"2,359","1,077","1,729","4,457","2,114","2,743","2,912"
2020년06월_계_30~39세,"48,954",652,"13,616",261,"4,048","3,675","4,613",392,657,184,315,"2,504","1,814","1,219","5,343","2,119","3,178","4,364"
2020년06월_계_40~49세,"55,388",914,"14,041",590,"4,357","3,348","3,377",597,974,276,411,"3,453","1,518","1,515","6,887","3,449","4,085","5,596"
2020년06월_계_50~59세,"45,478","1,165","9,261",763,"2,237","2,706","3,027","1,052","1,289",530,874,"3,229","1,334","2,044","5,238","3,110","3,306","4,313"
2020년06월_계_60~69세,"30,586","1,118","4,988",785,967,"2,030","2,179","1,204","1,082",761,933,"2,363","1,091","1,602","3,136","1,918","1,765","2,664"
2020년06월_계_70~79세,"17,859",726,"2,503",566,556,992,"1,127",827,700,575,738,"1,484",677,977,"1,782","1,108","1,033","1,488"
2020년06월_계_80~89세,"9,546",473,"1,157",340,297,539,610,578,506,414,489,785,303,426,817,548,469,795
2020년06월_계_90~99세,"1,259",65,154,51,46,88,96,81,64,50,49,92,54,56,89,77,68,79
2020년06월_계_100세 이상,114,4,11,4,1,0,3,5,4,9,3,8,14,10,9,10,10,9
2020년06월_남_총인구수,"162,398","3,426","37,822","2,177","11,328","10,641","11,943","2,959","3,624","1,657","2,300","10,459","5,007","5,621","18,338","9,446","11,145","14,505"
