,인천광역시 연수구,인천광역시 연수구 옥련1동,인천광역시 연수구 옥련2동,인천광역시 연수구 선학동,인천광역시 연수구 연수1동,인천광역시 연수구 연수2동,인천광역시 연수구 연수3동,인천광역시 연수구 청학동,인천광역시 연수구 동춘1동,인천광역시 연수구 동춘2동,인천광역시 연수구 동춘3동,인천광역시 연수구 송도1동,인천광역시 연수구 송도2동,인천광역시 연수구 송도3동,인천광역시 연수구 송도4동,인천광역시 연수구 송도5동
2021년04월_계_총인구수,"390,807","19,626","20,748","17,256","19,902","21,375","16,467","25,045","25,652","18,528","18,846","38,194","36,772","48,884","25,041","38,471"
2021년04월_계_연령구간인구수,"390,807","19,626","20,748","17,256","19,902","21,375","16,467","25,045","25,652","18,528","18,846","38,194","36,772","48,884","25,041","38,471"
2021년04월_계_0~9세,"38,449","1,366","1,484",868,915,"1,386",950,"1,211","2,325","1,363","1,532","3,176","4,864","6,887","3,787","6,335"
2021년04월_계_10~19세,"43,128","1,864","2,210","1,077","1,586","1,665","1,230","1,727","2,681","1,960","2,852","5,690","6,328","5,944","2,885","3,429"
2021년04월_계_20~29세,"52,254","2,646","2,982","2,420","3,117","3,351","2,223","3,455","3,487","2,641","2,551","6,595","3,635","6,254","2,790","4,107"
2021년04월_계_30~39세,"57,974","2,316","2,470","2,270","2,552","3,190","2,214","3,023","3,788","2,596","1,813","4,389","4,475","9,299","4,699","8,880"
2021년04월_계_40~49세,"69,023","3,103","3,312","2,342","3,255","3,062","2,191","3,627","4,186","2,923","3,396","6,637","8,515","9,910","5,208","7,356"
2021년04월_계_50~59세,"64,746","3,704","3,944","3,343","3,999","3,870","3,032","5,235","4,691","3,476","3,365","6,320","5,524","6,102","3,321","4,820"
2021년04월_계_60~69세,"40,622","2,570","2,545","3,010","2,713","2,865","2,586","4,004","3,002","2,250","2,004","3,528","2,254","3,008","1,661","2,622"
2021년04월_계_70~79세,"15,782","1,340","1,160","1,256","1,182","1,190","1,189","1,741",945,811,843,"1,196",763,"1,024",490,652
2021년04월_계_80~89세,"7,409",623,542,569,503,664,694,876,434,450,402,535,340,390,173,214
2021년04월_계_90~99세,"1,373",94,95,96,77,128,150,138,109,56,88,127,70,64,26,55
2021년04월_계_100세 이상,47,0,4,5,3,4,8,8,4,2,0,1,4,2,1,1
2021년04월_남_총인구수,"194,282","9,732","10,272","8,949","10,896","10,523","7,841","12,965","12,589","9,041","9,176","18,787","18,082","23,965","12,396","19,068"
2021년04월_남_연령구간인구수,"194,282","9,732","10,272","8,949","10,896","10,523","7,841","12,965","12,589","9,041","9,176","18,787","18,082","23,965","12,396","19,068"
2021년04월_남_0~9세,"19,647",701,745,464,472,726,489,622,"1,188",703,762,"1,640","2,480","3,472","1,936","3,247"
2021년04월_남_10~19세,"22,150",969,"1,145",556,870,841,637,871,"1,349","1,015","1,457","2,912","3,243","3,032","1,467","1,786"
2021년04월_남_20~29세,"27,107","1,440","1,582","1,375","1,763","1,796","1,126","1,965","1,788","1,353","1,336","3,321","1,856","3,037","1,388","1,981"
2021년04월_남_30~39세,"28,540","1,209","1,218","1,291","1,524","1,667","1,162","1,742","1,858","1,328",802,"2,076","1,871","4,333","2,186","4,273"
2021년04월_남_40~49세,"34,026","1,523","1,639","1,306","1,865","1,500","1,042","1,928","2,017","1,384","1,538","3,039","3,979","4,886","2,607","3,773"
2021년04월_남_50~59세,"31,944","1,819","1,894","1,589","2,186","1,816","1,379","2,671","2,192","1,601","1,661","3,166","2,960","3,062","1,664","2,284"
2021년04월_남_60~69세,"20,834","1,251","1,288","1,563","1,470","1,447","1,285","2,058","1,560","1,136","1,068","1,828","1,202","1,524",835,"1,319"
2021년04월_남_70~79세,"7,287",577,556,587,556,513,511,781,467,370,384,588,347,472,247,331
2021년04월_남_80~89세,"2,441",219,183,198,173,189,186,297,136,136,144,191,130,132,63,64
2021년04월_남_90~99세,296,24,22,20,17,26,22,27,34,15,24,26,13,13,3,10
2021년04월_남_100세 이상,10,0,0,0,0,2,2,3,0,0,0,0,1,2,0,0
2021년04월_여_총인구수,"196,525","9,894","10,476","8,307","9,006","10,852","8,626","12,080","13,063","9,487","9,670","19,407","18,690","24,919","12,645","19,403"
2021년04월_여_연령구간인구수,"196,525","9,894","10,476","8,307","9,006","10,852","8,626","12,080","13,063","9,487","9,670","19,407","18,690","24,919","12,645","19,403"
2021년04월_여_0~9세,"18,802",665,739,404,443,660,461,589,"1,137",660,770,"1,536","2,384","3,415","1,851","3,088"
2021년04월_여_10~19세,"20,978",895,"1,065",521,716,824,593,856,"1,332",945,"1,395","2,778","3,085","2,912","1,418","1,643"
2021년04월_여_20~29세,"25,147","1,206","1,400","1,045","1,354","1,555","1,097","1,490","1,699","1,288","1,215","3,274","1,779","3,217","1,402","2,126"
2021년04월_여_30~39세,"29,434","1,107","1,252",979,"1,028","1,523","1,052","1,281","1,930","1,268","1,011","2,313","2,604","4,966","2,513","4,607"
2021년04월_여_40~49세,"34,997","1,580","1,673","1,036","1,390","1,562","1,149","1,699","2,169","1,539","1,858","3,598","4,536","5,024","2,601","3,583"
2021년04월_여_50~59세,"32,802","1,885","2,050","1,754","1,813","2,054","1,653","2,564","2,499","1,875","1,704","3,154","2,564","3,040","1,657","2,536"
2021년04월_여_60~69세,"19,788","1,319","1,257","1,447","1,243","1,418","1,301","1,946","1,442","1,114",936,"1,700","1,052","1,484",826,"1,303"
2021년04월_여_70~79세,"8,495",763,604,669,626,677,678,960,478,441,459,608,416,552,243,321
2021년04월_여_80~89세,"4,968",404,359,371,330,475,508,579,298,314,258,344,210,258,110,150
2021년04월_여_90~99세,"1,077",70,73,76,60,102,128,111,75,41,64,101,57,51,23,45
2021년04월_여_100세 이상,37,0,4,5,3,2,6,5,4,2,0,1,3,0,1,1
