카테고리,경기도 구리시,경기도 구리시 갈매동,경기도 구리시 동구동,경기도 구리시 인창동,경기도 구리시 교문1동,경기도 구리시 교문2동,경기도 구리시 수택1동,경기도 구리시 수택2동,경기도 구리시 수택3동
2020년03월_계_총인구수,"199,099","31,548","38,755","23,370","16,464","22,501","19,152","25,295","22,014"
2020년03월_계_연령구간인구수,"199,099","31,548","38,755","23,370","16,464","22,501","19,152","25,295","22,014"
2020년03월_계_0~9세,"16,026","4,765","3,015","1,770",810,"1,740",852,"1,389","1,685"
2020년03월_계_10~19세,"18,869","2,219","4,246","2,394","1,172","2,851","1,446","2,151","2,390"
2020년03월_계_20~29세,"27,462","3,386","5,669","3,348","2,213","3,068","2,981","3,815","2,982"
2020년03월_계_30~39세,"27,354","6,513","4,819","2,975","2,079","2,605","2,295","3,173","2,895"
2020년03월_계_40~49세,"33,388","5,427","6,641","3,988","2,549","4,039","2,824","3,745","4,175"
2020년03월_계_50~59세,"35,929","4,228","7,339","4,283","3,294","3,921","3,971","5,023","3,870"
2020년03월_계_60~69세,"23,115","3,129","3,947","2,529","2,428","2,508","2,816","3,503","2,255"
2020년03월_계_70~79세,"11,572","1,392","2,015","1,424","1,290","1,188","1,371","1,694","1,198"
2020년03월_계_80~89세,"4,661",408,938,577,528,517,514,693,486
2020년03월_계_90~99세,648,77,120,75,77,59,73,96,71
2020년03월_계_100세 이상,75,4,6,7,24,5,9,13,7
2020년03월_남_총인구수,"98,873","15,673","19,119","11,517","8,368","10,925","9,539","12,656","11,076"
2020년03월_남_연령구간인구수,"98,873","15,673","19,119","11,517","8,368","10,925","9,539","12,656","11,076"
2020년03월_남_0~9세,"8,288","2,481","1,601",910,420,868,447,695,866
2020년03월_남_10~19세,"9,764","1,099","2,233","1,252",571,"1,456",752,"1,146","1,255"
2020년03월_남_20~29세,"14,035","1,673","2,902","1,683","1,146","1,582","1,496","1,987","1,566"
2020년03월_남_30~39세,"13,863","3,187","2,413","1,481","1,141","1,247","1,241","1,693","1,460"
2020년03월_남_40~49세,"16,585","2,863","3,151","1,938","1,368","1,864","1,414","1,926","2,061"
2020년03월_남_50~59세,"17,702","2,012","3,579","2,110","1,673","1,907","1,982","2,473","1,966"
2020년03월_남_60~69세,"11,573","1,530","2,007","1,262","1,218","1,240","1,427","1,722","1,167"
2020년03월_남_70~79세,"5,176",689,845,641,598,539,587,749,528
2020년03월_남_80~89세,"1,699",122,354,208,199,209,174,243,190
2020년03월_남_90~99세,165,16,32,29,24,13,17,18,16
2020년03월_남_100세 이상,23,1,2,3,10,0,2,4,1
2020년03월_여_총인구수,"100,226","15,875","19,636","11,853","8,096","11,576","9,613","12,639","10,938"
2020년03월_여_연령구간인구수,"100,226","15,875","19,636","11,853","8,096","11,576","9,613","12,639","10,938"
2020년03월_여_0~9세,"7,738","2,284","1,414",860,390,872,405,694,819
2020년03월_여_10~19세,"9,105","1,120","2,013","1,142",601,"1,395",694,"1,005","1,135"
2020년03월_여_20~29세,"13,427","1,713","2,767","1,665","1,067","1,486","1,485","1,828","1,416"
2020년03월_여_30~39세,"13,491","3,326","2,406","1,494",938,"1,358","1,054","1,480","1,435"
2020년03월_여_40~49세,"16,803","2,564","3,490","2,050","1,181","2,175","1,410","1,819","2,114"
2020년03월_여_50~59세,"18,227","2,216","3,760","2,173","1,621","2,014","1,989","2,550","1,904"
2020년03월_여_60~69세,"11,542","1,599","1,940","1,267","1,210","1,268","1,389","1,781","1,088"
2020년03월_여_70~79세,"6,396",703,"1,170",783,692,649,784,945,670
2020년03월_여_80~89세,"2,962",286,584,369,329,308,340,450,296
2020년03월_여_90~99세,483,61,88,46,53,46,56,78,55
2020년03월_여_100세 이상,52,3,4,4,14,5,7,9,6
