,경상북도 울릉군,경상북도 울릉군 울릉읍,경상북도 울릉군 서면,경상북도 울릉군 서면태하출장소,경상북도 울릉군 북면
2020년09월_계_총인구수,"9,191","6,519",867,455,"1,350"
2020년09월_계_연령구간인구수,"9,191","6,519",867,455,"1,350"
2020년09월_계_0~9세,416,306,41,17,52
2020년09월_계_10~19세,474,379,38,15,42
2020년09월_계_20~29세,832,616,70,27,119
2020년09월_계_30~39세,900,675,58,34,133
2020년09월_계_40~49세,"1,315","1,005",97,34,179
2020년09월_계_50~59세,"1,869","1,329",194,93,253
2020년09월_계_60~69세,"1,763","1,212",172,101,278
2020년09월_계_70~79세,"1,038",670,113,87,168
2020년09월_계_80~89세,498,281,77,32,108
2020년09월_계_90~99세,75,35,7,15,18
2020년09월_계_100세 이상,11,11,0,0,0
2020년09월_남_총인구수,"5,009","3,550",464,243,752
2020년09월_남_연령구간인구수,"5,009","3,550",464,243,752
2020년09월_남_0~9세,219,161,20,11,27
2020년09월_남_10~19세,235,174,26,11,24
2020년09월_남_20~29세,493,357,46,12,78
2020년09월_남_30~39세,539,407,30,21,81
2020년09월_남_40~49세,810,608,60,23,119
2020년09월_남_50~59세,"1,076",766,113,51,146
2020년09월_남_60~69세,938,641,99,52,146
2020년09월_남_70~79세,476,307,43,45,81
2020년09월_남_80~89세,197,114,25,12,46
2020년09월_남_90~99세,21,10,2,5,4
2020년09월_남_100세 이상,5,5,0,0,0
2020년09월_여_총인구수,"4,182","2,969",403,212,598
2020년09월_여_연령구간인구수,"4,182","2,969",403,212,598
2020년09월_여_0~9세,197,145,21,6,25
2020년09월_여_10~19세,239,205,12,4,18
2020년09월_여_20~29세,339,259,24,15,41
2020년09월_여_30~39세,361,268,28,13,52
2020년09월_여_40~49세,505,397,37,11,60
2020년09월_여_50~59세,793,563,81,42,107
2020년09월_여_60~69세,825,571,73,49,132
2020년09월_여_70~79세,562,363,70,42,87
2020년09월_여_80~89세,301,167,52,20,62
2020년09월_여_90~99세,54,25,5,10,14
2020년09월_여_100세 이상,6,6,0,0,0
