카테고리,충청북도 옥천군,충청북도 옥천군 옥천읍,충청북도 옥천군 동이면,충청북도 옥천군 안남면,충청북도 옥천군 안내면,충청북도 옥천군 청성면,충청북도 옥천군 청산면,충청북도 옥천군 이원면,충청북도 옥천군 군서면,충청북도 옥천군 군북면
2020년11월_계_총인구수,"50,619","29,053","3,215","1,422","1,951","2,352","3,043","4,257","2,282","3,044"
2020년11월_계_연령구간인구수,"50,619","29,053","3,215","1,422","1,951","2,352","3,043","4,257","2,282","3,044"
2020년11월_계_0~9세,"2,618","2,134",87,40,38,29,57,107,57,69
2020년11월_계_10~19세,"3,910","3,053",128,66,71,57,140,202,76,117
2020년11월_계_20~29세,"4,402","3,144",221,64,96,88,139,278,168,204
2020년11월_계_30~39세,"3,886","2,773",178,74,78,88,123,264,128,180
2020년11월_계_40~49세,"6,281","4,514",282,100,163,126,223,397,174,302
2020년11월_계_50~59세,"9,006","5,008",619,275,322,457,521,781,424,599
2020년11월_계_60~69세,"9,807","4,313",827,352,515,645,813,983,569,790
2020년11월_계_70~79세,"6,360","2,664",480,245,352,440,596,727,393,463
2020년11월_계_80~89세,"3,742","1,256",333,172,264,366,382,439,260,270
2020년11월_계_90~99세,581,189,59,34,44,53,45,77,33,47
2020년11월_계_100세 이상,26,5,1,0,8,3,4,2,0,3
2020년11월_남_총인구수,"25,494","14,520","1,656",713,993,"1,181","1,472","2,181","1,186","1,592"
2020년11월_남_연령구간인구수,"25,494","14,520","1,656",713,993,"1,181","1,472","2,181","1,186","1,592"
2020년11월_남_0~9세,"1,367","1,116",49,21,18,16,25,52,32,38
2020년11월_남_10~19세,"2,071","1,611",64,37,38,33,73,112,36,67
2020년11월_남_20~29세,"2,497","1,736",144,40,58,58,82,163,95,121
2020년11월_남_30~39세,"2,024","1,389",99,45,50,46,61,157,73,104
2020년11월_남_40~49세,"3,374","2,294",164,66,103,86,131,255,109,166
2020년11월_남_50~59세,"4,819","2,584",339,143,192,255,296,427,244,339
2020년11월_남_60~69세,"5,001","2,116",440,188,267,348,409,504,307,422
2020년11월_남_70~79세,"2,926","1,171",230,114,165,210,272,357,188,219
2020년11월_남_80~89세,"1,262",462,108,51,88,110,109,135,94,105
2020년11월_남_90~99세,147,40,19,8,11,19,13,18,8,11
2020년11월_남_100세 이상,6,1,0,0,3,0,1,1,0,0
2020년11월_여_총인구수,"25,125","14,533","1,559",709,958,"1,171","1,571","2,076","1,096","1,452"
2020년11월_여_연령구간인구수,"25,125","14,533","1,559",709,958,"1,171","1,571","2,076","1,096","1,452"
2020년11월_여_0~9세,"1,251","1,018",38,19,20,13,32,55,25,31
2020년11월_여_10~19세,"1,839","1,442",64,29,33,24,67,90,40,50
2020년11월_여_20~29세,"1,905","1,408",77,24,38,30,57,115,73,83
2020년11월_여_30~39세,"1,862","1,384",79,29,28,42,62,107,55,76
2020년11월_여_40~49세,"2,907","2,220",118,34,60,40,92,142,65,136
2020년11월_여_50~59세,"4,187","2,424",280,132,130,202,225,354,180,260
2020년11월_여_60~69세,"4,806","2,197",387,164,248,297,404,479,262,368
2020년11월_여_70~79세,"3,434","1,493",250,131,187,230,324,370,205,244
2020년11월_여_80~89세,"2,480",794,225,121,176,256,273,304,166,165
2020년11월_여_90~99세,434,149,40,26,33,34,32,59,25,36
2020년11월_여_100세 이상,20,4,1,0,5,3,3,1,0,3
