카테고리,경상북도 청송군,경상북도 청송군 청송읍,경상북도 청송군 주왕산면,경상북도 청송군 부남면,경상북도 청송군 현동면,경상북도 청송군 현서면,경상북도 청송군 안덕면,경상북도 청송군 파천면,경상북도 청송군 진보면
2021년04월_계_총인구수,"24,904","5,197","1,825","2,509","2,094","2,503","2,596","1,790","6,390"
2021년04월_계_연령구간인구수,"24,904","5,197","1,825","2,509","2,094","2,503","2,596","1,790","6,390"
2021년04월_계_0~9세,959,283,48,67,77,54,71,52,307
2021년04월_계_10~19세,"1,177",353,53,95,94,98,88,53,343
2021년04월_계_20~29세,"1,655",466,91,127,133,117,113,89,519
2021년04월_계_30~39세,"1,661",469,115,119,104,123,113,99,519
2021년04월_계_40~49세,"2,340",600,140,164,196,176,201,131,732
2021년04월_계_50~59세,"4,668","1,015",350,481,424,463,490,279,"1,166"
2021년04월_계_60~69세,"5,595",930,472,658,448,719,619,458,"1,291"
2021년04월_계_70~79세,"3,981",620,331,471,345,437,527,331,919
2021년04월_계_80~89세,"2,532",405,202,291,241,276,323,254,540
2021년04월_계_90~99세,320,51,23,35,30,39,48,44,50
2021년04월_계_100세 이상,16,5,0,1,2,1,3,0,4
2021년04월_남_총인구수,"12,433","2,577",905,"1,238","1,037","1,248","1,248",889,"3,291"
2021년04월_남_연령구간인구수,"12,433","2,577",905,"1,238","1,037","1,248","1,248",889,"3,291"
2021년04월_남_0~9세,497,157,23,33,36,31,38,24,155
2021년04월_남_10~19세,620,170,33,54,53,55,50,22,183
2021년04월_남_20~29세,"1,011",272,53,77,80,66,72,54,337
2021년04월_남_30~39세,964,258,71,66,55,77,61,65,311
2021년04월_남_40~49세,"1,343",318,90,93,114,100,116,80,432
2021년04월_남_50~59세,"2,494",533,180,258,233,244,256,153,637
2021년04월_남_60~69세,"2,801",463,246,320,219,358,312,256,627
2021년04월_남_70~79세,"1,754",265,144,213,156,192,221,146,417
2021년04월_남_80~89세,888,135,62,117,85,118,111,79,181
2021년04월_남_90~99세,58,6,3,6,6,7,11,10,9
2021년04월_남_100세 이상,3,0,0,1,0,0,0,0,2
2021년04월_여_총인구수,"12,471","2,620",920,"1,271","1,057","1,255","1,348",901,"3,099"
2021년04월_여_연령구간인구수,"12,471","2,620",920,"1,271","1,057","1,255","1,348",901,"3,099"
2021년04월_여_0~9세,462,126,25,34,41,23,33,28,152
2021년04월_여_10~19세,557,183,20,41,41,43,38,31,160
2021년04월_여_20~29세,644,194,38,50,53,51,41,35,182
2021년04월_여_30~39세,697,211,44,53,49,46,52,34,208
2021년04월_여_40~49세,997,282,50,71,82,76,85,51,300
2021년04월_여_50~59세,"2,174",482,170,223,191,219,234,126,529
2021년04월_여_60~69세,"2,794",467,226,338,229,361,307,202,664
2021년04월_여_70~79세,"2,227",355,187,258,189,245,306,185,502
2021년04월_여_80~89세,"1,644",270,140,174,156,158,212,175,359
2021년04월_여_90~99세,262,45,20,29,24,32,37,34,41
2021년04월_여_100세 이상,13,5,0,0,2,1,3,0,2
