,대전광역시,대전광역시 동구,대전광역시 중구,대전광역시 서구,대전광역시 유성구,대전광역시 대덕구
2021년03월_계_총인구수,"1,458,463","223,469","233,601","475,685","350,136","175,572"
2021년03월_계_연령구간인구수,"1,458,463","223,469","233,601","475,685","350,136","175,572"
2021년03월_계_0~9세,"112,297","14,943","14,722","37,336","34,261","11,035"
2021년03월_계_10~19세,"145,010","19,971","21,695","49,026","37,931","16,387"
2021년03월_계_20~29세,"211,498","30,220","30,652","73,642","52,588","24,396"
2021년03월_계_30~39세,"192,338","25,851","25,704","65,406","55,473","19,904"
2021년03월_계_40~49세,"235,062","34,027","36,309","77,632","60,212","26,882"
2021년03월_계_50~59세,"240,184","36,513","39,189","77,080","53,950","33,452"
2021년03월_계_60~69세,"183,343","33,183","34,091","56,130","34,617","25,322"
2021년03월_계_70~79세,"91,414","19,102","20,597","26,142","13,504","12,069"
2021년03월_계_80~89세,"41,193","8,503","9,312","11,529","6,461","5,388"
2021년03월_계_90~99세,"5,920","1,117","1,284","1,701","1,107",711
2021년03월_계_100세 이상,204,39,46,61,32,26
2021년03월_남_총인구수,"728,075","112,726","115,273","233,968","176,765","89,343"
2021년03월_남_연령구간인구수,"728,075","112,726","115,273","233,968","176,765","89,343"
2021년03월_남_0~9세,"57,718","7,712","7,550","19,270","17,622","5,564"
2021년03월_남_10~19세,"74,958","10,316","11,201","25,277","19,598","8,566"
2021년03월_남_20~29세,"110,997","16,052","15,663","37,531","28,214","13,537"
2021년03월_남_30~39세,"100,467","13,990","13,211","33,455","28,931","10,880"
2021년03월_남_40~49세,"117,325","17,882","18,460","37,592","29,655","13,736"
2021년03월_남_50~59세,"119,734","18,769","19,802","37,316","26,847","17,000"
2021년03월_남_60~69세,"89,062","16,095","16,255","26,966","17,225","12,521"
2021년03월_남_70~79세,"41,615","8,562","9,292","11,986","6,285","5,490"
2021년03월_남_80~89세,"14,798","3,064","3,526","4,167","2,139","1,902"
2021년03월_남_90~99세,"1,363",274,305,397,243,144
2021년03월_남_100세 이상,38,10,8,11,6,3
2021년03월_여_총인구수,"730,388","110,743","118,328","241,717","173,371","86,229"
2021년03월_여_연령구간인구수,"730,388","110,743","118,328","241,717","173,371","86,229"
2021년03월_여_0~9세,"54,579","7,231","7,172","18,066","16,639","5,471"
2021년03월_여_10~19세,"70,052","9,655","10,494","23,749","18,333","7,821"
2021년03월_여_20~29세,"100,501","14,168","14,989","36,111","24,374","10,859"
2021년03월_여_30~39세,"91,871","11,861","12,493","31,951","26,542","9,024"
2021년03월_여_40~49세,"117,737","16,145","17,849","40,040","30,557","13,146"
2021년03월_여_50~59세,"120,450","17,744","19,387","39,764","27,103","16,452"
2021년03월_여_60~69세,"94,281","17,088","17,836","29,164","17,392","12,801"
2021년03월_여_70~79세,"49,799","10,540","11,305","14,156","7,219","6,579"
2021년03월_여_80~89세,"26,395","5,439","5,786","7,362","4,322","3,486"
2021년03월_여_90~99세,"4,557",843,979,"1,304",864,567
2021년03월_여_100세 이상,166,29,38,50,26,23
