,전라남도 진도군,전라남도 진도군 진도읍,전라남도 진도군 군내면,전라남도 진도군 고군면,전라남도 진도군 의신면,전라남도 진도군 임회면,전라남도 진도군 지산면,전라남도 진도군 조도면,전라남도 진도군 조도면가사출장소,전라남도 진도군 조도면거차출장소
2020년10월_계_총인구수,"30,233","10,686","2,981","3,614","3,429","3,419","3,156","2,323",264,361
2020년10월_계_연령구간인구수,"30,233","10,686","2,981","3,614","3,429","3,419","3,156","2,323",264,361
2020년10월_계_0~9세,"1,695",903,117,189,114,118,105,104,16,29
2020년10월_계_10~19세,"2,208","1,155",172,242,158,188,119,126,10,38
2020년10월_계_20~29세,"2,385","1,142",181,260,207,218,206,136,17,18
2020년10월_계_30~39세,"2,223","1,123",172,262,196,171,148,117,15,19
2020년10월_계_40~49세,"3,541","1,572",310,384,349,320,241,290,28,47
2020년10월_계_50~59세,"4,965","1,719",505,574,607,583,507,369,42,59
2020년10월_계_60~69세,"5,204","1,432",592,717,677,654,630,404,43,55
2020년10월_계_70~79세,"4,749","1,050",540,551,652,677,709,453,50,67
2020년10월_계_80~89세,"2,880",524,345,380,410,417,440,299,41,24
2020년10월_계_90~99세,365,62,46,49,58,72,49,22,2,5
2020년10월_계_100세 이상,18,4,1,6,1,1,2,3,0,0
2020년10월_남_총인구수,"14,865","5,231","1,499","1,743","1,739","1,631","1,518","1,190",135,179
2020년10월_남_연령구간인구수,"14,865","5,231","1,499","1,743","1,739","1,631","1,518","1,190",135,179
2020년10월_남_0~9세,803,419,57,94,62,55,48,45,8,15
2020년10월_남_10~19세,"1,149",606,84,121,84,100,58,67,10,19
2020년10월_남_20~29세,"1,371",646,117,139,117,118,131,84,6,13
2020년10월_남_30~39세,"1,211",578,102,144,122,93,84,69,9,10
2020년10월_남_40~49세,"2,043",796,183,235,228,196,165,189,19,32
2020년10월_남_50~59세,"2,737",867,301,307,344,320,293,237,28,40
2020년10월_남_60~69세,"2,625",692,305,352,354,334,310,233,24,21
2020년10월_남_70~79세,"2,013",462,232,225,278,296,293,182,22,23
2020년10월_남_80~89세,847,154,109,117,138,108,126,82,8,5
2020년10월_남_90~99세,66,11,9,9,12,11,10,2,1,1
2020년10월_남_100세 이상,0,0,0,0,0,0,0,0,0,0
2020년10월_여_총인구수,"15,368","5,455","1,482","1,871","1,690","1,788","1,638","1,133",129,182
2020년10월_여_연령구간인구수,"15,368","5,455","1,482","1,871","1,690","1,788","1,638","1,133",129,182
2020년10월_여_0~9세,892,484,60,95,52,63,57,59,8,14
2020년10월_여_10~19세,"1,059",549,88,121,74,88,61,59,0,19
2020년10월_여_20~29세,"1,014",496,64,121,90,100,75,52,11,5
2020년10월_여_30~39세,"1,012",545,70,118,74,78,64,48,6,9
2020년10월_여_40~49세,"1,498",776,127,149,121,124,76,101,9,15
2020년10월_여_50~59세,"2,228",852,204,267,263,263,214,132,14,19
2020년10월_여_60~69세,"2,579",740,287,365,323,320,320,171,19,34
2020년10월_여_70~79세,"2,736",588,308,326,374,381,416,271,28,44
2020년10월_여_80~89세,"2,033",370,236,263,272,309,314,217,33,19
2020년10월_여_90~99세,299,51,37,40,46,61,39,20,1,4
2020년10월_여_100세 이상,18,4,1,6,1,1,2,3,0,0
