카테고리,서울특별시 동작구,서울특별시 동작구 노량진제1동,서울특별시 동작구 노량진제2동,서울특별시 동작구 상도제1동,서울특별시 동작구 상도제2동,서울특별시 동작구 상도제3동,서울특별시 동작구 상도제4동,서울특별시 동작구 흑석동,서울특별시 동작구 사당제1동,서울특별시 동작구 사당제2동,서울특별시 동작구 사당제3동,서울특별시 동작구 사당제4동,서울특별시 동작구 사당제5동,서울특별시 동작구 대방동,서울특별시 동작구 신대방제1동,서울특별시 동작구 신대방제2동
2021년09월_계_총인구수,"387,117","32,073","11,821","44,351","28,668","24,610","28,718","31,598","22,982","27,696","24,511","14,222","14,500","38,268","23,239","19,860"
2021년09월_계_연령구간인구수,"387,117","32,073","11,821","44,351","28,668","24,610","28,718","31,598","22,982","27,696","24,511","14,222","14,500","38,268","23,239","19,860"
2021년09월_계_0~9세,"23,342","1,850",273,"2,642","2,485","1,135","1,553","2,256",758,"1,835","2,029",698,"1,001","2,082","1,432","1,313"
2021년09월_계_10~19세,"27,222","1,939",478,"3,147","1,968","1,595","1,852","2,165",898,"1,736","1,613",719,978,"4,068","2,393","1,673"
2021년09월_계_20~29세,"65,487","5,559","2,339","9,663","4,306","4,124","4,583","4,897","5,271","3,649","3,254","2,522","2,132","6,345","3,362","3,481"
2021년09월_계_30~39세,"61,102","5,522","1,938","6,035","4,837","4,051","4,706","4,333","4,640","4,433","3,974","2,434","2,593","5,283","3,044","3,279"
2021년09월_계_40~49세,"57,629","4,287","1,386","6,440","4,560","3,509","4,269","4,772","2,963","4,095","3,780","1,988","2,256","6,392","3,841","3,091"
2021년09월_계_50~59세,"57,906","4,662","1,825","6,295","4,218","3,876","4,414","5,145","2,978","4,346","3,538","2,049","2,198","5,946","3,707","2,709"
2021년09월_계_60~69세,"50,408","4,341","1,911","5,453","3,370","3,292","3,974","4,132","3,057","4,050","3,463","2,051","1,840","4,300","2,978","2,196"
2021년09월_계_70~79세,"29,652","2,488","1,090","3,067","1,895","2,074","2,284","2,511","1,771","2,482","2,080","1,225","1,018","2,541","1,674","1,452"
2021년09월_계_80~89세,"12,437","1,235",497,"1,372",872,851,952,"1,198",569,936,696,461,409,"1,107",697,585
2021년09월_계_90~99세,"1,776",166,73,212,144,96,122,180,74,128,79,68,71,182,102,79
2021년09월_계_100세 이상,156,24,11,25,13,7,9,9,3,6,5,7,4,22,9,2
