카테고리,경기도 파주시,경기도 파주시 문산읍,경기도 파주시 파주읍,경기도 파주시 법원읍,경기도 파주시 조리읍,경기도 파주시 월롱면,경기도 파주시 탄현면,경기도 파주시 광탄면,경기도 파주시 파평면,경기도 파주시 적성면,경기도 파주시 군내면,경기도 파주시 장단출장소,경기도 파주시 장단면,경기도 파주시 진동면,경기도 파주시 진서면,경기도 파주시 금촌1동,경기도 파주시 금촌2동,경기도 파주시 금촌3동,경기도 파주시 교하동,경기도 파주시 운정1동,경기도 파주시 운정2동,경기도 파주시 운정3동
2020년06월_계_총인구수,"456,073","48,554","13,144","10,923","30,243","9,250","13,464","11,549","3,942","7,618",0,572,0,157,0,"22,621","33,663","27,436","41,046","45,308","62,725","73,858"
2020년06월_계_연령구간인구수,"456,073","48,554","13,144","10,923","30,243","9,250","13,464","11,549","3,942","7,618",0,572,0,157,0,"22,621","33,663","27,436","41,046","45,308","62,725","73,858"
2020년06월_계_0~9세,"44,481","5,165",567,363,"1,860",196,728,515,103,593,0,20,0,5,0,"1,252","3,598","2,448","4,043","5,302","9,247","8,476"
2020년06월_계_10~19세,"48,297","4,739",781,783,"2,810",291,"1,022",676,202,540,0,38,0,11,0,"1,562","4,324","2,793","5,495","5,880","7,522","8,828"
2020년06월_계_20~29세,"55,677","5,768","1,470","1,338","3,842","2,198","1,495","1,289",425,950,0,61,0,4,0,"3,484","4,288","3,812","4,482","5,076","6,705","8,990"
2020년06월_계_30~39세,"66,501","7,899","1,349",905,"3,110","2,242","1,521","1,069",269,881,0,48,0,9,0,"2,924","4,776","3,796","5,187","6,698","12,205","11,613"
2020년06월_계_40~49세,"79,254","7,482","1,716","1,306","4,549",938,"2,189","1,376",370,871,0,76,0,16,0,"3,398","6,217","4,375","8,344","8,964","12,307","14,760"
2020년06월_계_50~59세,"70,777","6,911","2,539","2,240","5,956","1,329","2,586","2,368",778,"1,238",0,102,0,27,0,"4,241","5,122","4,583","6,453","6,621","7,186","10,497"
2020년06월_계_60~69세,"46,974","5,053","2,245","1,950","4,299","1,120","1,971","2,170",775,"1,191",0,94,0,33,0,"3,022","2,697","2,999","3,762","3,741","4,048","5,804"
2020년06월_계_70~79세,"28,368","3,499","1,468","1,284","2,466",548,"1,174","1,253",592,913,0,91,0,34,0,"1,797","1,726","1,708","2,108","2,023","2,393","3,291"
2020년06월_계_80~89세,"13,578","1,760",838,647,"1,171",340,659,683,360,372,0,40,0,16,0,808,793,818,"1,003",870,975,"1,425"
2020년06월_계_90~99세,"1,975",251,130,94,167,45,110,136,58,67,0,2,0,2,0,118,111,100,158,123,135,168
2020년06월_계_100세 이상,191,27,41,13,13,3,9,14,10,2,0,0,0,0,0,15,11,4,11,10,2,6
2020년06월_남_총인구수,"231,522","24,763","6,996","5,801","15,373","5,881","7,311","6,276","2,053","4,075",0,292,0,85,0,"11,941","16,510","14,098","20,887","22,240","30,650","36,290"
2020년06월_남_연령구간인구수,"231,522","24,763","6,996","5,801","15,373","5,881","7,311","6,276","2,053","4,075",0,292,0,85,0,"11,941","16,510","14,098","20,887","22,240","30,650","36,290"
2020년06월_남_0~9세,"22,703","2,581",303,190,937,92,390,264,59,300,0,10,0,1,0,647,"1,856","1,226","2,055","2,712","4,695","4,385"
2020년06월_남_10~19세,"24,934","2,469",414,440,"1,398",165,530,366,105,307,0,14,0,3,0,836,"2,231","1,471","2,885","2,966","3,777","4,557"
2020년06월_남_20~29세,"29,332","3,099",885,803,"2,109","1,305",847,785,276,591,0,33,0,4,0,"1,925","2,150","2,074","2,458","2,464","3,094","4,430"
2020년06월_남_30~39세,"35,420","4,401",787,517,"1,711","1,836",913,650,148,492,0,25,0,5,0,"1,719","2,413","2,057","2,586","3,273","6,165","5,722"
2020년06월_남_40~49세,"40,720","3,979","1,017",747,"2,322",663,"1,240",803,218,502,0,53,0,5,0,"1,827","2,994","2,270","4,188","4,430","6,170","7,292"
2020년06월_남_50~59세,"37,078","3,559","1,441","1,233","3,111",806,"1,504","1,322",430,671,0,52,0,19,0,"2,380","2,608","2,381","3,476","3,322","3,543","5,220"
2020년06월_남_60~69세,"23,321","2,435","1,166","1,028","2,197",616,"1,048","1,205",389,635,0,49,0,17,0,"1,497","1,244","1,498","1,918","1,826","1,842","2,711"
2020년06월_남_70~79세,"12,476","1,501",636,590,"1,098",279,558,628,274,421,0,39,0,21,0,800,703,771,932,885,957,"1,383"
2020년06월_남_80~89세,"4,982",646,301,222,441,111,256,217,138,141,0,16,0,8,0,277,282,319,359,330,371,547
2020년06월_남_90~99세,497,80,35,27,44,8,24,32,10,15,0,1,0,2,0,27,27,29,29,30,35,42
