,서울특별시 관악구,서울특별시 관악구 보라매동,서울특별시 관악구 청림동,서울특별시 관악구 성현동,서울특별시 관악구 행운동,서울특별시 관악구 낙성대동,서울특별시 관악구 청룡동,서울특별시 관악구 은천동,서울특별시 관악구 중앙동,서울특별시 관악구 인헌동,서울특별시 관악구 남현동,서울특별시 관악구 서원동,서울특별시 관악구 신원동,서울특별시 관악구 서림동,서울특별시 관악구 신사동,서울특별시 관악구 신림동,서울특별시 관악구 난향동,서울특별시 관악구 조원동,서울특별시 관악구 대학동,서울특별시 관악구 삼성동,서울특별시 관악구 미성동,서울특별시 관악구 난곡동
2020년11월_계_총인구수,"496,059","24,515","15,627","30,364","29,337","17,066","35,041","34,100","15,412","26,226","18,456","22,913","18,398","23,855","22,822","21,873","15,886","17,580","23,720","24,040","31,273","27,555"
2020년11월_계_연령구간인구수,"496,059","24,515","15,627","30,364","29,337","17,066","35,041","34,100","15,412","26,226","18,456","22,913","18,398","23,855","22,822","21,873","15,886","17,580","23,720","24,040","31,273","27,555"
2020년11월_계_0~9세,"22,611","1,217","1,314","2,067","1,193",706,"1,281","2,167",433,"1,183","1,045",692,630,827,800,369,"1,253",675,740,927,"1,770","1,322"
2020년11월_계_10~19세,"28,766","1,472","1,151","2,954","1,394",846,"1,680","2,660",602,"1,596",803,859,864,"1,115","1,154",475,"1,443",862,989,"1,580","2,343","1,924"
2020년11월_계_20~29세,"109,232","4,660","1,865","3,991","7,496","5,535","11,158","5,511","4,459","5,805","3,959","6,504","4,416","5,712","5,814","8,396","1,744","4,075","6,198","2,971","4,845","4,118"
2020년11월_계_30~39세,"87,131","4,072","2,632","3,975","6,025","3,539","6,743","5,431","3,021","4,968","3,738","4,601","3,286","4,742","3,922","5,628","1,911","3,309","4,826","2,719","4,315","3,728"
2020년11월_계_40~49세,"68,757","3,438","2,496","5,074","3,701","2,027","4,045","5,298","1,750","3,656","2,330","2,767","2,306","3,305","3,030","2,492","3,000","2,260","3,593","3,452","4,748","3,989"
2020년11월_계_50~59세,"68,259","3,391","2,327","4,808","3,488","1,679","3,900","4,918","1,842","3,503","2,559","2,816","2,447","3,135","3,255","1,757","2,596","2,405","3,195","4,298","5,019","4,921"
2020년11월_계_60~69세,"59,105","3,307","1,988","3,883","3,151","1,356","3,284","4,300","1,687","2,923","2,249","2,529","2,233","2,777","2,574","1,445","2,117","2,198","2,270","4,136","4,651","4,047"
2020년11월_계_70~79세,"37,113","2,138","1,221","2,505","2,114",967,"2,146","2,744","1,141","1,850","1,309","1,524","1,570","1,583","1,626",952,"1,302","1,249","1,328","2,701","2,619","2,524"
2020년11월_계_80~89세,"13,039",709,534,940,659,354,690,935,424,651,402,560,558,565,565,299,446,479,509,"1,051",843,866
2020년11월_계_90~99세,"1,727",102,75,137,99,47,94,119,44,83,59,52,73,74,67,44,61,60,60,176,99,102
2020년11월_계_100세 이상,319,9,24,30,17,10,20,17,9,8,3,9,15,20,15,16,13,8,12,29,21,14
2020년11월_남_총인구수,"248,857","12,027","7,652","14,681","14,268","8,598","16,837","16,672","7,343","12,783","8,911","11,805","9,221","13,076","11,416","11,396","7,818","8,895","14,331","12,004","15,294","13,829"
2020년11월_남_연령구간인구수,"248,857","12,027","7,652","14,681","14,268","8,598","16,837","16,672","7,343","12,783","8,911","11,805","9,221","13,076","11,416","11,396","7,818","8,895","14,331","12,004","15,294","13,829"
2020년11월_남_0~9세,"11,629",625,688,"1,085",616,374,624,"1,153",240,619,551,358,293,420,427,178,637,336,380,487,885,653
2020년11월_남_10~19세,"14,707",766,591,"1,555",685,402,826,"1,348",285,832,381,450,433,573,629,236,731,440,501,837,"1,167","1,039"
2020년11월_남_20~29세,"53,232","2,237",987,"1,986","3,392","2,651","4,901","2,634","1,814","2,739","1,786","3,307","2,233","3,170","2,734","4,055",896,"1,859","3,720","1,591","2,396","2,144"
2020년11월_남_30~39세,"48,118","2,215","1,319","1,983","3,219","1,966","3,582","2,801","1,645","2,586","1,981","2,689","1,879","2,911","2,226","3,227",944,"1,864","3,255","1,534","2,246","2,046"
2020년11월_남_40~49세,"36,693","1,777","1,271","2,525","1,936","1,071","2,100","2,737",952,"1,839","1,203","1,517","1,247","2,006","1,568","1,435","1,505","1,198","2,434","1,845","2,428","2,099"
2020년11월_남_50~59세,"34,126","1,597","1,140","2,334","1,696",878,"1,954","2,392",928,"1,709","1,169","1,345","1,209","1,660","1,607",982,"1,310","1,273","2,008","2,148","2,397","2,390"
2020년11월_남_60~69세,"27,495","1,523",899,"1,744","1,452",651,"1,524","1,948",785,"1,334","1,018","1,159",986,"1,325","1,218",687,985,"1,079","1,177","1,913","2,153","1,935"
2020년11월_남_70~79세,"16,985",978,533,"1,079",956,449,998,"1,237",508,814,614,722,707,749,731,452,615,613,604,"1,196","1,260","1,170"
2020년11월_남_80~89세,"5,392",287,199,345,284,140,293,397,172,283,196,244,217,250,259,133,172,216,236,405,330,334
2020년11월_남_90~99세,413,21,22,41,26,14,28,19,13,26,12,13,12,10,12,10,17,17,13,43,26,18
2020년11월_남_100세 이상,67,1,3,4,6,2,7,6,1,2,0,1,5,2,5,1,6,0,3,5,6,1
2020년11월_여_총인구수,"247,202","12,488","7,975","15,683","15,069","8,468","18,204","17,428","8,069","13,443","9,545","11,108","9,177","10,779","11,406","10,477","8,068","8,685","9,389","12,036","15,979","13,726"
2020년11월_여_연령구간인구수,"247,202","12,488","7,975","15,683","15,069","8,468","18,204","17,428","8,069","13,443","9,545","11,108","9,177","10,779","11,406","10,477","8,068","8,685","9,389","12,036","15,979","13,726"
2020년11월_여_0~9세,"10,982",592,626,982,577,332,657,"1,014",193,564,494,334,337,407,373,191,616,339,360,440,885,669
2020년11월_여_10~19세,"14,059",706,560,"1,399",709,444,854,"1,312",317,764,422,409,431,542,525,239,712,422,488,743,"1,176",885
2020년11월_여_20~29세,"56,000","2,423",878,"2,005","4,104","2,884","6,257","2,877","2,645","3,066","2,173","3,197","2,183","2,542","3,080","4,341",848,"2,216","2,478","1,380","2,449","1,974"
2020년11월_여_30~39세,"39,013","1,857","1,313","1,992","2,806","1,573","3,161","2,630","1,376","2,382","1,757","1,912","1,407","1,831","1,696","2,401",967,"1,445","1,571","1,185","2,069","1,682"
2020년11월_여_40~49세,"32,064","1,661","1,225","2,549","1,765",956,"1,945","2,561",798,"1,817","1,127","1,250","1,059","1,299","1,462","1,057","1,495","1,062","1,159","1,607","2,320","1,890"
2020년11월_여_50~59세,"34,133","1,794","1,187","2,474","1,792",801,"1,946","2,526",914,"1,794","1,390","1,471","1,238","1,475","1,648",775,"1,286","1,132","1,187","2,150","2,622","2,531"
2020년11월_여_60~69세,"31,610","1,784","1,089","2,139","1,699",705,"1,760","2,352",902,"1,589","1,231","1,370","1,247","1,452","1,356",758,"1,132","1,119","1,093","2,223","2,498","2,112"
2020년11월_여_70~79세,"20,128","1,160",688,"1,426","1,158",518,"1,148","1,507",633,"1,036",695,802,863,834,895,500,687,636,724,"1,505","1,359","1,354"
2020년11월_여_80~89세,"7,647",422,335,595,375,214,397,538,252,368,206,316,341,315,306,166,274,263,273,646,513,532
2020년11월_여_90~99세,"1,314",81,53,96,73,33,66,100,31,57,47,39,61,64,55,34,44,43,47,133,73,84
2020년11월_여_100세 이상,252,8,21,26,11,8,13,11,8,6,3,8,10,18,10,15,7,8,9,24,15,13
