,광주광역시 북구,광주광역시 북구 중흥1동,광주광역시 북구 중흥2동,광주광역시 북구 중흥3동,광주광역시 북구 중앙동,광주광역시 북구 임동,광주광역시 북구 신안동,광주광역시 북구 용봉동,광주광역시 북구 운암1동,광주광역시 북구 운암2동,광주광역시 북구 운암3동,광주광역시 북구 동림동,광주광역시 북구 우산동,광주광역시 북구 풍향동,광주광역시 북구 문화동,광주광역시 북구 문흥1동,광주광역시 북구 문흥2동,광주광역시 북구 두암1동,광주광역시 북구 두암2동,광주광역시 북구 두암3동,광주광역시 북구 삼각동,광주광역시 북구 일곡동,광주광역시 북구 매곡동,광주광역시 북구 오치1동,광주광역시 북구 오치2동,광주광역시 북구 석곡동,광주광역시 북구 건국동,광주광역시 북구 양산동,광주광역시 북구 신용동
2020년11월_계_총인구수,"431,256","5,037","6,886","4,935","3,291","7,997","11,855","38,664","19,564","12,483","13,353","23,554","10,743","6,029","19,007","16,469","16,292","7,974","16,573","13,935","14,412","30,512","14,167","11,417","12,723","2,685","22,650","38,209","29,840"
2020년11월_계_연령구간인구수,"431,256","5,037","6,886","4,935","3,291","7,997","11,855","38,664","19,564","12,483","13,353","23,554","10,743","6,029","19,007","16,469","16,292","7,974","16,573","13,935","14,412","30,512","14,167","11,417","12,723","2,685","22,650","38,209","29,840"
2020년11월_계_0~9세,"33,700",231,272,266,87,563,451,"2,660","1,778",578,942,"2,205",405,553,"1,449","1,117","1,147",317,941,480,"1,000","2,455","1,211",679,513,72,"2,704","3,992","4,632"
2020년11월_계_10~19세,"43,152",199,483,316,123,561,712,"3,853","2,260",946,"1,435","2,367",690,529,"1,492","1,966","1,507",649,"1,412",862,"1,721","4,714","1,743","1,076",805,152,"2,565","4,190","3,824"
2020년11월_계_20~29세,"62,718",979,"1,349",887,511,950,"2,235","7,215","2,592","1,815","2,010","3,095","1,367",734,"2,342","2,462","2,635","1,127","2,371","1,654","2,344","4,803","2,014","1,882","1,951",251,"2,817","5,235","3,091"
2020년11월_계_30~39세,"55,688",972,774,713,411,"1,127","1,687","4,733","2,309","1,383","1,540","3,586",992,833,"2,641","1,660","2,027",803,"1,876","1,309","1,716","2,964","1,703","1,256","1,483",221,"3,603","5,996","5,370"
2020년11월_계_40~49세,"67,685",617,907,717,418,"1,166","1,604","5,674","3,114","1,695","1,909","3,845","1,315",953,"2,682","2,516","2,462","1,062","2,255","1,653","2,455","5,809","2,319","1,692","1,589",253,"4,051","6,665","6,288"
2020년11월_계_50~59세,"71,943",686,960,714,573,"1,240","1,900","6,722","3,143","2,189","2,394","3,818","1,852",921,"3,192","3,070","2,659","1,393","2,966","2,677","2,656","5,583","2,462","2,188","2,506",556,"3,371","5,900","3,652"
2020년11월_계_60~69세,"53,220",694,"1,020",649,572,"1,191","1,651","4,480","2,641","2,098","1,863","2,752","2,079",759,"2,770","2,167","2,069","1,297","2,650","2,760","1,491","2,316","1,552","1,526","2,142",560,"1,963","3,622","1,886"
2020년11월_계_70~79세,"29,337",457,739,472,390,879,"1,105","2,364","1,256","1,236",838,"1,352","1,386",512,"1,639","1,027","1,197",930,"1,492","1,638",716,"1,171",755,787,"1,106",372,"1,000","1,771",750
2020년11월_계_80~89세,"11,993",174,340,180,162,272,441,850,399,490,365,458,568,204,691,426,516,342,529,790,269,612,355,282,551,209,492,730,296
2020년11월_계_90~99세,"1,701",22,39,15,39,43,61,109,68,50,54,74,76,29,98,57,72,51,77,105,44,84,50,43,75,35,78,104,49
2020년11월_계_100세 이상,119,6,3,6,5,5,8,4,4,3,3,2,13,2,11,1,1,3,4,7,0,1,3,6,2,4,6,4,2
2020년11월_남_총인구수,"214,023","2,608","3,503","2,577","1,753","3,967","6,212","19,290","9,419","6,277","6,414","11,642","5,233","2,990","9,341","8,043","7,764","3,990","8,217","6,677","7,452","14,919","6,959","5,765","6,228","1,401","11,442","19,193","14,747"
2020년11월_남_연령구간인구수,"214,023","2,608","3,503","2,577","1,753","3,967","6,212","19,290","9,419","6,277","6,414","11,642","5,233","2,990","9,341","8,043","7,764","3,990","8,217","6,677","7,452","14,919","6,959","5,765","6,228","1,401","11,442","19,193","14,747"
2020년11월_남_0~9세,"17,199",108,138,144,47,295,224,"1,350",901,259,471,"1,128",210,275,717,543,576,174,465,237,537,"1,293",623,335,237,34,"1,400","2,091","2,387"
