카테고리,경기도 동두천시,경기도 동두천시 생연1동,경기도 동두천시 생연2동,경기도 동두천시 중앙동,경기도 동두천시 보산동,경기도 동두천시 불현동,경기도 동두천시 송내동,경기도 동두천시 소요동,경기도 동두천시 상패동
2020년01월_계_총인구수,"94,719","6,958","11,631","5,242","3,138","28,055","25,987","8,680","5,028"
2020년01월_계_연령구간인구수,"94,719","6,958","11,631","5,242","3,138","28,055","25,987","8,680","5,028"
2020년01월_계_0~9세,"6,879",480,822,168,173,"2,190","2,478",387,181
2020년01월_계_10~19세,"8,967",581,"1,230",238,196,"2,854","3,077",517,274
2020년01월_계_20~29세,"11,196",775,"1,300",513,352,"3,540","3,287",933,496
2020년01월_계_30~39세,"10,585",795,"1,154",465,308,"3,211","3,366",807,479
2020년01월_계_40~49세,"14,870","1,001","1,924",621,407,"4,395","4,737","1,126",659
2020년01월_계_50~59세,"16,376","1,262","1,958","1,104",596,"4,925","3,885","1,640","1,006"
2020년01월_계_60~69세,"12,431","1,028","1,449","1,055",514,"3,469","2,412","1,565",939
2020년01월_계_70~79세,"8,704",657,"1,169",656,397,"2,287","1,812","1,088",638
2020년01월_계_80~89세,"4,067",335,558,326,172,"1,051",811,521,293
2020년01월_계_90~99세,564,41,60,74,21,119,118,76,55
2020년01월_계_100세 이상,80,3,7,22,2,14,4,20,8
2020년01월_남_총인구수,"47,276","3,452","5,758","2,712","1,480","13,897","12,791","4,520","2,666"
2020년01월_남_연령구간인구수,"47,276","3,452","5,758","2,712","1,480","13,897","12,791","4,520","2,666"
2020년01월_남_0~9세,"3,566",257,448,99,80,"1,114","1,273",195,100
2020년01월_남_10~19세,"4,515",273,626,123,86,"1,431","1,548",282,146
2020년01월_남_20~29세,"6,110",427,728,276,212,"1,924","1,711",541,291
2020년01월_남_30~39세,"5,430",408,574,274,151,"1,612","1,708",427,276
2020년01월_남_40~49세,"7,656",514,993,366,211,"2,185","2,350",656,381
2020년01월_남_50~59세,"8,652",655,"1,015",628,298,"2,560","2,028",892,576
2020년01월_남_60~69세,"6,052",506,671,541,248,"1,705","1,096",794,491
2020년01월_남_70~79세,"3,619",273,456,272,143,948,732,506,289
2020년01월_남_80~89세,"1,501",126,232,100,46,385,313,201,98
2020년01월_남_90~99세,157,13,13,28,5,30,31,22,15
2020년01월_남_100세 이상,18,0,2,5,0,3,1,4,3
2020년01월_여_총인구수,"47,443","3,506","5,873","2,530","1,658","14,158","13,196","4,160","2,362"
2020년01월_여_연령구간인구수,"47,443","3,506","5,873","2,530","1,658","14,158","13,196","4,160","2,362"
2020년01월_여_0~9세,"3,313",223,374,69,93,"1,076","1,205",192,81
2020년01월_여_10~19세,"4,452",308,604,115,110,"1,423","1,529",235,128
2020년01월_여_20~29세,"5,086",348,572,237,140,"1,616","1,576",392,205
2020년01월_여_30~39세,"5,155",387,580,191,157,"1,599","1,658",380,203
2020년01월_여_40~49세,"7,214",487,931,255,196,"2,210","2,387",470,278
2020년01월_여_50~59세,"7,724",607,943,476,298,"2,365","1,857",748,430
2020년01월_여_60~69세,"6,379",522,778,514,266,"1,764","1,316",771,448
2020년01월_여_70~79세,"5,085",384,713,384,254,"1,339","1,080",582,349
2020년01월_여_80~89세,"2,566",209,326,226,126,666,498,320,195
2020년01월_여_90~99세,407,28,47,46,16,89,87,54,40
2020년01월_여_100세 이상,62,3,5,17,2,11,3,16,5
