,전라북도 정읍시,전라북도 정읍시 신태인읍,전라북도 정읍시 북면,전라북도 정읍시 입암면,전라북도 정읍시 소성면,전라북도 정읍시 고부면,전라북도 정읍시 영원면,전라북도 정읍시 덕천면,전라북도 정읍시 이평면,전라북도 정읍시 정우면,전라북도 정읍시 태인면,전라북도 정읍시 감곡면,전라북도 정읍시 옹동면,전라북도 정읍시 칠보면,전라북도 정읍시 산내면,전라북도 정읍시 산외면,전라북도 정읍시 수성동,전라북도 정읍시 장명동,전라북도 정읍시 내장상동,전라북도 정읍시 시기동,전라북도 정읍시 초산동,전라북도 정읍시 연지동,전라북도 정읍시 농소동,전라북도 정읍시 상교동
2021년07월_계_총인구수,"107,349","5,418","4,256","2,850","2,076","2,771","1,775","1,790","2,054","2,556","3,381","2,791","1,666","2,313","1,213","2,087","17,287","2,975","20,474","3,274","10,304","6,063","4,092","3,883"
2021년07월_계_연령구간인구수,"107,349","5,418","4,256","2,850","2,076","2,771","1,775","1,790","2,054","2,556","3,381","2,791","1,666","2,313","1,213","2,087","17,287","2,975","20,474","3,274","10,304","6,063","4,092","3,883"
2021년07월_계_0~9세,"6,035",231,168,59,63,68,54,35,36,76,66,57,47,80,27,55,"1,350",142,"1,555",154,949,458,182,123
2021년07월_계_10~19세,"9,424",357,272,143,74,117,70,96,80,108,143,64,68,141,52,89,"1,950",278,"2,707",260,"1,312",506,311,226
2021년07월_계_20~29세,"10,416",365,377,186,110,149,109,132,115,157,229,132,80,147,72,116,"2,176",321,"2,462",330,"1,211",616,403,421
2021년07월_계_30~39세,"8,585",361,293,137,116,187,86,82,94,140,163,167,100,114,48,94,"1,882",235,"1,810",243,"1,022",614,299,298
2021년07월_계_40~49세,"14,354",601,454,238,171,258,147,176,169,221,317,218,144,231,80,182,"3,050",464,"3,371",353,"1,703",922,474,410
2021년07월_계_50~59세,"18,153",864,834,541,346,428,250,334,322,443,557,414,257,393,239,361,"3,025",541,"3,393",517,"1,678",970,767,679
2021년07월_계_60~69세,"17,568","1,032",830,611,424,618,389,376,448,549,732,682,355,445,287,451,"2,030",429,"2,609",635,"1,252",899,777,708
2021년07월_계_70~79세,"13,211",940,567,481,411,512,370,300,405,463,605,602,325,410,230,406,"1,185",328,"1,631",493,774,715,504,554
2021년07월_계_80~89세,"8,345",586,403,398,326,380,254,215,336,347,491,390,241,312,156,289,566,212,811,241,366,297,332,396
2021년07월_계_90~99세,"1,195",77,53,54,34,52,45,43,48,49,75,61,47,37,20,44,65,24,120,47,36,64,37,63
2021년07월_계_100세 이상,63,4,5,2,1,2,1,1,1,3,3,4,2,3,2,0,8,1,5,1,1,2,6,5
2021년07월_남_총인구수,"53,338","2,664","2,158","1,431","1,071","1,380",882,908,"1,016","1,280","1,685","1,405",846,"1,185",619,"1,049","8,768","1,463","9,864","1,591","5,082","3,025","1,967","1,999"
2021년07월_남_연령구간인구수,"53,338","2,664","2,158","1,431","1,071","1,380",882,908,"1,016","1,280","1,685","1,405",846,"1,185",619,"1,049","8,768","1,463","9,864","1,591","5,082","3,025","1,967","1,999"
2021년07월_남_0~9세,"3,093",112,77,32,38,30,32,16,20,46,38,34,23,35,14,25,687,67,788,83,511,234,85,66
2021년07월_남_10~19세,"5,002",216,144,82,40,55,37,57,49,49,77,42,37,89,29,40,"1,051",137,"1,354",134,737,260,166,120
2021년07월_남_20~29세,"5,770",205,219,114,70,98,60,77,74,98,133,71,46,88,44,59,"1,219",172,"1,289",193,656,329,220,236
