,부산광역시 서구,부산광역시 서구 동대신제1동,부산광역시 서구 동대신제2동,부산광역시 서구 동대신제3동,부산광역시 서구 서대신제1동,부산광역시 서구 서대신제3동,부산광역시 서구 서대신제4동,부산광역시 서구 부민동,부산광역시 서구 아미동,부산광역시 서구 초장동,부산광역시 서구 충무동,부산광역시 서구 남부민제1동,부산광역시 서구 남부민제2동,부산광역시 서구 암남동
2020년07월_계_총인구수,"107,934","4,642","7,767","7,689","12,113","8,834","8,021","7,966","7,237","4,735","10,152","5,139","9,789","13,850"
2020년07월_계_연령구간인구수,"107,934","4,642","7,767","7,689","12,113","8,834","8,021","7,966","7,237","4,735","10,152","5,139","9,789","13,850"
2020년07월_계_0~9세,"5,641",225,342,416,910,646,665,468,113,120,519,138,363,716
2020년07월_계_10~19세,"7,341",297,553,528,924,862,778,594,326,194,542,211,554,978
2020년07월_계_20~29세,"13,549",616,784,"1,180","1,569","1,077",965,"1,563",767,448,"1,406",447,922,"1,805"
2020년07월_계_30~39세,"11,427",524,694,857,"1,586",907,916,"1,033",571,392,"1,263",502,824,"1,358"
2020년07월_계_40~49세,"14,685",606,"1,045","1,063","1,810","1,384","1,261","1,064",873,624,"1,346",597,"1,266","1,746"
2020년07월_계_50~59세,"18,168",758,"1,347","1,163","1,887","1,472","1,295","1,132","1,293",830,"1,735",960,"1,736","2,560"
2020년07월_계_60~69세,"18,719",790,"1,433","1,251","1,682","1,286","1,133","1,129","1,541",990,"1,717","1,142","2,059","2,566"
2020년07월_계_70~79세,"12,291",518,"1,029",795,"1,155",770,639,619,"1,132",750,"1,135",793,"1,479","1,477"
2020년07월_계_80~89세,"5,254",271,481,369,504,371,317,302,520,333,420,300,510,556
2020년07월_계_90~99세,738,33,55,57,81,56,48,55,73,45,54,42,63,76
2020년07월_계_100세 이상,121,4,4,10,5,3,4,7,28,9,15,7,13,12
2020년07월_남_총인구수,"52,313","2,218","3,790","3,584","5,708","4,095","3,903","3,794","3,665","2,359","4,864","2,606","4,893","6,834"
2020년07월_남_연령구간인구수,"52,313","2,218","3,790","3,584","5,708","4,095","3,903","3,794","3,665","2,359","4,864","2,606","4,893","6,834"
2020년07월_남_0~9세,"2,928",113,183,209,469,329,363,247,57,60,269,67,188,374
2020년07월_남_10~19세,"3,692",142,261,249,459,402,415,295,175,95,282,106,293,518
2020년07월_남_20~29세,"6,710",312,427,540,757,527,498,692,395,243,640,242,505,932
2020년07월_남_30~39세,"5,909",272,376,434,768,435,436,515,325,216,652,296,460,724
2020년07월_남_40~49세,"7,605",320,541,530,887,651,605,545,513,364,696,355,687,911
2020년07월_남_50~59세,"9,282",382,662,581,929,681,635,566,715,463,883,527,947,"1,311"
2020년07월_남_60~69세,"8,732",349,676,549,750,589,549,537,778,478,791,534,989,"1,163"
2020년07월_남_70~79세,"5,350",228,461,348,490,341,271,267,488,328,473,351,641,663
2020년07월_남_80~89세,"1,897",91,191,126,177,125,122,118,193,96,158,115,169,216
2020년07월_남_90~99세,174,9,11,16,20,15,9,9,16,14,16,11,11,17
2020년07월_남_100세 이상,34,0,1,2,2,0,0,3,10,2,4,2,3,5
2020년07월_여_총인구수,"55,621","2,424","3,977","4,105","6,405","4,739","4,118","4,172","3,572","2,376","5,288","2,533","4,896","7,016"
2020년07월_여_연령구간인구수,"55,621","2,424","3,977","4,105","6,405","4,739","4,118","4,172","3,572","2,376","5,288","2,533","4,896","7,016"
2020년07월_여_0~9세,"2,713",112,159,207,441,317,302,221,56,60,250,71,175,342
2020년07월_여_10~19세,"3,649",155,292,279,465,460,363,299,151,99,260,105,261,460
2020년07월_여_20~29세,"6,839",304,357,640,812,550,467,871,372,205,766,205,417,873
2020년07월_여_30~39세,"5,518",252,318,423,818,472,480,518,246,176,611,206,364,634
2020년07월_여_40~49세,"7,080",286,504,533,923,733,656,519,360,260,650,242,579,835
2020년07월_여_50~59세,"8,886",376,685,582,958,791,660,566,578,367,852,433,789,"1,249"
2020년07월_여_60~69세,"9,987",441,757,702,932,697,584,592,763,512,926,608,"1,070","1,403"
2020년07월_여_70~79세,"6,941",290,568,447,665,429,368,352,644,422,662,442,838,814
2020년07월_여_80~89세,"3,357",180,290,243,327,246,195,184,327,237,262,185,341,340
2020년07월_여_90~99세,564,24,44,41,61,41,39,46,57,31,38,31,52,59
2020년07월_여_100세 이상,87,4,3,8,3,3,4,4,18,7,11,5,10,7
